Age	Salary	Gender	Career_Change
33	86	F	No
34	95	M	No
26	67	F	No
28	64	F	Yes
31	85	F	No
21	54	F	No
44	101	M	No
25	73	M	Yes
22	55	F	No
35	82	F	No
30	92	F	Yes
28	92	M	Yes
25	69	M	Yes
27	71	F	Yes
27	65	F	Yes
34	85	F	No
25	67	F	No
26	63	M	No
31	96	F	No
20	50	F	Yes
33	91	F	No
33	96	M	No
25	64	F	Yes
34	81	F	No
28	69	F	No
34	90	F	No
27	79	M	Yes
24	53	F	Yes
27	36	M	Yes
27	58	M	Yes
28	75	M	No
42	97	M	No
26	63	F	Yes
28	64	F	No
21	49	F	Yes
23	26	F	Yes
27	62	F	No
26	76	F	No
26	69	F	No
24	51	M	Yes
20	51	M	Yes
26	77	F	No
21	21	F	Yes
32	97	F	No
26	63	M	Yes
25	66	F	Yes
23	51	F	Yes
25	71	F	Yes
25	76	M	Yes
28	75	F	No
25	58	M	Yes
24	55	M	No
22	20	F	Yes
35	85	F	No
28	69	M	No
24	50	M	Yes
22	21	F	Yes
27	76	F	No
28	62	F	Yes
27	63	F	No
28	80	M	No
26	62	M	Yes
27	64	F	No
39	104	F	No
32	86	F	No
25	65	M	Yes
28	90	M	No
28	87	M	No
33	84	M	No
25	38	F	No
25	79	M	No
47	106	M	No
26	44	M	No
36	115	F	No
39	123	M	No
25	77	F	Yes
27	79	F	No
20	48	F	Yes
27	58	M	No
24	23	M	Yes
22	54	M	Yes
28	71	M	No
27	43	F	Yes
26	64	F	No
26	44	M	Yes
26	66	M	No
24	27	F	Yes
26	42	F	No
27	42	F	No
29	88	F	No
22	32	F	Yes
30	81	F	No
25	66	M	No
26	45	F	No
21	34	M	Yes
28	57	M	No
24	52	M	Yes
23	55	F	Yes
31	87	F	No
21	53	F	Yes
27	72	F	Yes
28	69	F	No
26	70	M	Yes
21	25	F	Yes
28	93	F	No
22	33	F	Yes
21	48	F	Yes
25	40	M	Yes
21	51	F	Yes
27	73	F	Yes
25	61	F	No
30	91	M	No
34	85	F	No
30	88	F	No
28	79	F	No
28	88	M	Yes
28	74	M	Yes
46	99	F	No
34	84	F	No
45	102	F	No
25	42	F	No
26	71	F	No
26	61	F	Yes
28	72	F	No
26	67	F	No
26	73	F	No
23	27	F	Yes
38	122	F	No
23	50	F	Yes
28	70	M	No
23	49	M	No
25	74	F	No
26	66	F	Yes
28	67	F	No
26	73	M	No
27	58	M	No
22	56	F	Yes
28	73	F	No
27	44	F	Yes
30	88	M	No
20	49	M	Yes
25	80	F	No
26	37	F	Yes
46	111	F	No
29	87	F	No
28	89	M	No
27	36	F	No
30	83	F	Yes
29	85	F	No
27	40	F	Yes
28	71	M	No
28	74	M	No
36	109	M	No
23	52	F	Yes
25	70	M	Yes
25	70	M	Yes
29	95	F	Yes
25	69	F	No
26	71	M	Yes
26	78	M	Yes
25	77	M	Yes
42	108	F	No
25	76	M	Yes
36	119	M	No
35	86	M	No
27	78	F	No
20	55	M	Yes
27	41	M	Yes
34	80	M	Yes
28	80	M	No
29	81	M	Yes
31	93	F	No
