Ownership	Certification	Cost of Nursing Labor	Cost of Housekeeping Labor	Cost of Maintenance Labor
Nonprofit	Intermediate Care	2.79295	0.99674	1.52568
Nonprofit	Intermediate Care	4.1986	1.06876	0.07355
Nonprofit	Intermediate Care	2.58592	1.20069	1.85286
Nonprofit	Intermediate Care	3.29008	1.3998	0.80263
Nonprofit	Intermediate Care	0.45084	1.46246	1.26769
Nonprofit	Intermediate Care	2.1459	1.03279	0.68251
Nonprofit	Intermediate Care	2.97895	1.14057	1.98323
Nonprofit	Intermediate Care	1.8841	0.99107	0.516
Nonprofit	Intermediate Care	4.48804	0.50762	0.25724
Nonprofit	Intermediate Care	4.28962	1.16789	1.51126
Nonprofit	Intermediate Care	2.69285	1.06443	0.98501
Nonprofit	Combined	4.76967	1.4374	1.55812
Nonprofit	Combined	1.96851	1.30205	1.37516
Nonprofit	Combined	2.56835	0.54644	1.013
Nonprofit	Combined	4.30588	1.06838	1.21451
Nonprofit	Combined	4.30433	0.56844	1.16495
Nonprofit	Combined	3.49402	1.27635	1.26134
Nonprofit	Combined	2.3935	0.96934	0.33969
Nonprofit	Combined	4.1801	1.47235	0.41009
Nonprofit	Combined	3.08971	0.80235	2.161
Nonprofit	Combined	4.48577	0.56361	1.00526
Nonprofit	Combined	1.60984	1.57613	1.62526
Government	Skilled Nursing	2.08138	1.16105	0.50992
Government	Skilled Nursing	2.08171	0.86024	0.92606
Government	Skilled Nursing	3.57613	0.88139	0.99212
Government	Skilled Nursing	4.1874	1.21754	0.96528
Government	Skilled Nursing	3.17069	0.69896	1.81969
Government	Skilled Nursing	3.07916	0.60509	0.60607
Government	Skilled Nursing	3.69171	0.56121	1.02108
Government	Skilled Nursing	3.97102	1.01756	1.6353
Government	Skilled Nursing	4.56929	1.27368	1.03125
Government	Skilled Nursing	3.60032	0.37326	0.58573
Government	Skilled Nursing	3.27279	0.49576	0.7845
Government	Skilled Nursing	1.95018	1.34307	1.98
Government	Skilled Nursing	2.38894	1.40904	0.29988
Government	Skilled Nursing	2.46696	0.55143	0.55941
Government	Skilled Nursing	2.45049	1.02816	0.70197
Government	Skilled Nursing	2.70921	0.83334	1.24024
Government	Intermediate Care	2.1346	0.37106	1.14126
Government	Intermediate Care	2.83754	0.74543	1.29436
Government	Intermediate Care	5.61544	0.81866	0.82573
Government	Intermediate Care	2.69222	0.9411	0.83995
Government	Intermediate Care	3.38101	1.03024	0.8767
Government	Intermediate Care	2.76104	1.24275	0.06984
Government	Intermediate Care	3.55431	0.63951	0.3986
Government	Intermediate Care	2.36767	0.91794	1.24378
Government	Intermediate Care	2.69748	1.23778	1.09084
Government	Intermediate Care	2.09705	1.23056	1.25052
Government	Intermediate Care	2.93703	0.48341	0.55452
Government	Intermediate Care	3.09038	0.83261	0.37173
Government	Intermediate Care	1.56914	0.45657	1.25688
Government	Intermediate Care	2.64797	0.82779	0.27704
Government	Intermediate Care	2.6167	0.86612	1.40251
Government	Intermediate Care	2.62884	0.91927	0.54343
Government	Intermediate Care	3.14345	0.55349	1.06744
Government	Intermediate Care	3.38551	0.7596	0.20079
Government	Intermediate Care	1.46661	1.14112	1.13122
Government	Intermediate Care	2.47426	1.06899	0.96379
Government	Intermediate Care	4.33328	1.35775	0.86496
Government	Intermediate Care	2.98693	0.95006	1.80091
Government	Intermediate Care	1.53835	1.17287	1.30223
Government	Intermediate Care	2.32836	0.88527	1.57179
Government	Intermediate Care	2.72686	1.2248	1.176
Government	Intermediate Care	2.38172	0.97744	1.30149
Government	Intermediate Care	4.04439	0.93327	0.69773
Government	Intermediate Care	2.84926	0.67173	3.24421
Government	Intermediate Care	3.29579	0.74489	1.60805
Government	Intermediate Care	1.6649	1.26327	1.21766
Government	Intermediate Care	4.03604	1.8187	0.94615
Government	Intermediate Care	2.67933	0.87125	0.8202
Government	Intermediate Care	2.25377	1.12345	1.85417
Government	Intermediate Care	1.72811	1.09781	1.04264
Government	Intermediate Care	2.38651	0.72537	1.6839
Government	Intermediate Care	2.63527	0.92371	2.73367
Government	Intermediate Care	2.3766	0.88886	1.23219
Government	Intermediate Care	3.38404	0.91438	1.85358
Government	Intermediate Care	4.06178	0.56564	1.45234
Government	Intermediate Care	4.26113	0.76807	1.38504
Government	Intermediate Care	1.4017	0.71479	0.92378
Government	Intermediate Care	3.37388	1.05385	0.98483
Government	Intermediate Care	2.4463	0.62902	2.05771
Government	Intermediate Care	3.91552	1.09437	0.97956
Government	Intermediate Care	3.42571	1.23337	2.07824
Government	Intermediate Care	5.98837	0.4621	1.24622
Government	Intermediate Care	1.47686	1.17016	0.54124
Government	Intermediate Care	2.24308	1.15828	1.39862
Government	Intermediate Care	3.07861	1.27851	1.63417
Government	Intermediate Care	1.58548	1.23524	0.78856
Government	Intermediate Care	4.18205	0.87933	0.55722
Government	Intermediate Care	3.39815	0.57359	0.5042
Government	Combined	4.47697	0.78398	2.19162
Government	Combined	4.61032	0.97711	1.63577
Government	Combined	3.52295	1.65703	0.97016
Government	Combined	5.60173	1.26893	1.70182
Government	Combined	3.32642	1.63258	1.41168
Government	Combined	4.10937	1.29857	0.68037
Government	Combined	4.08844	1.17707	1.12615
Government	Combined	5.36385	0.91438	0.33895
Government	Combined	4.5276	0.98227	0.85034
Government	Combined	4.2663	1.74035	0.83758
