Year	Make	country	luxury	Power	0~60 mph	Weight	Gas Mileage	Engine Displacement
2000	GMC	US	N	85	15	1611	24	2753.5
2000	Buick	US	N	68	19	940	25	1770.1
2000	Chrysler	US	N	63	17	1390	24	1802.9
2000	Lexus	Japan	Y	56	17	1375	24	2999.4
2001	Mercedes	Germany	Y	66	17	1124	27	2474.9
2001	Infiniti	Japan	Y	58	16	1041	27	1983.2
2001	Saab	Sweden	N	67	11	1513	28	1589.8
2001	Nissan	Japan	N	55	12	1165	28	1475.1
2001	Buick	US	N	66	18	843	28	1901.2
2001	Mercedes	Germany	Y	61	17	1256	27	1655.4
2001	Chrysler	US	N	66	16	956	28	2294.6
2001	Chrysler	US	N	64	16	997	27	1589.8
2001	Kia	Korea	N	44	16	1613	27	1589.8
2001	GMC	US	N	64	16	1211	27	1589.8
2001	Lexus	Japan	Y	61	16	1498	27	2474.9
2001	Nissan	Japan	N	84	19	1266	29	2835.5
2001	Volvo	Sweden	Y	55	19	1174	28	1589.8
2001	Suzuki	Japan	N	77	21	1257	27	5736.5
2001	Saturn	US	N	63	14	787	27	1753.7
2001	Mazda	Japan	N	71	20	1162	26	1950.4
2001	Honda	Japan	N	64	17	746	27	1589.8
2001	Acura	Japan	Y	58	19	880	28	2311
2001	Lincoln	US	Y	66	16	1185	29	2474.9
2001	Toyota	Japan	N	61	17	882	29	2212.6
2001	Infiniti	Japan	Y	52	11	1246	27	2311
2001	Isuzu	Japan	N	58	23	1536	28	1966.8
2001	Lincoln	US	Y	69	15	1031	28	2196.3
2001	Toyota	Japan	N	52	17	1519	27	2294.6
2001	Honda	Japan	N	66	14	1847	26	2474.9
2001	Isuzu	Japan	N	64	25	1756	28	1835.7
2001	Suzuki	Japan	N	77	14	1029	29	2556.8
2001	Saab	Sweden	N	63	15	1185	26	2294.6
2001	Saturn	US	N	58	14	1285	28	1606.2
2002	Lexus	Japan	Y	55	15	1124	29	1442.3
2002	Acura	Japan	Y	61	16	1401	29	1606.2
2002	GMC	US	N	45	14	1476	29	1458.7
2002	Mercedes	Germany	Y	55	13	1128	30	2376.5
2002	Buick	US	N	55	14	1082	29	1589.8
2002	Lincoln	US	Y	51	15	874	29	1475.1
2002	Kia	Korea	N	66	17	1231	30	2196.3
2002	Nissan	Japan	N	47	17	998	30	1606.2
2002	Mazda	Japan	N	49	15	884	29	2392.9
2002	Infiniti	Japan	Y	51	19	1123	30	1294.8
2002	Toyota	Japan	N	52	14	1012	30	1589.8
2002	Saturn	US	N	57	12	1036	29	1589.8
2002	Lexus	Japan	Y	49	21	1113	30	1589.8
2002	Mazda	Japan	N	58	17	1187	29	1819.3
2002	Saab	Sweden	N	61	12	923	29	2212.6
2002	Suzuki	Japan	N	38	15	899	29	1393.1
2002	Volvo	Sweden	Y	49	16	902	30	1606.2
2002	Chrysler	US	N	62	22	1041	30	1835.7
2002	Isuzu	Japan	N	36	16	985	29	1114.5
2002	Honda	Japan	N	51	17	1240	29	1475.1
2002	Volvo	Sweden	Y	49	10	1086	30	1606.2
2003	Mazda	Japan	N	70	14	804	33	2360.2
2003	Saab	Sweden	N	49	13	1460	32	1606.2
2003	Kia	Korea	N	47	16	1387	31	1163.7
2003	Nissan	Japan	N	49	22	1309	31	1294.8
2003	GMC	US	N	46	18	1035	31	1606.2
2003	Toyota	Japan	N	55	14	882	32	1720.9
2003	Chrysler	US	N	54	17	1099	34	1966.8
2003	Kia	Korea	N	49	14	1322	31	1294.8
2003	Infiniti	Japan	Y	52	19	1228	33	1753.7
2003	Suzuki	Japan	N	57	16	1509	31	1589.8
2003	Lexus	Japan	Y	49	19	1266	33	1491.5
2003	Buick	US	N	55	21	1236	31	1966.8
2003	Acura	Japan	Y	49	12	1130	31	1491.5
2003	Volvo	Sweden	Y	52	20	1124	33	1458.7
2003	Saturn	US	N	51	12	1005	33	1393.1
2003	Lincoln	US	Y	44	16	906	34	1360.4
2003	Mercedes	Germany	Y	55	19	985	33	1770.1
2003	Honda	Japan	N	38	19	1024	31	1245.6
2003	Isuzu	Japan	N	49	22	1136	33	1589.8
2003	Buick	US	N	60	18	1021	31	1950.4
2003	GMC	US	N	47	17	872	32	1163.7
2003	Acura	Japan	Y	51	23	724	33	1606.2
2004	Saab	Sweden	N	55	22	1037	34	1770.1
2004	Saturn	US	N	66	16	790	36	2474.9
2004	Lincoln	US	Y	47	13	1124	34	1393.1
2004	Suzuki	Japan	N	38	14	1173	35	1491.5
2004	Mercedes	Germany	Y	54	17	1075	35	1720.9
2004	Infiniti	Japan	Y	38	12	867	35	1491.5
2004	Isuzu	Japan	N	49	15	848	36	1589.8
2004	Honda	Japan	N	52	19	1319	35	1458.7
