Subject	Height	SelfEsteem	Gender	weight	Salary	City	Dose1	Dose2	Dose3
68	174.894171817398	3.55185066401172	Male	54.9674895662566	7.31117531970705	C	119	112	119
69	177.818652573199	4.6240264529698	Male	75.8572764913582	10.3280469675975	A	121	112	119
70	168.801591625847	2.94271932916708	Male	76.3667792747533	5.88496554643494	A	127	121	127
71	177.731871983706	4.58377889116621	Male	46.2133549920686	10.8883659052767	A	121	120	118
72	165.24090084144	3.80281307462141	Male	47.6688088942959	6.67397345564306	B	122	121	119
73	180.034400538582	3.09964439580599	Male	69.7967066582749	5.12594518113095	B	128	129	126
74	177.856122734054	4.05663721647642	Male	88.8775306271561	7.89695330156499	C	118	115	111
75	178.29501200632	4.39427043229647	Male	81.8232418414486	10.1929448514996	C	118	114	116
76	175.569423332485	3.33619439357657	Male	72.3958699101643	7.58275880242985	C	131	119	118
77	181.637606936376	3.43143374909035	Male	87.2647442561328	6.86634554196233	C	129	128	121
78	181.342553793655	3.79187250897704	Male	75.7407880254738	7.20334221538776	C	123	123	120
79	167.42250530978	4.19116784176942	Male	60.8788605381487	9.50457518279474	C	123	121	116
80	183.550120107137	4.03929364069006	Male	90.6725842994447	9.14365913508145	C	122	121	119
