年式	メーカー	出力	0-60mph加速	重量	燃費	排気量
1994	ボルボ	73	16	1745	16	4097.5
1994	ホンダ	121	17	1146	16	5736.5
1994	ビュイック	88	13	1535	16	4982.5
1994	いすゞ	77	15	1016	16	4097.5
1994	日産	106	21	1476	16	5736.5
1994	スズキ	73	15	1920	16	4097.5
1994	トヨタ	110	12	1523	16	5212
1994	ゼネラルモーターズ	52	14	2250	15	4097.5
1994	ゼネラルモーターズ	80	15	1778	16	4228.6
1994	レクサス	110	17	1487	16	6556
1994	クライスラー	110	14	2047	16	5212
1994	サーブ	106	16	1386	16	5212
1994	マツダ	110	12	2123	15	5212
1994	サターン	104	21	1246	16	5752.9
1994	日産	111	16	1046	16	5752.9
1994	アキュラ	97	8	1589	16	2671.6
1994	トヨタ	110	14	1964	17	4982.5
1994	メルセデス	110	15	1775	16	4982.5
1994	クライスラー	124	22	1798	16	6277.4
1994	リンカーン	139	14	1384	16	6392.1
1994	リンカーン	106	13	1083	16	5736.5
1995	トヨタ	102	11	2052	18	4949.8
1995	日産	95	13	1429	18	4998.9
1995	マツダ	73	11	1300	18	3802.5
1995	サターン	64	15	1070	18	4097.5
1995	ゼネラルモーターズ	73	14	1402	17	4097.5
1995	ホンダ	124	12	1297	17	6556
1995	ボルボ	62	18	871	19	3687.7
1995	メルセデス	80	13	1520	19	4097.5
1995	レクサス	88	16	882	19	4228.6
1995	マツダ	66	16	1060	19	1147.3
1995	インフィニティ	132	21	1063	18	5736.5
1995	ホンダ	124	13	1251	17	5736.5
1995	サーブ	139	23	1675	17	6556
1995	トヨタ	94	16	1086	19	4949.8
1995	ビュイック	82	13	1427	18	1983.2
1995	スズキ	95	15	1307	18	5031.7
1995	スズキ	99	19	1505	19	5212
1995	インフィニティ	91	12	1498	17	2671.6
1995	ゼネラルモーターズ	71	10	1866	19	2802.7
1995	クライスラー	80	13	1287	17	4261.4
1995	クライスラー	57	20	1155	18	4097.5
1995	リンカーン	109	13	1965	17	5752.9
1995	日産	80	22	1498	18	3786.1
1995	起亜	102	19	1461	19	4998.9
1995	サターン	77	21	1752	18	3687.7
1995	レクサス	73	13	1218	18	4097.5
1995	ボルボ	132	22	2029	17	6556
1995	アキュラ	77	17	1780	17	3687.7
1995	アキュラ	110	9	1186	18	5212
1995	いすゞ	102	13	1110	18	4949.8
1995	起亜	113	18	1292	18	5736.5
1995	アキュラ	101	20	977	18	5752.9
1995	サーブ	102	12	1867	19	5212
1995	リンカーン	110	17	1002	18	4982.5
1995	いすゞ	80	16	1168	17	4228.6
1995	ビュイック	88	15	1566	18	2753.5
1995	メルセデス	64	15	1477	19	4097.5
1996	トヨタ	73	16	1113	19	3802.5
1996	リンカーン	110	12	1342	19	5900.4
1996	スズキ	79	17	1138	20	2556.8
1996	いすゞ	91	17	1001	20	4376.1
1996	サターン	106	13	1435	19	4998.9
1996	アキュラ	71	21	1498	19	3261.6
1996	日産	69	23	821	19	3687.7
1996	ホンダ	62	17	1099	20	1999.6
1996	クライスラー	73	15	1413	19	3802.5
1996	サーブ	80	13	1193	20	4097.5
1996	メルセデス	121	12	1587	19	3786.1
1996	インフィニティ	73	22	1193	19	3802.5
1996	サーブ	66	17	1393	20	3802.5
1996	インフィニティ	69	14	1431	19	3687.7
1996	メルセデス	77	16	1275	19	3687.7
1996	スズキ	77	13	933	19	4097.5
1996	ホンダ	66	23	1627	20	3687.7
1996	リンカーン	64	13	1283	20	1966.8
1996	ゼネラルモーターズ	77	13	1106	20	3786.1
1996	レクサス	69	11	1387	19	4228.6
1996	起亜	80	13	2016	19	4228.6
1996	ボルボ	73	15	2281	20	3687.7
1996	サターン	66	18	942	20	3802.5
1996	ビュイック	106	16	1052	19	4998.9
1996	マツダ	73	14	1478	19	3802.5
1996	いすゞ	82	15	1522	20	1983.2
1997	インフィニティ	77	16	1219	21	3786.1
1997	サターン	62	16	889	20	3278
1997	ビュイック	66	18	946	21	3261.6
1997	トヨタ	73	18	1389	21	3802.5
1997	日産	73	13	1345	20	4097.5
1997	ホンダ	64	16	1979	20	1589.8
1997	アキュラ	75	15	1303	20	2147.1
1997	ゼネラルモーターズ	80	21	1173	21	4294.2
1997	ゼネラルモーターズ	66	15	954	20	1868.5
1997	ビュイック	71	20	883	20	1147.3
1997	クライスラー	62	17	1493	21	3278
1997	日産	102	13	1431	21	4949.8
1997	ボルボ	73	16	997	21	3687.7
1997	いすゞ	64	14	1529	20	3278
1997	クライスラー	80	14	1873	20	4261.4
1997	起亜	69	15	1216	20	3245.2
1997	ホンダ	62	19	1250	21	3278
1997	起亜	74	13	1347	20	2130.7
1997	レクサス	66	15	1642	20	2294.6
1997	マツダ	64	15	764	20	4097.5
1997	マツダ	102	18	1729	20	5212
1997	メルセデス	62	13	1752	20	3278
1997	サーブ	80	16	935	21	3687.7
1997	ボルボ	66	14	1432	21	3802.5
1997	レクサス	80	15	1523	20	3687.7
1997	リンカーン	89	15	1409	21	2556.8
1997	トヨタ	80	14	1501	21	3786.1
1997	スズキ	77	19	1457	21	3786.1
1997	アキュラ	72	17	970	20	4097.5
1998	インフィニティ	63	16	813	21	1999.6
1998	マツダ	84	17	1266	22	3786.1
1998	レクサス	55	13	1535	22	1983.2
1998	リンカーン	73	18	739	21	3687.7
1998	クライスラー	61	13	1015	23	2294.6
1998	マツダ	52	14	1698	21	2294.6
1998	いすゞ	77	15	1284	22	4097.5
1998	サーブ	66	12	1142	23	3802.5
1998	日産	63	16	971	21	1966.8
1998	トヨタ	82	19	1318	23	3802.5
1998	起亜	63	19	916	23	1999.6
1998	レクサス	71	14	1179	22	2392.9
1998	メルセデス	78	17	1325	21	2540.4
1998	メルセデス	69	14	2218	21	3278
1998	ボルボ	84	15	1607	21	1983.2
1998	リンカーン	69	16	1036	22	1770.1
1998	トヨタ	39	18	1246	23	1589.8
1998	ホンダ	64	15	958	22	2294.6
1998	ビュイック	80	15	1099	22	1983.2
1998	いすゞ	73	13	833	22	3687.7
1998	インフィニティ	64	17	1308	23	1966.8
1998	サターン	57	19	1228	23	2294.6
1998	サターン	52	13	1655	23	2294.6
1998	ゼネラルモーターズ	72	14	1333	21	1983.2
1998	サーブ	69	24	924	23	3245.2
1998	クライスラー	77	14	1728	23	2556.8
1998	起亜	71	12	1191	23	1966.8
1998	アキュラ	63	14	1567	21	1999.6
1998	ゼネラルモーターズ	69	13	911	23	1884.8
1998	スズキ	80	18	1515	22	3786.1
1998	スズキ	69	15	1505	23	3245.2
1998	ボルボ	69	22	1320	21	2196.3
1998	日産	80	14	1149	22	1311.2
1999	日産	84	17	1332	24	1983.2
1999	クライスラー	80	16	1520	24	2966.6
1999	スズキ	80	24	1767	23	1983.2
1999	アキュラ	66	17	1077	23	2474.9
1999	スズキ	71	18	1323	23	1950.4
1999	アキュラ	71	23	1238	24	1966.8
1999	いすゞ	66	16	1281	24	4261.4
1999	ホンダ	66	14	847	23	1753.7
1999	ゼネラルモーターズ	55	15	1372	23	1901.2
1999	サーブ	67	19	1344	23	2294.6
1999	ビュイック	67	10	895	24	2294.6
1999	ビュイック	88	13	1204	23	2392.9
1999	ボルボ	62	14	1182	24	2474.9
1999	ホンダ	70	18	1067	24	2196.3
1999	マツダ	80	16	815	23	2835.5
1999	サーブ	91	17	1324	23	5736.5
1999	リンカーン	71	22	1134	23	1950.4
1999	起亜	73	19	1180	23	1147.3
1999	レクサス	59	15	1253	23	3278
1999	メルセデス	69	14	925	24	1852.1
1999	インフィニティ	64	15	1142	24	2294.6
1999	トヨタ	55	18	816	24	1475.1
1999	サターン	55	17	1148	24	2294.6
1999	メルセデス	69	15	1339	24	1852.1
2000	起亜	58	12	985	26	1606.2
2000	リンカーン	51	16	1129	25	1491.5
2000	インフィニティ	59	16	1326	24	1901.2
2000	サーブ	69	14	1412	24	1852.1
2000	レクサス	64	21	1786	26	1835.7
2000	ボルボ	84	12	967	26	2835.5
2000	起亜	52	18	773	25	1475.1
2000	スズキ	61	17	987	26	2212.6
2000	サターン	67	14	929	25	2556.8
2000	サターン	66	21	1343	25	1606.2
2000	日産	64	14	1338	24	2474.9
2000	クライスラー	33	19	1233	25	1589.8
2000	マツダ	69	16	970	24	1704.6
2000	日産	66	18	1007	26	2474.9
2000	ボルボ	33	13	1031	25	1589.8
2000	ゼネラルモーターズ	49	19	1285	26	1294.8
2000	ビュイック	58	22	1706	24	1606.2
2000	マツダ	70	21	1622	25	1999.6
2000	ホンダ	44	13	1210	24	1606.2
2000	いすゞ	50	10	932	25	1573.4
2000	メルセデス	58	18	1026	25	1999.6
2000	いすゞ	83	11	1299	25	1983.2
2000	トヨタ	55	15	1543	26	1901.2
2000	アキュラ	64	12	1202	25	2294.6
2000	アキュラ	65	21	1251	25	2294.6
2000	リンカーン	55	15	1296	25	1589.8
2000	インフィニティ	57	16	1282	26	1589.8
2000	トヨタ	67	15	1549	25	2556.8
2000	ゼネラルモーターズ	85	15	1611	24	2753.5
2000	ビュイック	68	19	940	25	1770.1
2000	クライスラー	63	17	1390	24	1802.9
2000	レクサス	56	17	1375	24	2999.4
2001	メルセデス	66	17	1124	27	2474.9
2001	インフィニティ	58	16	1041	27	1983.2
2001	サーブ	67	11	1513	28	1589.8
2001	日産	55	12	1165	28	1475.1
2001	ビュイック	66	18	843	28	1901.2
2001	メルセデス	61	17	1256	27	1655.4
2001	クライスラー	66	16	956	28	2294.6
2001	クライスラー	64	16	997	27	1589.8
2001	起亜	44	16	1613	27	1589.8
2001	ゼネラルモーターズ	64	16	1211	27	1589.8
2001	レクサス	61	16	1498	27	2474.9
2001	日産	84	19	1266	29	2835.5
2001	ボルボ	55	19	1174	28	1589.8
2001	スズキ	77	21	1257	27	5736.5
2001	サターン	63	14	787	27	1753.7
2001	マツダ	71	20	1162	26	1950.4
2001	ホンダ	64	17	746	27	1589.8
2001	アキュラ	58	19	880	28	2311
2001	リンカーン	66	16	1185	29	2474.9
2001	トヨタ	61	17	882	29	2212.6
2001	インフィニティ	52	11	1246	27	2311
2001	いすゞ	58	23	1536	28	1966.8
2001	リンカーン	69	15	1031	28	2196.3
2001	トヨタ	52	17	1519	27	2294.6
2001	ホンダ	66	14	1847	26	2474.9
2001	いすゞ	64	25	1756	28	1835.7
2001	スズキ	77	14	1029	29	2556.8
2001	サーブ	63	15	1185	26	2294.6
2001	サターン	58	14	1285	28	1606.2
2002	レクサス	55	15	1124	29	1442.3
2002	アキュラ	61	16	1401	29	1606.2
2002	ゼネラルモーターズ	45	14	1476	29	1458.7
2002	メルセデス	55	13	1128	30	2376.5
2002	ビュイック	55	14	1082	29	1589.8
2002	リンカーン	51	15	874	29	1475.1
2002	起亜	66	17	1231	30	2196.3
2002	日産	47	17	998	30	1606.2
2002	マツダ	49	15	884	29	2392.9
2002	インフィニティ	51	19	1123	30	1294.8
2002	トヨタ	52	14	1012	30	1589.8
2002	サターン	57	12	1036	29	1589.8
2002	レクサス	49	21	1113	30	1589.8
2002	マツダ	58	17	1187	29	1819.3
2002	サーブ	61	12	923	29	2212.6
2002	スズキ	38	15	899	29	1393.1
2002	ボルボ	49	16	902	30	1606.2
2002	クライスラー	62	22	1041	30	1835.7
2002	いすゞ	36	16	985	29	1114.5
2002	ホンダ	51	17	1240	29	1475.1
2002	ボルボ	49	10	1086	30	1606.2
2003	マツダ	70	14	804	33	2360.2
2003	サーブ	49	13	1460	32	1606.2
2003	起亜	47	16	1387	31	1163.7
2003	日産	49	22	1309	31	1294.8
2003	ゼネラルモーターズ	46	18	1035	31	1606.2
2003	トヨタ	55	14	882	32	1720.9
2003	クライスラー	54	17	1099	34	1966.8
2003	起亜	49	14	1322	31	1294.8
2003	インフィニティ	52	19	1228	33	1753.7
2003	スズキ	57	16	1509	31	1589.8
2003	レクサス	49	19	1266	33	1491.5
2003	ビュイック	55	21	1236	31	1966.8
2003	アキュラ	49	12	1130	31	1491.5
2003	ボルボ	52	20	1124	33	1458.7
2003	サターン	51	12	1005	33	1393.1
2003	リンカーン	44	16	906	34	1360.4
2003	メルセデス	55	19	985	33	1770.1
2003	ホンダ	38	19	1024	31	1245.6
2003	いすゞ	49	22	1136	33	1589.8
2003	ビュイック	60	18	1021	31	1950.4
2003	ゼネラルモーターズ	47	17	872	32	1163.7
2003	アキュラ	51	23	724	33	1606.2
2004	サーブ	55	22	1037	34	1770.1
2004	サターン	66	16	790	36	2474.9
2004	リンカーン	47	13	1124	34	1393.1
2004	スズキ	38	14	1173	35	1491.5
2004	メルセデス	54	17	1075	35	1720.9
2004	インフィニティ	38	12	867	35	1491.5
2004	いすゞ	49	15	848	36	1589.8
2004	ホンダ	52	19	1319	35	1458.7
