obs	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17	v18	v19	v20	v21	v22	v23	v24	v25	v26	v27	v28	v29	v30	v31	v32	v33	v34	v35	v36	v37	v38	v39	v40	v41	v42	v43	comp1	comp2	comp3
E13	0.03237	0.02742	0.02924	0.04235	0.04564	0.05412	0.05679	0.06248	0.07666	0.07475	0.08764	0.08152	0.07296	0.0763	0.0914	0.09008	0.19383	0.35229	0.29784	0.26468	0.25248	0.30241	0.43177	0.49489	0.35544	0.3677	0.33701	0.24577	0.1214	0.12677	0.12349	0.08092	0.0878	0.08826	0.10701	0.11213	0.11509	0.37197	0.02805	0.03221	0.00871	0.0033	0.00196	0.395	0.164	0.39
E14	0.05947	0.04062	0.05579	0.07723	0.07954	0.09484	0.11734	0.12166	0.11234	0.10996	0.10476	0.11232	0.09966	0.08799	0.08713	0.10224	0.18743	0.3718	0.29659	0.2642	0.28628	0.31495	0.39444	0.38351	0.32035	0.29475	0.27213	0.19854	0.1073	0.10699	0.09746	0.07903	0.06633	0.08196	0.0903	0.08017	0.07921	0.26436	0.02252	0.02528	0.00821	0.00379	0.00287	0.342	0.35	0.295
E15	0.03712	0.02995	0.03591	0.06088	0.06279	0.06257	0.0804	0.07883	0.09075	0.08006	0.0777	0.08304	0.07482	0.07564	0.08489	0.08649	0.20583	0.38132	0.32572	0.25578	0.27828	0.31313	0.52854	0.49016	0.38867	0.31627	0.28318	0.23272	0.11855	0.09465	0.09316	0.07776	0.07745	0.0822	0.09998	0.07589	0.07384	0.21179	0.02292	0.02281	0.00781	0.00297	0.00178	0.525	0.229	0.228
E16	0.08577	0.06622	0.07243	0.12455	0.12707	0.13369	0.15471	0.16655	0.15501	0.1705	0.16978	0.16882	0.13525	0.10611	0.11677	0.10236	0.17326	0.22779	0.24572	0.33215	0.32923	0.28214	0.247	0.2492	0.25538	0.21237	0.19105	0.15854	0.10627	0.10322	0.10517	0.08003	0.07	0.07536	0.07177	0.09386	0.08703	0.35111	0.0276	0.03674	0.01014	0.00396	0.00394	0.022	0.543	0.428
E17	0.02638	0.02307	0.02779	0.04282	0.04526	0.04586	0.0525	0.05794	0.05625	0.06253	0.06143	0.05704	0.0544	0.0635	0.07423	0.08616	0.20951	0.3753	0.3235	0.23552	0.28161	0.34823	0.53638	0.48679	0.43676	0.34916	0.32062	0.25662	0.10878	0.10526	0.09964	0.08527	0.07921	0.08265	0.10949	0.08339	0.08982	0.23362	0.02361	0.0221	0.00793	0.00276	0.00152	0.543	0.15	0.263
E18	0.0568	0.05131	0.05513	0.1054	0.10212	0.10551	0.13897	0.12525	0.14008	0.1348	0.13731	0.12931	0.10192	0.09505	0.09151	0.09114	0.20897	0.32835	0.30366	0.28114	0.31731	0.33044	0.40187	0.36967	0.27418	0.28098	0.23074	0.19112	0.09076	0.0981	0.08055	0.06523	0.06099	0.07396	0.08177	0.07665	0.07905	0.18814	0.02069	0.02587	0.00903	0.00336	0.00299	0.348	0.405	0.214
E19	0.06195	0.05211	0.07182	0.10211	0.10221	0.11515	0.13387	0.16242	0.14512	0.14164	0.1389	0.13474	0.10388	0.09191	0.09348	0.10018	0.19939	0.32019	0.29445	0.28612	0.33028	0.32421	0.35372	0.35402	0.26285	0.24552	0.20697	0.1807	0.08877	0.09512	0.10456	0.06815	0.06141	0.07189	0.08652	0.07556	0.08276	0.26668	0.0244	0.03092	0.00957	0.00416	0.0034	0.202	0.442	0.328
E20	0.05504	0.04752	0.04808	0.07235	0.06418	0.08724	0.09126	0.09563	0.10549	0.10941	0.12544	0.10964	0.10182	0.09807	0.10708	0.09788	0.1574	0.20543	0.2202	0.23798	0.25671	0.23946	0.27029	0.30873	0.31372	0.33677	0.30395	0.18346	0.11275	0.12873	0.14373	0.08622	0.07876	0.08942	0.10553	0.1209	0.12353	0.54784	0.02957	0.03881	0.01062	0.0035	0.00345	0.169	0.299	0.517
E21	0.0927	0.07375	0.0812	0.12476	0.12472	0.14676	0.18905	0.17609	0.20436	0.18816	0.16711	0.18239	0.13376	0.11417	0.10304	0.10921	0.17279	0.21634	0.27444	0.33217	0.34482	0.30093	0.22328	0.25107	0.22128	0.2131	0.20896	0.14759	0.09232	0.0996	0.1058	0.06583	0.07199	0.06018	0.06644	0.08207	0.08383	0.30846	0.02844	0.0337	0.0119	0.00387	0.00385			
E22	0.03997	0.03306	0.03612	0.04996	0.05578	0.06357	0.07541	0.07902	0.08104	0.08156	0.08869	0.08003	0.0786	0.07983	0.09232	0.08455	0.18984	0.37405	0.31509	0.26241	0.24082	0.34183	0.49496	0.42507	0.34484	0.36721	0.30248	0.23938	0.11647	0.11939	0.10719	0.08596	0.07793	0.08351	0.10933	0.09446	0.08613	0.26399	0.02581	0.02782	0.00785	0.00314	0.00213			
E23	0.06647	0.0535	0.05621	0.08531	0.10351	0.11161	0.12392	0.13419	0.14749	0.13487	0.14155	0.13876	0.11759	0.0944	0.09704	0.11248	0.19067	0.3182	0.29171	0.2647	0.31016	0.30501	0.31365	0.34657	0.28856	0.26527	0.22595	0.18433	0.10188	0.11069	0.10933	0.07915	0.06992	0.07148	0.07852	0.08204	0.08963	0.28349	0.02641	0.0272	0.01054	0.00336	0.0029			
E24	0.04063	0.03895	0.0386	0.05741	0.06562	0.07484	0.07927	0.08347	0.09527	0.10828	0.09629	0.1082	0.09026	0.09168	0.09713	0.10323	0.17863	0.3095	0.24321	0.22572	0.23458	0.2702	0.40447	0.40429	0.35709	0.34626	0.29249	0.2399	0.11706	0.11346	0.12772	0.08911	0.0886	0.09138	0.11123	0.0958	0.10891	0.41511	0.02922	0.03763	0.00928	0.0034	0.00294			
E25	0.05715	0.04034	0.05241	0.08003	0.08744	0.0923	0.10786	0.12033	0.1211	0.11909	0.11732	0.1006	0.09373	0.08251	0.08369	0.09782	0.21952	0.37666	0.32849	0.30841	0.32937	0.33955	0.38937	0.43301	0.33239	0.29209	0.24744	0.21263	0.10543	0.09871	0.08941	0.06899	0.06371	0.069	0.08893	0.07593	0.07601	0.1721	0.02182	0.02316	0.00932	0.00316	0.00235			
