Year	Make	Power	0~60 mph	Weight	Gas Mileage	Engine Displacement
1998	Mazda	52	14	1698	21	2294.6
1998	Isuzu	77	15	1284	22	4097.5
1998	Saab	66	12	1142	23	3802.5
1998	Nissan	63	16	971	21	1966.8
1998	Toyota	82	19	1318	23	3802.5
1998	Kia	63	19	916	23	1999.6
1998	Lexus	71	14	1179	22	2392.9
1998	Mercedes	78	17	1325	21	2540.4
1998	Mercedes	69	14	2218	21	3278
1998	Volvo	84	15	1607	21	1983.2
1998	Lincoln	69	16	1036	22	1770.1
1998	Toyota	39	18	1246	23	1589.8
1998	Honda	64	15	958	22	2294.6
1998	Buick	80	15	1099	22	1983.2
1998	Isuzu	73	13	833	22	3687.7
1998	Infiniti	64	17	1308	23	1966.8
1998	Saturn	57	19	1228	23	2294.6
1998	Saturn	52	13	1655	23	2294.6
1998	GMC	72	14	1333	21	1983.2
1998	Saab	69	24	924	23	3245.2
1998	Chrysler	77	14	1728	23	2556.8
1998	Kia	71	12	1191	23	1966.8
1998	Acura	63	14	1567	21	1999.6
1998	GMC	69	13	911	23	1884.8
1998	Suzuki	80	18	1515	22	3786.1
1998	Suzuki	69	15	1505	23	3245.2
1998	Volvo	69	22	1320	21	2196.3
1998	Nissan	80	14	1149	22	1311.2
1999	Nissan	84	17	1332	24	1983.2
1999	Chrysler	80	16	1520	24	2966.6
1999	Suzuki	80	24	1767	23	1983.2
1999	Acura	66	17	1077	23	2474.9
1999	Suzuki	71	18	1323	23	1950.4
1999	Acura	71	23	1238	24	1966.8
1999	Isuzu	66	16	1281	24	4261.4
1999	Honda	66	14	847	23	1753.7
1999	GMC	55	15	1372	23	1901.2
1999	Saab	67	19	1344	23	2294.6
1999	Buick	67	10	895	24	2294.6
1999	Buick	88	13	1204	23	2392.9
1999	Volvo	62	14	1182	24	2474.9
1999	Honda	70	18	1067	24	2196.3
1999	Mazda	80	16	815	23	2835.5
1999	Saab	91	17	1324	23	5736.5
1999	Lincoln	71	22	1134	23	1950.4
1999	Kia	73	19	1180	23	1147.3
1999	Lexus	59	15	1253	23	3278
1999	Mercedes	69	14	925	24	1852.1
1999	Infiniti	64	15	1142	24	2294.6
1999	Toyota	55	18	816	24	1475.1
1999	Saturn	55	17	1148	24	2294.6
1999	Mercedes	69	15	1339	24	1852.1
2000	Kia	58	12	985	26	1606.2
2000	Lincoln	51	16	1129	25	1491.5
2000	Infiniti	59	16	1326	24	1901.2
2000	Saab	69	14	1412	24	1852.1
2000	Lexus	64	21	1786	26	1835.7
2000	Volvo	84	12	967	26	2835.5
2000	Kia	52	18	773	25	1475.1
2000	Suzuki	61	17	987	26	2212.6
2000	Saturn	67	14	929	25	2556.8
2000	Saturn	66	21	1343	25	1606.2
2000	Nissan	64	14	1338	24	2474.9
2000	Chrysler	33	19	1233	25	1589.8
2000	Mazda	69	16	970	24	1704.6
2000	Nissan	66	18	1007	26	2474.9
2000	Volvo	33	13	1031	25	1589.8
2000	GMC	49	19	1285	26	1294.8
2000	Buick	58	22	1706	24	1606.2
2000	Mazda	70	21	1622	25	1999.6
2000	Honda	44	13	1210	24	1606.2
2000	Isuzu	50	10	932	25	1573.4
2000	Mercedes	58	18	1026	25	1999.6
2000	Isuzu	83	11	1299	25	1983.2
2000	Toyota	55	15	1543	26	1901.2
2000	Acura	64	12	1202	25	2294.6
2000	Acura	65	21	1251	25	2294.6
2000	Lincoln	55	15	1296	25	1589.8
2000	Infiniti	57	16	1282	26	1589.8
2000	Toyota	67	15	1549	25	2556.8
2000	GMC	85	15	1611	24	2753.5
2000	Buick	68	19	940	25	1770.1
2000	Chrysler	63	17	1390	24	1802.9
2000	Lexus	56	17	1375	24	2999.4
2001	Mercedes	66	17	1124	27	2474.9
2001	Infiniti	58	16	1041	27	1983.2
2001	Saab	67	11	1513	28	1589.8
2001	Nissan	55	12	1165	28	1475.1
2001	Buick	66	18	843	28	1901.2
2001	Mercedes	61	17	1256	27	1655.4
2001	Chrysler	66	16	956	28	2294.6
2001	Chrysler	64	16	997	27	1589.8
2001	Kia	44	16	1613	27	1589.8
2001	GMC	64	16	1211	27	1589.8
2001	Lexus	61	16	1498	27	2474.9
2001	Nissan	84	19	1266	29	2835.5
2001	Volvo	55	19	1174	28	1589.8
2001	Suzuki	77	21	1257	27	5736.5
2001	Saturn	63	14	787	27	1753.7
2001	Mazda	71	20	1162	26	1950.4
2001	Honda	64	17	746	27	1589.8
2001	Acura	58	19	880	28	2311
2001	Lincoln	66	16	1185	29	2474.9
2001	Toyota	61	17	882	29	2212.6
2001	Infiniti	52	11	1246	27	2311
2001	Isuzu	58	23	1536	28	1966.8
2001	Lincoln	69	15	1031	28	2196.3
2001	Toyota	52	17	1519	27	2294.6
2001	Honda	66	14	1847	26	2474.9
2001	Isuzu	64	25	1756	28	1835.7
2001	Suzuki	77	14	1029	29	2556.8
2001	Saab	63	15	1185	26	2294.6
2001	Saturn	58	14	1285	28	1606.2
2002	Lexus	55	15	1124	29	1442.3
2002	Acura	61	16	1401	29	1606.2
2002	GMC	45	14	1476	29	1458.7
2002	Mercedes	55	13	1128	30	2376.5
2002	Buick	55	14	1082	29	1589.8
2002	Lincoln	51	15	874	29	1475.1
2002	Kia	66	17	1231	30	2196.3
2002	Nissan	47	17	998	30	1606.2
2002	Mazda	49	15	884	29	2392.9
2002	Infiniti	51	19	1123	30	1294.8
2002	Toyota	52	14	1012	30	1589.8
2002	Saturn	57	12	1036	29	1589.8
2002	Lexus	49	21	1113	30	1589.8
2002	Mazda	58	17	1187	29	1819.3
2002	Saab	61	12	923	29	2212.6
2002	Suzuki	38	15	899	29	1393.1
2002	Volvo	49	16	902	30	1606.2
2002	Chrysler	62	22	1041	30	1835.7
2002	Isuzu	36	16	985	29	1114.5
2002	Honda	51	17	1240	29	1475.1
2002	Volvo	49	10	1086	30	1606.2
2003	Mazda	70	14	804	33	2360.2
2003	Saab	49	13	1460	32	1606.2
2003	Kia	47	16	1387	31	1163.7
2003	Nissan	49	22	1309	31	1294.8
2003	GMC	46	18	1035	31	1606.2
2003	Toyota	55	14	882	32	1720.9
2003	Chrysler	54	17	1099	34	1966.8
2003	Kia	49	14	1322	31	1294.8
2003	Infiniti	52	19	1228	33	1753.7
2003	Suzuki	57	16	1509	31	1589.8
2003	Lexus	49	19	1266	33	1491.5
2003	Buick	55	21	1236	31	1966.8
2003	Acura	49	12	1130	31	1491.5
2003	Volvo	52	20	1124	33	1458.7
2003	Saturn	51	12	1005	33	1393.1
2003	Lincoln	44	16	906	34	1360.4
2003	Mercedes	55	19	985	33	1770.1
2003	Honda	38	19	1024	31	1245.6
2003	Isuzu	49	22	1136	33	1589.8
2003	Buick	60	18	1021	31	1950.4
2003	GMC	47	17	872	32	1163.7
2003	Acura	51	23	724	33	1606.2
2004	Saab	55	22	1037	34	1770.1
2004	Saturn	66	16	790	36	2474.9
2004	Lincoln	47	13	1124	34	1393.1
2004	Suzuki	38	14	1173	35	1491.5
2004	Mercedes	54	17	1075	35	1720.9
2004	Infiniti	38	12	867	35	1491.5
2004	Isuzu	49	15	848	36	1589.8
2004	Honda	52	19	1319	35	1458.7
