The data in this file is a subset of EMG recording of lower limb muscles during VO2max test.
Courtesy of INSEP Research Department (http://www.insep.fr)

Time	Vastus Lateralis
4.2915	1.5564
4.292	-12.6343
4.2925	-9.7961
4.293	-10.3455
4.2935	-2.1057
4.294	8.1482
4.2945	13.092
4.295	28.2898
4.2955	37.4451
4.296	49.9878
4.2965	63.8123
4.297	79.3762
4.2975	81.8481
4.298	76.4465
4.2985	69.8547
4.299	61.5234
4.2995	48.8892
4.3	35.0647
4.3005	24.8108
4.301	22.9797
4.3015	28.656
4.302	42.3889
4.3025	49.7131
4.303	55.6641
4.3035	53.9246
4.304	32.5928
4.3045	5.7678
4.305	-14.5569
4.3055	-17.3035
4.306	-43.3044
4.3065	-64.27
4.307	-55.0232
4.3075	-50.9033
4.308	-36.5295
4.3085	-5.0354
4.309	-9.0637
4.3095	-10.0708
4.31	4.1199
4.3105	17.4866
4.311	23.3459
4.3115	35.614
4.312	40.4663
4.3125	49.4385
4.313	61.4319
4.3135	70.9534
4.314	63.0798
4.3145	55.3894
4.315	51.3611
4.3155	50.9033
4.316	58.8684
4.3165	68.7561
4.317	76.9043
4.3175	74.2493
4.318	74.6155
4.3185	73.8831
4.319	66.5588
4.3195	62.5305
4.32	65.4602
4.3205	74.6155
4.321	85.4187
4.3215	79.3762
4.322	81.7566
4.3225	85.6934
4.323	88.0737
4.3235	87.616
4.324	83.313
4.3245	72.6929
4.325	63.8123
4.3255	56.6711
4.326	47.699
4.3265	46.5088
4.327	22.6135
4.3275	17.5781
4.328	17.7612
4.3285	6.6833
4.329	8.1482
4.3295	-0.4578
4.33	-10.2539
4.3305	-14.5569
4.331	-4.8523
4.3315	-0.1831
4.332	2.0142
4.3325	1.4648
4.333	7.0496
4.3335	23.0713
4.334	39.7339
4.3345	40.4663
4.335	39.3677
4.3355	31.4026
4.336	29.9377
4.3365	32.3181
4.337	39.6423
4.3375	39.093
4.338	43.396
4.3385	32.6843
4.339	31.5857
4.3395	31.2195
4.34	42.2058
4.3405	37.262
4.341	40.1917
4.3415	45.6848
4.342	30.9448
4.3425	34.8816
4.343	20.5994
4.3435	24.9023
4.344	35.5225
4.3445	27.3743
4.345	29.7546
4.3455	13.4583
4.346	8.4229
4.3465	-6.0425
4.347	0.5493
4.3475	24.6277
4.348	5.7678
4.3485	-15.8386
4.349	-25.7263
4.3495	-42.2974
4.35	-57.6782
4.3505	-77.4536
4.351	-75.3479
4.3515	-82.489
4.352	-73.3337
4.3525	-63.6292
4.353	-33.4167
4.3535	-15.1978
4.354	-6.5002
4.3545	6.0425
4.355	2.2888
4.3555	-15.1978
4.356	-25.3601
4.3565	-29.8462
4.357	-33.4167
4.3575	-39.7339
4.358	-49.1638
4.3585	-54.8401
4.359	-63.1714
4.3595	-49.8047
4.36	-45.8679
4.3605	-43.1213
4.361	-52.0935
4.3615	-45.1355
4.362	-19.6838
4.3625	8.6975
4.363	38.8184
4.3635	70.9534
4.364	87.0667
4.3645	98.4192
4.365	96.4966
4.3655	91.3696
4.366	82.489
4.3665	68.3899
4.367	42.7551
4.3675	-1.4648
4.368	-46.6003
4.3685	-77.179
4.369	-85.7849
4.3695	-94.3909
4.37	-75.8972
4.3705	-68.0237
4.371	-64.5447
4.3715	-65.2771
4.372	-57.5867
4.3725	-48.7061
4.373	-28.5645
4.3735	-10.5286
4.374	8.9722
4.3745	12.9089
4.375	-1.9226
4.3755	-40.4663
4.376	-95.9473
4.3765	-138.3362
4.377	-170.5627
4.3775	-201.1414
4.378	-196.3806
4.3785	-191.0706
4.379	-189.0564
4.3795	-166.626
4.38	-138.6108
4.3805	-128.6316
4.381	-111.4197
4.3815	-107.7576
4.382	-110.7788
4.3825	-137.146
4.383	-147.7661
4.3835	-162.8723
4.384	-178.1616
4.3845	-144.7449
4.385	-106.0181
4.3855	-65.918
4.386	-31.5857
4.3865	18.219
4.387	39.5508
4.3875	51.6357
4.388	83.5876
4.3885	75.2563
4.389	97.1375
4.3895	96.3135
4.39	75.8057
4.3905	54.1992
4.391	39.6423
4.3915	32.5012
4.392	39.917
4.3925	49.7131
4.393	44.1284
4.3935	27.1912
4.394	26.6418
4.3945	43.9453
4.395	47.9736
4.3955	23.8953
4.396	-34.9731
4.3965	-90.9119
4.397	-141.8152
4.3975	-194.0918
4.398	-235.9314
4.3985	-294.5251
4.399	-305.0537
4.3995	-319.8853
4.4	-289.032
4.4005	-238.9526
4.401	-190.0635
4.4015	-142.5476
4.402	-71.5942
4.4025	-9.4299
4.403	21.8811
4.4035	9.7961
4.404	1.5564
4.4045	-1.6479
4.405	19.3176
4.4055	39.6423
4.406	97.5037
4.4065	128.54
4.407	139.1602
4.4075	156.8298
4.408	179.9927
4.4085	210.2966
4.409	214.0503
4.4095	189.5142
4.41	159.3018
4.4105	123.0469
4.411	85.6018
4.4115	62.8967
4.412	-38.8184
4.4125	-98.4192
4.413	-90.8203
4.4135	-70.7703
4.414	-61.2488
4.4145	-87.8906
4.415	-93.75
4.4155	-70.0378
4.416	1.0071
4.4165	85.144
4.417	186.8591
4.4175	258.4534
4.418	302.5818
4.4185	306.7017
4.419	296.6309
4.4195	250.0305
4.42	205.2612
4.4205	172.3938
4.421	128.2654
4.4215	84.8694
4.422	55.0232
4.4225	-28.1067
4.423	-140.8081
4.4235	-228.241
4.424	-265.4114
4.4245	-328.7659
4.425	-393.219
4.4255	-455.8411
4.426	-488.1592
4.4265	-474.6094
4.427	-431.9458
4.4275	-396.1487
4.428	-337.0056
4.4285	-263.2141
4.429	-197.6624
4.4295	-197.3877
4.43	-210.2966
4.4305	-195.6482
4.431	-204.4373
4.4315	-122.406
4.432	-14.8315
4.4325	94.2993
4.433	179.2603
4.4335	248.6572
4.434	320.343
4.4345	367.1265
4.435	372.4365
4.4355	334.9915
4.436	269.8059
4.4365	182.7393
4.437	95.7642
4.4375	37.9944
4.438	-64.5447
4.4385	-187.6831
4.439	-268.7073
4.4395	-227.7832
4.44	-181.4575
4.4405	-173.4924
4.441	-157.196
4.4415	-74.7986
4.442	-0.7324
4.4425	60.9741
4.443	88.5315
4.4435	86.7004
4.444	116.7297
4.4445	125.6104
4.445	94.7571
4.4455	55.9387
4.446	-16.8457
4.4465	-49.3469
4.447	-51.3611
4.4475	-141.7236
4.448	-206.3599
4.4485	-221.283
4.449	-208.9233
4.4495	-223.2056
4.45	-238.5864
4.4505	-205.0781
4.451	-140.0757
4.4515	-56.5796
4.452	67.8406
4.4525	217.6208
4.453	293.7927
4.4535	259.3689
4.454	68.7561
4.4545	-55.1147
4.455	-174.0417
4.4555	-198.2117
4.456	-227.5085
4.4565	-208.9233
4.457	-126.2512
4.4575	-5.0354
4.458	181.1829
4.4585	384.0637
4.459	506.1951
4.4595	604.7974
4.46	611.4807
4.4605	570.282
4.461	464.0808
4.4615	278.0457
4.462	133.2092
4.4625	91.095
4.463	92.6514
4.4635	67.2913
4.464	123.6877
4.4645	153.0762
4.465	172.0276
4.4655	169.8303
4.466	169.0063
4.4665	113.6169
4.467	70.9534
4.4675	45.5933
4.468	28.8391
4.4685	25.9094
4.469	24.4446
4.4695	19.6838
4.47	30.304
4.4705	18.5852
4.471	-6.2256
4.4715	-45.1355
4.472	-89.9963
4.4725	-123.1384
4.473	-124.9695
4.4735	-126.709
4.474	-130.2795
4.4745	-140.8081
4.475	-156.9214
4.4755	-186.2183
4.476	-204.3457
4.4765	-246.3684
4.477	-321.5332
4.4775	-385.6201
4.478	-413.5437
4.4785	-441.925
4.479	-480.7434
4.4795	-514.3433
4.48	-531.8298
4.4805	-574.4019
4.481	-555.7251
4.4815	-504.1809
4.482	-422.699
4.4825	-366.9434
4.483	-330.6885
4.4835	-275.8484
4.484	-231.8115
4.4845	-134.3079
4.485	-21.2402
4.4855	78.186
4.486	244.6289
4.4865	355.3162
4.487	359.1614
4.4875	374.0845
4.488	345.6116
4.4885	330.2307
4.489	354.126
4.4895	304.0466
4.49	282.3486
4.4905	312.0117
4.491	312.1948
4.4915	235.3821
4.492	182.6477
4.4925	134.5825
4.493	100.7996
4.4935	52.3682
4.494	-17.395
4.4945	-51.9104
4.495	-80.2917
4.4955	-72.3267
4.496	-80.1086
4.4965	-79.1016
4.497	-54.1077
4.4975	-24.7192
4.498	-35.7971
4.4985	-75.8972
4.499	-88.0737
4.4995	-122.9553
4.5	-176.0559
4.5005	-242.2485
4.501	-295.2576
4.5015	-313.5681
4.502	-316.1316
4.5025	-282.074
4.503	-267.8833
4.5035	-242.5232
4.504	-135.0403
4.5045	23.5291
4.505	175.6897
4.5055	250.1221
4.506	258.1787
4.5065	270.1721
4.507	256.8054
4.5075	192.5354
4.508	93.2007
4.5085	36.2549
4.509	-46.7834
4.5095	-135.9558
4.51	-265.9607
4.5105	-312.8357
4.511	-322.6318
4.5115	-326.3855
4.512	-285.7361
4.5125	-152.2522
4.513	-29.9377
4.5135	133.667
4.514	310.2722
4.5145	436.9812
4.515	529.0833
4.5155	552.7039
4.516	544.0979
4.5165	498.23
4.517	419.0369
4.5175	348.7244
4.518	281.9824
4.5185	176.239
4.519	58.4106
4.5195	-9.7046
4.52	-31.6772
4.5205	-28.1067
4.521	-27.3743
4.5215	-52.0935
4.522	-61.3403
4.5225	-20.874
4.523	43.3044
4.5235	101.0742
4.524	108.3069
4.5245	112.3352
4.525	76.7212
4.5255	66.3757
4.526	66.0095
4.5265	61.0657
4.527	57.1289
4.5275	63.2629
4.528	56.488
4.5285	29.3884
4.529	5.9509
4.5295	-12.9089
4.53	-15.1978
4.5305	-16.571
4.531	-31.4026
4.5315	-29.6631
4.532	-36.8958
4.5325	-31.7688
4.533	-38.0859
4.5335	-41.6565
4.534	-41.1072
4.5345	-45.0439
4.535	-61.4319
4.5355	-58.3191
4.536	-60.6995
4.5365	-68.9392
4.537	-72.6929
4.5375	-69.8547
4.538	-75.531
4.5385	-82.6721
4.539	-82.1228
4.5395	-72.4182
4.54	-76.7212
4.5405	-78.2776
4.541	-74.9817
4.5415	-74.0662
4.542	-66.2842
4.5425	-57.9529
4.543	-57.2205
4.5435	-52.4597
4.544	-55.7556
4.5445	-56.8542
4.545	-56.8542
4.5455	-57.1289
4.546	-54.7485
4.5465	-49.7131
4.547	-51.9104
4.5475	-50.7202
4.548	-56.3049
4.5485	-55.9387
4.549	-45.6848
4.5495	-35.9802
4.55	-37.9944
4.5505	-28.4729
4.551	-34.3323
4.5515	-32.6843
4.552	-24.2615
4.5525	-13.7329
4.553	-14.4653
4.5535	-11.1694
4.554	-12.2681
4.5545	-12.8174
4.555	-7.3242
4.5555	-4.3945
4.556	3.3875
4.5565	-6.134
4.557	-5.5847
4.5575	-8.3313
4.558	-2.3804
4.5585	-0.0916
4.559	-4.8523
4.5595	-4.2114
4.56	-7.1411
4.5605	3.5706
4.561	-1.1902
4.5615	-3.479
4.562	-10.3455
4.5625	-5.4932
4.563	0.3662
4.5635	-6.6833
4.564	5.0354
4.5645	2.3804
4.565	1.2817
4.5655	2.5635
4.566	6.3171
4.5665	5.4016
4.567	2.0142
4.5675	-5.5847
4.568	-5.2185
4.5685	-5.2185
4.569	-5.5847
4.5695	-5.5847
4.57	-2.0142
4.5705	-5.2185
4.571	-9.2468
4.5715	-4.6692
4.572	-5.2185
4.5725	-9.0637
4.573	-12.3596
4.5735	-4.7607
4.574	-10.3455
4.5745	-8.5144
4.575	-6.8665
4.5755	-1.5564
4.576	-8.6975
4.5765	-7.8735
4.577	-7.1411
4.5775	-7.782
4.578	-6.5918
4.5785	-10.0708
4.579	-12.085
4.5795	-12.6343
4.58	-6.7749
4.5805	-7.1411
4.581	-0.9155
4.5815	-11.4441
4.582	-7.2327
4.5825	-13.1836
4.583	-10.7117
4.5835	-9.0637
4.584	-13.3667
4.5845	-9.7961
4.585	-8.3313
4.5855	-14.74
4.586	-9.613
4.5865	-8.5144
4.587	-14.6484
4.5875	-14.6484
4.588	-8.9722
4.5885	-6.7749
4.589	-10.7117
4.5895	-9.4299
4.59	-17.6697
4.5905	-7.5073
4.591	-5.6763
4.5915	-7.782
4.592	-7.9651
4.5925	-10.2539
4.593	-5.0354
4.5935	-5.5847
4.594	-2.2888
4.5945	-0.4578
4.595	-1.1902
4.5955	-1.8311
4.596	-3.479
4.5965	-9.5215
4.597	-8.2397
4.5975	-7.782
4.598	-3.479
4.5985	-0.824
4.599	-3.479
4.5995	3.8452
4.6	-2.3804
4.6005	-12.085
4.601	-3.3875
4.6015	-7.6904
4.602	-2.7466
4.6025	-5.0354
4.603	-10.2539
4.6035	-17.7612
4.604	-10.5286
4.6045	-13.2751
4.605	-16.3879
4.6055	-13.7329
4.606	-10.2539
4.6065	-9.5215
4.607	-9.3384
4.6075	-3.7537
4.608	-3.479
4.6085	-3.9368
4.609	-4.2114
4.6095	-3.1128
4.61	-3.6621
4.6105	-11.1694
4.611	-12.5427
4.6115	2.0142
4.612	-10.7117
4.6125	-13.6414
4.613	-5.4932
4.6135	-10.9863
4.614	-1.0071
4.6145	-3.5706
4.615	-4.1199
4.6155	-6.3171
4.616	-11.5356
4.6165	-8.6975
4.617	-8.606
4.6175	-6.2256
4.618	-1.7395
4.6185	-4.4861
4.619	-6.134
4.6195	-12.5427
4.62	-11.6272
4.6205	-8.0566
4.621	-9.9792
4.6215	-12.9089
4.622	-9.7046
4.6225	-13.4583
4.623	-9.0637
4.6235	-9.9792
4.624	-12.1765
4.6245	-13.3667
4.625	-18.7683
4.6255	-12.9089
4.626	-15.1062
4.6265	-6.8665
4.627	-6.0425
4.6275	-11.6272
4.628	-8.6975
4.6285	-11.8103
4.629	-7.782
4.6295	-12.5427
4.63	-17.2119
4.6305	-19.5007
4.631	-21.7896
4.6315	-17.1204
4.632	-15.4724
4.6325	-19.7754
4.633	-18.3105
4.6335	-12.7258
4.634	-11.7188
4.6345	-14.5569
4.635	-9.2468
4.6355	-12.9089
4.636	-11.8103
4.6365	-12.5427
4.637	-23.2544
4.6375	-13.092
4.638	-22.9797
4.6385	-18.5852
4.639	-13.6414
4.6395	-13.1836
4.64	-9.7046
4.6405	-9.2468
4.641	-9.1553
4.6415	-9.7046
4.642	-6.0425
4.6425	-6.6833
4.643	-14.6484
4.6435	-8.4229
4.644	-7.782
4.6445	-9.8877
4.645	-11.261
4.6455	-4.1199
4.646	-6.3171
4.6465	-2.5635
4.647	-8.7891
4.6475	-6.7749
4.648	-4.5776
4.6485	-1.2817
4.649	-3.3875
4.6495	-4.6692
4.65	-10.7117
4.6505	-6.7749
4.651	-2.8381
4.6515	-7.782
4.652	-8.3313
4.6525	-2.3804
4.653	1.4648
4.6535	-6.6833
4.654	0.2747
4.6545	-1.6479
4.655	6.7749
4.6555	-1.9226
4.656	-0.0916
4.6565	-8.1482
4.657	-1.2817
4.6575	-3.3875
4.658	-8.1482
4.6585	-3.6621
4.659	-4.4861
4.6595	3.7537
4.66	2.2888
4.6605	-1.1902
4.661	-0.824
4.6615	1.2817
4.662	1.3733
4.6625	-0.1831
4.663	1.7395
4.6635	-4.0283
4.664	2.4719
4.6645	-1.8311
4.665	-1.8311
4.6655	-5.3101
4.666	1.0071
4.6665	-3.7537
4.667	-1.2817
4.6675	-0.0916
4.668	12.1765
4.6685	-8.4229
4.669	-2.8381
4.6695	0.5493
4.67	-1.5564
4.6705	-1.6479
4.671	-4.5776
4.6715	-11.5356
4.672	-7.0496
4.6725	-4.3945
4.673	0.2747
4.6735	8.1482
4.674	3.1128
4.6745	3.0212
4.675	-1.5564
4.6755	-2.5635
4.676	1.3733
4.6765	-3.2043
4.677	-0.4578
4.6775	-5.4932
4.678	-5.7678
4.6785	-11.9019
4.679	0.5493
4.6795	-1.1902
4.68	-1.4648
4.6805	2.2888
4.681	-3.3875
4.6815	0.3662
4.682	-2.1057
4.6825	7.9651
4.683	3.479
4.6835	3.1128
4.684	-3.3875
4.6845	2.9297
4.685	-1.8311
4.6855	2.5635
4.686	-0.824
4.6865	-1.1902
4.687	-3.3875
4.6875	-0.824
4.688	6.0425
4.6885	-0.4578
4.689	-7.782
4.6895	5.5847
4.69	2.5635
4.6905	-1.0071
4.691	-4.2114
4.6915	2.5635
4.692	7.2327
4.6925	9.3384
4.693	6.5918
4.6935	5.0354
4.694	13.916
4.6945	12.1765
4.695	6.8665
4.6955	7.2327
4.696	0.0916
