Magnetic Field (Tesla)	ODEPR Signal
9910	-0.0012072372
9920	-0.0011933244
9930	-0.0011980917
9940	-0.0012074733
9950	-0.001203801
9960	-0.0011981615
9970	-0.0011939412
9980	-0.0011830702
9990	-0.001186212
10000	-0.0011922513
10010	-0.0011840148
10020	-0.0012214861
10030	-0.0012077632
10040	-0.0011935165
10050	-0.0012025697
10060	-0.0011812343
10070	-0.0011993548
10080	-0.0011997179
10090	-0.0012068241
10100	-0.0011955439
10110	-0.0011948193
10120	-0.0011875028
10130	-0.0011654332
10140	-0.001159787
10150	-0.0011632122
10160	-0.0011689819
10170	-0.0011672407
10180	-0.0011725752
10190	-0.0011831845
10200	-0.0011792072
10210	-0.0011800301
10220	-0.001173995
10230	-0.0011696503
10240	-0.0011634175
10250	-0.0011775
10260	-0.0011636356
10270	-0.001175224
10280	-0.0011736641
10290	-0.0011708242
10300	-0.0012053903
10310	-0.0011641258
10320	-0.0011679877
10330	-0.0011822305
10340	-0.0011808447
10350	-0.0011956021
10360	-0.0011826893
10370	-0.0011872053
10380	-0.0011819725
10390	-0.0011998961
10400	-0.001203617
10410	-0.0012102053
10420	-0.0012005094
10430	-0.0011922478
10440	-0.001196841
10450	-0.0011782791
10460	-0.0011887254
10470	-0.0011920589
10480	-0.0011978318
10490	-0.0011746949
10500	-0.001190815
10510	-0.0011938047
10520	-0.0011921369
10530	-0.0011776714
10540	-0.0011793644
10550	-0.0012040768
10560	-0.0011938031
10570	-0.0011752133
10580	-0.0011809214
10590	-0.0011854295
10600	-0.0011557786
10610	-0.001160337
10620	-0.001169617
10630	-0.0011686551
10640	-0.0011812157
10650	-0.0011734632
10660	-0.0011566336
10670	-0.0011760187
10680	-0.001171662
10690	-0.0011647269
10700	-0.0011639847
10710	-0.0011534732
10720	-0.0011558559
10730	-0.001149277
10740	-0.0011560164
10750	-0.0011538837
10760	-0.0011580629
10770	-0.0011572702
10780	-0.0011765056
10790	-0.0011804321
10800	-0.0011709628
10810	-0.0011760762
10820	-0.0011749938
10830	-0.0011839481
10840	-0.0011885375
10850	-0.001178035
10860	-0.0011753948
10870	-0.0011814759
10880	-0.0011865078
10890	-0.0011708956
10900	-0.0011763763
10910	-0.0011764848
10920	-0.0011676283
10930	-0.0011618794
10940	-0.0011911899
10950	-0.0011923564
10960	-0.001190399
10970	-0.001183925
10980	-0.0012012769
10990	-0.0011826432
11000	-0.0011896202
11010	-0.0011898892
11020	-0.0011824546
11030	-0.001202393
11040	-0.0011883222
11050	-0.0011852465
11060	-0.0011902919
11070	-0.0011833845
11080	-0.0011808989
11090	-0.0011740656
11100	-0.0011601417
11110	-0.0011726695
11120	-0.0011581605
11130	-0.0011615877
11140	-0.0011481875
11150	-0.0011337702
11160	-0.0011212028
11170	-0.001127755
11180	-0.0011203272
11190	-0.0010951058
11200	-0.0010867384
11210	-0.0011100825
11220	-0.0010907321
11230	-0.0010854158
11240	-0.0010895316
11250	-0.0010674372
11260	-0.0010545912
11270	-0.0010502768
11280	-0.0010488982
11290	-0.0010552765
11300	-0.0010286937
11310	-0.0010405661
11320	-0.0010251446
11330	-0.001030273
11340	-0.0010225912
11350	-0.0010267272
11360	-0.00100909
11370	-0.0010047001
11380	-0.0010102838
11390	-0.0010011951
11400	-0.0009917563
11410	-0.0009728168
11420	-0.0009618531
11430	-0.0009547812
11440	-0.000950546
11450	-0.0009296028
11460	-0.0009258953
11470	-0.0009368604
11480	-0.0009388331
11490	-0.0009256751
11500	-0.0009346117
11510	-0.0009457938
11520	-0.0009473176
11530	-0.0009433333
11540	-0.0009431444
11550	-0.000928502
11560	-0.0009343241
11570	-0.0009623791
11580	-0.0009538601
11590	-0.0009567076
11600	-0.0009614852
11610	-0.0009466714
11620	-0.0009556835
11630	-0.0009649296
11640	-0.0009700834
11650	-0.0009634002
11660	-0.0009853203
11670	-0.0009844329
11680	-0.0009964734
11690	-0.0009937806
11700	-0.0010034135
11710	-0.0010304544
11720	-0.0010747838
11730	-0.0010857867
11740	-0.0010875419
11750	-0.001121552
11760	-0.0011176331
11770	-0.0011213739
11780	-0.0011203183
11790	-0.0011322826
11800	-0.0011361152
11810	-0.0011260706
11820	-0.0011254054
11830	-0.0011189407
11840	-0.0011173965
11850	-0.0011119898
11860	-0.0011096639
11870	-0.0010848631
11880	-0.0010721746
11890	-0.0010794474
11900	-0.001058662
11910	-0.001051265
11920	-0.0010524472
11930	-0.0010273524
11940	-0.0010356066
11950	-0.0009966852
11960	-0.0009810982
11970	-0.0009751208
11980	-0.0009481791
11990	-0.0009260733
12000	-0.000895001
12010	-0.0008882634
12020	-0.0008820519
12030	-0.0008664862
12040	-0.0008446172
12050	-0.0008439377
12060	-0.0008326714
12070	-0.0008296451
12080	-0.0008391732
12090	-0.0008473107
12100	-0.0008165297
12110	-0.0008290381
12120	-0.0008299358
12130	-0.0008259118
12140	-0.0008419895
12150	-0.000836702
12160	-0.0008463952
12170	-0.0008697463
12180	-0.0008919435
12190	-0.0008969256
12200	-0.0008961033
12210	-0.0008929412
12220	-0.0009138344
12230	-0.0009147309
12240	-0.0009163402
12250	-0.0009064991
12260	-0.0008803155
12270	-0.0008691465
12280	-0.0008567459
12290	-0.0008216044
12300	-0.0007554112
12310	-0.000721337
12320	-0.0006549782
12330	-0.000591498
12340	-0.0004958698
12350	-0.0004072994
12360	-0.0003848212
12370	-0.0003001724
12380	-0.0002185515
12390	-0.0001591171
12400	-0.0001329981
12410	-0.0000624586
12420	-0.0000211803
12430	-0.0000539576
12440	-0.0000748079
12450	-0.0000506958
12460	-0.0000356055
12470	-0.0001186848
12480	-0.0001855595
12490	-0.0001868805
12500	-0.000229373
12510	-0.0003107872
12520	-0.0003621559
12530	-0.0004046869
12540	-0.0004544194
12550	-0.0005353552
12560	-0.0005899639
12570	-0.0006235614
12580	-0.0006388354
12590	-0.0006700371
12600	-0.0006926085
12610	-0.0007151937
12620	-0.000747196
12630	-0.0007478598
12640	-0.0007616763
12650	-0.0007543898
12660	-0.0007663431
12670	-0.0007709144
12680	-0.0007794739
12690	-0.0007667283
12700	-0.0007668828
12710	-0.0007648936
12720	-0.0007726938
12730	-0.0007785063
12740	-0.0007918064
12750	-0.000780354
12760	-0.0007916676
12770	-0.0007797408
12780	-0.0008098744
12790	-0.0008255097
12800	-0.0008317556
12810	-0.0008420011
12820	-0.0008530971
12830	-0.000898063
12840	-0.0009166643
12850	-0.0009283142
12860	-0.000968332
12870	-0.0009909626
12880	-0.0010216599
12890	-0.0010384095
12900	-0.001057932
12910	-0.0010584312
12920	-0.0010945671
12930	-0.0011087427
12940	-0.0011110927
12950	-0.0011152917
12960	-0.0011293112
12970	-0.001123823
12980	-0.0011296524
12990	-0.0011309097
13000	-0.0011398291
13010	-0.001141643
13020	-0.001113743
13030	-0.0011443047
13040	-0.0011508315
13050	-0.0011461108
13060	-0.0011451847
13070	-0.0011514233
13080	-0.0011413421
13090	-0.001139999
13100	-0.0011290341
13110	-0.0011211406
13120	-0.0011081504
13130	-0.001095404
13140	-0.0010929802
13150	-0.0010853185
13160	-0.0010612484
13170	-0.0010261606
13180	-0.0010141539
13190	-0.0009881341
13200	-0.0009911879
13210	-0.0009987773
13220	-0.0009798181
13230	-0.0009708541
13240	-0.0009610791
13250	-0.0009543948
13260	-0.000954579
13270	-0.0009585587
13280	-0.0009510729
13290	-0.000935269
13300	-0.0009170609
13310	-0.000914278
13320	-0.00091284
13330	-0.0009059704
13340	-0.0009056268
13350	-0.0009155796
13360	-0.0009075982
13370	-0.0009158839
13380	-0.0009028407
13390	-0.0008932932
13400	-0.0008949377
13410	-0.0009144626
13420	-0.0009251025
13430	-0.0009157485
13440	-0.0009038151
13450	-0.0009363617
13460	-0.0009505309
13470	-0.0009572004
13480	-0.0009699368
13490	-0.0009949029
13500	-0.0010111172
13510	-0.0010125208
13520	-0.0010119488
13530	-0.0010171418
13540	-0.0010204585
13550	-0.0010297031
13560	-0.0010348747
13570	-0.0010209179
13580	-0.0010266738
13590	-0.0010519083
13600	-0.0010495117
13610	-0.0010735314
13620	-0.0010788887
13630	-0.0010699024
13640	-0.0010634635
13650	-0.0010489942
13660	-0.0011079776
13670	-0.0011041161
13680	-0.0011113592
13690	-0.0011192443
13700	-0.0011309183
13710	-0.0011478856
13720	-0.0011635505
13730	-0.001159289
13740	-0.0011586838
13750	-0.0011608051
13760	-0.0011470494
13770	-0.0011724964
13780	-0.0011591629
13790	-0.0011692369
13800	-0.0011775629
13810	-0.0011703652
13820	-0.0011550543
13830	-0.0011675168
13840	-0.0011896267
13850	-0.0011699556
13860	-0.0011660095
13870	-0.0011569468
13880	-0.0011649581
13890	-0.0011709848
13900	-0.0011750948
13910	-0.0011744342
13920	-0.0011748314
13930	-0.0011585245
13940	-0.0011701631
13950	-0.0011651441
13960	-0.0011512333
13970	-0.0011539646
13980	-0.0011644409
13990	-0.0011506539
14000	-0.0011299467
14010	-0.0011424224
14020	-0.0011418984
14030	-0.001137264
14040	-0.0011432344
14050	-0.0011377893
14060	-0.0011533998
14070	-0.001148592
14080	-0.0011487811
14090	-0.0011455396
14100	-0.0011418799
14110	-0.0011252935
14120	-0.0011346712
14130	-0.0011348528
14140	-0.001145541
14150	-0.0011516244
14160	-0.0011530757
14170	-0.0011637043
14180	-0.0011437329
14190	-0.0011586961
14200	-0.0011564656
14210	-0.0011693648
14220	-0.0011602235
14230	-0.0011772348
14240	-0.001183022
14250	-0.0011698944
14260	-0.0011834834
14270	-0.0011688503
14280	-0.0011627595
14290	-0.0011796212
14300	-0.0011663218
14310	-0.0011825268
14320	-0.0011716982
14330	-0.0011776932
14340	-0.0011801608
14350	-0.0011804365
14360	-0.0011771249
14370	-0.001171345
14380	-0.0011470121
14390	-0.0011731969
14400	-0.0011682782
14410	-0.0011733402
14420	-0.0011619998
14430	-0.0011506377
14440	-0.0011647496
14450	-0.001156071
14460	-0.0011596606
14470	-0.0011500076
14480	-0.0011347255
14490	-0.0011478142
14500	-0.0011544978
14510	-0.0011527292
14520	-0.0011573555
14530	-0.0011546513
14540	-0.0011587732
14550	-0.0011677808
14560	-0.0011746959
14570	-0.0011671699
14580	-0.0011412817
14590	-0.0011585859
14600	-0.0011549981
14610	-0.0011611351
14620	-0.0011604332
14630	-0.0011657748
14640	-0.0011824144
14650	-0.0011698382
14660	-0.0011711317
14670	-0.001189445
14680	-0.0011801105
14690	-0.0011790392
14700	-0.0011820426
14710	-0.0012007035
14720	-0.0012027208
14730	-0.0011941994
14740	-0.0011833587
14750	-0.0011867517
14760	-0.0011834282
14770	-0.0011657372
14780	-0.0011887403
14790	-0.0011903676
14800	-0.0012011361
14810	-0.0011971625
14820	-0.0012075707
14830	-0.0012077449
14840	-0.0011994636
14850	-0.0012035975
14860	-0.0012082628
14870	-0.0011940834
14880	-0.001195937
14890	-0.0011874398
14900	-0.0012002497
14910	-0.0011941699
14920	-0.0011841839
14930	-0.0012013909
14940	-0.0011885812
14950	-0.0011862621
14960	-0.0011932884
14970	-0.0012014814
14980	-0.0011866068
14990	-0.0012061039
15000	-0.0011888001
15010	-0.0011911069
15020	-0.0012006913
15030	-0.0011925642
15040	-0.0012020023
15050	-0.0012011008
15060	-0.001187362
15070	-0.0011957151
15080	-0.0011963865
15090	-0.0011924838
15100	-0.0011997953
15110	-0.0011865922
15120	-0.0012068036
15130	-0.0011896804
15140	-0.001201037
15150	-0.0011905674
15160	-0.0011824754
15170	-0.0011794548
15180	-0.0011516351
15190	-0.0011980443
15200	-0.0011904456
15210	-0.0012063262
15220	-0.0011938689
15230	-0.0012006116
15240	-0.0012023402
15250	-0.0011978109
15260	-0.001193114
15270	-0.0012016323
15280	-0.0012022098
15290	-0.0011807092
15300	-0.001179903
15310	-0.0012012723
15320	-0.0012146166
15330	-0.0012109716
15340	-0.0011855324
15350	-0.0011999808
15360	-0.0011933715
15370	-0.0012018686
15380	-0.0011827336
15390	-0.0011901661
15400	-0.0012128892
15410	-0.0012275535
15420	-0.0011969635
15430	-0.0011898252
15440	-0.0011844352
15450	-0.0011941555
15460	-0.0012062046
15470	-0.0012013148
15480	-0.0011979385
15490	-0.0011914661
15500	-0.0011869665
15510	-0.0011916635
15520	-0.0011986483
15530	-0.0011928242
15540	-0.0011986865
15550	-0.0012001619
15560	-0.0011989275
15570	-0.0011997101
15580	-0.0011849658
15590	-0.0012037071
15600	-0.0012029691
15610	-0.0012092252
15620	-0.001191234
15630	-0.0011919632
15640	-0.0012056026
15650	-0.0012082504
15660	-0.0012036676
15670	-0.0012002212
15680	-0.0012002912
15690	-0.0011892414
15700	-0.0011998038
15710	-0.0011943063
15720	-0.0011922695
15730	-0.0011868857
15740	-0.0011880896
15750	-0.0012097848
15760	-0.001206144
15770	-0.0012080689
15780	-0.0012125737
15790	-0.0012127292
15800	-0.0012087819
15810	-0.0011839464
15820	-0.0011873854
15830	-0.0011968542
15840	-0.0011977446
15850	-0.0012084152
15860	-0.0012082407
15870	-0.0012274049
15880	-0.0012389684
15890	-0.0012275048
15900	-0.001215938
15910	-0.0011891648
15920	-0.0011931762
15930	-0.0011787793
15940	-0.0011738121
15950	-0.0012055419
15960	-0.0011934261
15970	-0.0011823074
15980	-0.0011915937
15990	-0.0012093851
16000	-0.0011958711
16010	-0.0011904748
16020	-0.0011766309
16030	-0.0011943316
16040	-0.0012161896
16050	-0.0011993521
16060	-0.0011970227
16070	-0.0012107171
16080	-0.0012051519
16090	-0.0012088566
16100	-0.0012100131
16110	-0.0011967357
16120	-0.0011874026
16130	-0.0011927569
16140	-0.0011771849
16150	-0.0011820051
16160	-0.0012091581
16170	-0.0012041617
16180	-0.0012016708
16190	-0.0012049511
16200	-0.0012002718
16210	-0.001192503
16220	-0.001195481
16230	-0.0012039666
16240	-0.0012183066
16250	-0.0012140029
16260	-0.0011831373
16270	-0.0011924618
16280	-0.0011982196
16290	-0.0011953032
16300	-0.0011934652
16310	-0.0011851542
16320	-0.00118985
16330	-0.0011946185
16340	-0.0012041694
16350	-0.0011941716
16360	-0.0011990428
16370	-0.0012084573
16380	-0.0011893145
16390	-0.0011899453
16400	-0.0012010693
16410	-0.0011994051
16420	-0.0011951441
16430	-0.0011988433
16440	-0.0012004863
16450	-0.001198151
16460	-0.0011977192
16470	-0.0012049339
16480	-0.0012080549
16490	-0.0012072993
16500	-0.0012059259
16510	-0.0012078794
16520	-0.0011923062
16530	-0.0011905391
16540	-0.0011972438
16550	-0.0011832551
16560	-0.0011869522
16570	-0.0011742376
16580	-0.0012019268
16590	-0.0012044285
16600	-0.0012055958
16610	-0.0012169797
16620	-0.001211228
16630	-0.0012147687
16640	-0.0012040512
16650	-0.0011959211
16660	-0.0011954143
16670	-0.0011999113
16680	-0.0012030951
16690	-0.0012040627
16700	-0.0012164509
16710	-0.0012068797
16720	-0.0012070699
16730	-0.0011995698
16740	-0.0012172026
16750	-0.0012022029
16760	-0.0012131693
16770	-0.0012014633
16780	-0.001216889
16790	-0.0012085278
16800	-0.0011921898
16810	-0.0011837577
16820	-0.0011964519
16830	-0.0011798153
16840	-0.001190558
16850	-0.0011929334
16860	-0.0011933747
16870	-0.0012047176
16880	-0.0012045104
16890	-0.0012066709
16900	-0.001200777
16910	-0.0011670101
16920	-0.0011873773
16930	-0.0012042998
16940	-0.0012083214
16950	-0.0012099256
16960	-0.0012071897
16970	-0.0012019316
16980	-0.001203881
16990	-0.0012182131
17000	-0.0012125407
