A	B	E	F	G	H	I	J
13.414	1.10249E8	11.76748	1.04138E8	12.15867	1.03321E8	13.24312	1.03371E8
13.36106	1.10009E8	12.05294	1.03664E8	12.15867	1.02931E8	13.42294	1.03371E8
13.84808	1.09769E8	12.10581	1.03284E8	12.43356	1.02368E8	13.19023	1.03465E8
13.8269	1.09529E8	12.10581	1.02619E8	12.43356	1.02066E8	13.56045	1.03465E8
13.77397	1.09433E8	12.10581	1.02049E8	12.43356	1.01633E8	13.56045	1.03371E8
14.02806	1.09337E8	12.41242	1.01432E8	12.66616	1.0133E8	13.29601	1.02809E8
13.90101	1.09193E8	12.23268	1.01004E8	12.66616	1.0133E8	13.68738	1.02341E8
14.11276	1.09097E8	12.41242	1.00767E8	12.53929	1.0133E8	13.5816	1.01873E8
14.08099	1.09097E8	12.66616	1.00624E8	12.77189	1.01113E8	13.45467	1.01873E8
14.18687	1.08953E8	12.43356	1.00624E8	12.75075	1.01113E8	13.81431	1.01638E8
14.34568	1.08953E8	12.69788	1.00387E8	12.80361	1.01113E8	13.68738	1.01311E8
14.29274	1.08857E8	12.77189	1.00292E8	12.89876	1.0081E8	13.8672	1.00842E8
14.38802	1.08617E8	12.79304	9.99596E7	12.85647	1.00507E8	14.06817	1.00374E8
14.57859	1.08377E8	12.8459	9.94847E7	13.00449	1.00161E8	13.78258	9.99523E7
14.34568	1.08137E8	12.8459	9.92473E7	12.95163	1.00074E8	14.0999	9.95776E7
14.59977	1.07801E8	12.79304	9.91523E7	13.05735	9.99446E7	14.06817	9.92497E7
14.9068	1.07417E8	12.82476	9.89149E7	13.23709	9.97281E7	14.04702	9.90155E7
14.70564	1.06841E8	12.87762	9.8535E7	13.26881	9.94251E7	14.0999	9.85471E7
14.85386	1.06169E8	12.89876	9.82026E7	13.28996	9.91221E7	14.40665	9.80788E7
15.13972	1.05545E8	13.02564	9.81076E7	13.44855	9.87759E7	14.17395	9.78914E7
14.9915	1.05353E8	13.11022	9.81076E7	13.36396	9.86027E7	14.4807	9.76572E7
15.19265	1.05209E8	12.98335	9.79651E7	13.5437	9.83863E7	14.56532	9.7423E7
15.3197	1.04969E8	13.00449	9.78702E7	13.50141	9.81699E7	14.53358	9.70483E7
15.06561	1.04729E8	13.05735	9.77277E7	13.52256	9.78236E7	14.7134	9.67205E7
15.47851	1.04489E8	13.05735	9.74903E7	13.5437	9.7434E7	14.67109	9.63926E7
15.53144	1.04057E8	13.13136	9.73003E7	13.64943	9.72176E7	14.51243	9.58305E7
15.35146	1.03577E8	13.3111	9.68254E7	13.68115	9.68713E7	14.76629	9.54558E7
15.7326	1.03001E8	13.25824	9.6588E7	13.73401	9.64818E7	14.69225	9.52216E7
15.60555	1.02425E8	13.36397	9.62556E7	13.73401	9.60489E7	14.56532	9.5128E7
15.47851	1.02041E8	13.25824	9.57807E7	13.75516	9.56161E7	14.7134	9.52216E7
15.8173	1.01706E8	13.28995	9.52109E7	13.88203	9.50967E7	14.81918	9.52216E7
15.76436	1.01466E8	13.52256	9.44986E7	13.88203	9.46638E7	14.63936	9.50343E7
15.71143	1.0137E8	13.46969	9.40237E7	13.75516	9.41444E7	15.03073	9.46596E7
15.92317	1.0137E8	13.36397	9.32165E7	14.0089	9.38414E7	14.92495	9.45659E7
15.83847	1.0137E8	13.5437	9.2884E7	14.04062	9.3625E7	14.85091	9.44254E7
15.69025	1.01226E8	13.41683	9.26466E7	14.0089	9.37116E7	15.05188	9.43317E7
16.15609	1.0113E8	13.52256	9.24092E7	14.0089	9.3625E7	15.10477	9.38633E7
15.96552	1.0089E8	13.72344	9.20768E7	13.98776	9.34951E7	15.03073	9.36292E7
16.10315	1.00746E8	13.57542	9.18393E7	13.88203	9.31056E7	15.26343	9.31608E7
16.37842	1.0065E8	13.64943	9.14594E7	14.22036	9.27593E7	15.2317	9.28329E7
16.15609	1.0041E8	14.0089	9.10321E7	14.14635	9.24563E7	15.17882	9.2505E7
16.33607	1.0017E8	13.72344	9.05572E7	14.16749	9.21533E7	15.26343	9.20367E7
16.53723	1.0017E8	14.0089	9.02248E7	14.42124	9.19369E7	15.2317	9.18025E7
16.33607	9.99296E7	14.22036	8.99874E7	14.34723	9.15906E7	15.21055	9.15683E7
16.33607	9.95936E7	13.98776	8.98449E7	14.29437	9.12876E7	15.44325	9.12404E7
16.61134	9.90177E7	14.29437	8.96075E7	14.45296	9.09846E7	15.41152	9.09126E7
16.43136	9.84417E7	14.2415	8.95125E7	14.50582	9.05518E7	15.41152	9.05378E7
16.56899	9.78178E7	14.27322	8.937E7	14.42124	9.03353E7	15.62307	9.01163E7
16.77015	9.73858E7	14.22036	8.92751E7	14.55869	9.01189E7	15.64423	8.97416E7
16.53723	9.70018E7	14.18864	8.91801E7	14.52697	8.99025E7	15.59134	8.94137E7
16.77015	9.67618E7	14.34723	8.91801E7	14.52697	8.95129E7	15.75	8.89454E7
17.00306	9.66658E7	14.27322	8.89426E7	14.79129	8.91666E7	15.69712	8.8477E7
16.66427	9.64258E7	14.34723	8.85628E7	14.57983	8.86472E7	15.72885	8.79149E7
16.95013	9.59459E7	14.18864	8.83728E7	14.79129	8.81278E7	15.82405	8.74465E7
17.07718	9.53699E7	14.40009	8.78979E7	14.73842	8.78248E7	15.75	8.71187E7
16.82308	9.465E7	14.32609	8.7518E7	14.7067	8.7392E7	15.77116	8.7025E7
17.16187	9.4074E7	14.27322	8.71856E7	14.97102	8.68726E7	15.96156	8.7025E7
17.07718	9.3498E7	14.54811	8.67108E7	14.75957	8.62233E7	15.75	8.7025E7
16.89719	9.30181E7	14.32609	8.62834E7	14.91816	8.5574E7	15.90867	8.68845E7
17.34186	9.26821E7	14.34723	8.55711E7	14.9393	8.4968E7	16.08849	8.65566E7
17.25716	9.24421E7	14.52697	8.47638E7	14.7067	8.46217E7	16.00386	8.62288E7
17.07718	9.24421E7	14.32609	8.40515E7	14.91816	8.43187E7	15.98271	8.59946E7
17.3101	9.25381E7	14.34723	8.37191E7	14.91816	8.41023E7	16.21542	8.57604E7
17.16187	9.24421E7	14.65384	8.33867E7	14.75957	8.38859E7	16.00386	8.53857E7
17.16187	9.23461E7	14.42124	8.30068E7	14.97102	8.35829E7	16.16253	8.51983E7
17.49008	9.21061E7	14.57983	8.26744E7	14.91816	8.31501E7	16.32119	8.48236E7
17.21481	9.17222E7	14.7067	8.21995E7	14.88644	8.26306E7	16.14138	8.44957E7
17.41597	9.13862E7	14.52697	8.17247E7	14.9393	8.21978E7	16.05675	8.43552E7
17.39479	9.10502E7	14.65384	8.11548E7	14.9393	8.16784E7	16.26831	8.39337E7
17.18305	9.06662E7	14.7067	8.0585E7	14.9393	8.13754E7	16.08849	8.34653E7
17.25716	9.04262E7	14.60098	8.01101E7	14.9393	8.09425E7	16.28946	8.31374E7
17.23598	9.00903E7	14.68556	7.97777E7	14.81243	8.04231E7	16.46928	8.27627E7
17.23598	8.97543E7	14.81243	7.94453E7	14.81243	7.98604E7	16.05675	8.23412E7
17.23598	8.94183E7	14.68556	7.89704E7	14.99217	7.95574E7	16.37408	8.19665E7
17.25716	8.89383E7	14.7067	7.8733E7	14.8653	7.92544E7	16.37408	8.14044E7
17.36303	8.84584E7	15.11904	7.85905E7	14.97102	7.8735E7	16.21542	8.09361E7
17.34186	8.81224E7	14.78071	7.84956E7	14.99217	7.83022E7	16.73372	8.07019E7
17.44773	8.74984E7	14.99217	7.84006E7	14.88644	7.77828E7	16.46928	8.02803E7
17.4689	8.70664E7	15.04503	7.81632E7	15.04503	7.73499E7	16.42697	7.96714E7
17.4689	8.64425E7	14.81243	7.75458E7	14.9393	7.68305E7	16.57505	7.90157E7
17.3101	8.60105E7	14.97102	7.71185E7	14.9393	7.61812E7	16.44812	7.84536E7
17.52184	8.55305E7	14.9393	7.66436E7	14.99217	7.55319E7	16.26831	7.78447E7
17.4689	8.49546E7	14.7067	7.59313E7	14.9393	7.4926E7	16.42697	7.75169E7
17.34186	8.42346E7	14.9393	7.55039E7	14.88644	7.42767E7	16.39524	7.72827E7
17.59595	8.34187E7	14.8653	7.5029E7	14.91816	7.36274E7	16.28946	7.69548E7
17.44773	8.29387E7	14.99217	7.44592E7	15.02389	7.2805E7	16.34235	7.69548E7
17.41597	8.23627E7	14.88644	7.37469E7	14.9393	7.19393E7	16.52217	7.67206E7
17.68065	8.18828E7	14.75957	7.29396E7	15.06618	7.11169E7	16.46928	7.63928E7
17.52184	8.15468E7	14.78071	7.21323E7	14.97102	7.05975E7	16.28946	7.57839E7
17.36303	8.13068E7	14.75957	7.142E7	14.97102	7.01646E7	16.57505	7.5456E7
17.57477	8.12108E7	14.68556	7.09452E7	15.02389	6.96452E7	16.44812	7.4894E7
17.41597	8.10668E7	14.60098	7.02804E7	14.9393	6.92124E7	16.44812	7.45661E7
17.3101	8.08268E7	14.73842	6.95681E7	15.02389	6.86929E7	16.62794	7.40977E7
17.52184	8.04909E7	14.73842	6.89982E7	14.88644	6.79571E7	16.44812	7.36293E7
17.57477	8.01549E7	14.57983	6.81909E7	14.91816	6.73078E7	16.52217	7.3161E7
17.41597	7.96749E7	14.65384	6.74786E7	14.88644	6.6572E7	16.52217	7.25989E7
17.82887	7.93389E7	14.60098	6.69088E7	14.8653	6.58361E7	16.50101	7.2271E7
17.70182	7.8859E7	14.54811	6.61965E7	15.17191	6.51869E7	16.57505	7.18963E7
17.68065	7.8379E7	14.68556	6.53892E7	14.88644	6.4451E7	16.52217	7.14748E7
17.82887	7.7899E7	14.7067	6.46769E7	15.02389	6.38018E7	16.42697	7.10064E7
17.59595	7.74191E7	14.54811	6.40121E7	14.99217	6.31958E7	16.46928	7.02102E7
17.57477	7.70831E7	14.8653	6.34423E7	14.91816	6.25465E7	16.50101	6.96481E7
17.75476	7.67471E7	14.68556	6.30624E7	14.97102	6.21137E7	16.57505	6.90392E7
17.62771	7.64111E7	14.65384	6.29674E7	14.9393	6.15077E7	16.42697	6.86177E7
17.64888	7.59312E7	14.73842	6.2635E7	14.9393	6.0945E7	16.5539	6.80088E7
17.91356	7.54512E7	14.54811	6.22551E7	14.8653	6.0339E7	16.52217	6.74467E7
17.64888	7.48752E7	14.7067	6.19227E7	14.91816	5.94733E7	16.39524	6.6791E7
17.77593	7.40593E7	14.50582	6.12104E7	14.9393	5.87374E7	16.50101	6.61821E7
17.8818	7.34353E7	14.60098	6.06406E7	14.83358	5.7915E7	16.46928	6.53858E7
17.52184	7.26194E7	14.47411	6.00707E7	15.02389	5.69628E7	16.39524	6.47301E7
18.1359	7.18034E7	14.52697	5.92634E7	14.88644	5.60971E7	16.50101	6.43554E7
18.00885	7.08915E7	14.50582	5.84562E7	14.8653	5.52747E7	16.34235	6.40275E7
17.70182	6.99315E7	14.50582	5.77439E7	14.91816	5.4409E7	16.42697	6.36997E7
18.06179	6.91156E7	14.45296	5.69366E7	14.79129	5.33701E7	16.23657	6.32313E7
17.91356	6.84436E7	14.45296	5.62243E7	14.81243	5.24179E7	16.21542	6.26692E7
17.75476	6.78197E7	14.68556	5.55595E7	14.83358	5.1682E7	16.42697	6.20603E7
17.86063	6.72437E7	14.54811	5.48472E7	14.61155	5.09029E7	16.26831	6.16388E7
17.70182	6.67637E7	14.65384	5.40399E7	14.75957	5.00805E7	16.37408	6.08426E7
17.54301	6.61878E7	14.81243	5.32326E7	14.68556	4.94312E7	16.26831	6.02337E7
17.70182	6.56118E7	14.40009	5.22829E7	14.7067	4.8479E7	16.32119	5.95779E7
17.59595	6.50359E7	14.73842	5.12382E7	14.7067	4.77431E7	16.26831	5.87817E7
17.41597	6.43159E7	14.57983	5.04309E7	14.73842	4.67908E7	16.26831	5.80791E7
17.54301	6.35959E7	14.45296	4.95287E7	14.68556	4.58386E7	16.28946	5.76107E7
17.75476	6.278E7	14.57983	4.8484E7	14.7067	4.50162E7	16.21542	5.6955E7
17.54301	6.2108E7	14.40009	4.76767E7	14.52697	4.40639E7	16.37408	5.64866E7
17.59595	6.13881E7	14.36838	4.6632E7	14.6327	4.31116E7	16.39524	5.60182E7
17.68065	6.08121E7	14.34723	4.55873E7	14.50582	4.22459E7	16.32119	5.53157E7
17.49008	6.02362E7	14.52697	4.46375E7	14.6327	4.15101E7	16.32119	5.44257E7
17.57477	5.97562E7	14.34723	4.38303E7	14.52697	4.09041E7	16.34235	5.37232E7
17.75476	5.91802E7	14.40009	4.3023E7	14.61155	4.0125E7	16.26831	5.29269E7
17.59595	5.87003E7	14.52697	4.23107E7	14.45296	3.96056E7	16.19426	5.21307E7
17.64888	5.79803E7	14.32609	4.17408E7	14.52697	3.88697E7	16.19426	5.15686E7
17.57477	5.74043E7	14.40009	4.1171E7	14.34723	3.81339E7	16.23657	5.06319E7
17.44773	5.66844E7	14.27322	4.06012E7	14.29437	3.73981E7	16.08849	4.98356E7
17.52184	5.58684E7	14.27322	3.98889E7	14.42124	3.64458E7	16.26831	4.91799E7
17.54301	5.50525E7	14.34723	3.90816E7	14.4001	3.55801E7	16.08849	4.84773E7
17.34186	5.41405E7	14.22036	3.82743E7	14.18864	3.47577E7	16.14138	4.76811E7
17.21481	5.30846E7	14.06177	3.7467E7	14.42124	3.38054E7	16.44812	4.69785E7
17.3101	5.22687E7	14.22036	3.65173E7	14.22036	3.30696E7	16.23657	4.62759E7
17.23598	5.14527E7	14.27322	3.571E7	14.14635	3.22039E7	16.32119	4.56202E7
17.18305	5.04928E7	14.11463	3.49977E7	14.2415	3.13815E7	16.32119	4.50582E7
17.4689	4.94368E7	14.29437	3.41904E7	14.16749	3.05158E7	16.16253	4.43556E7
17.34186	4.84769E7	14.22036	3.35256E7	14.18864	2.96934E7	16.19426	4.3653E7
17.21481	4.7661E7	14.0089	3.28133E7	14.09348	2.89575E7	16.14138	4.29973E7
17.3101	4.6989E7	14.2415	3.22435E7	14.22036	2.80053E7	15.98271	4.22947E7
17.25716	4.6269E7	14.22036	3.15312E7	14.11463	2.72694E7	16.10964	4.14985E7
17.16187	4.54531E7	13.98776	3.08664E7	14.0089	2.64037E7	16.00386	4.05617E7
17.41597	4.46372E7	14.11463	2.99166E7	14.29437	2.56679E7	16.0356	3.96718E7
17.18305	4.38212E7	14.11463	2.88719E7	14.22036	2.47156E7	16.08849	3.88755E7
17.23598	4.28613E7	13.86088	2.79697E7	14.06177	2.38499E7	15.85578	3.8173E7
17.3101	4.20453E7	14.22036	2.702E7	14.29437	2.31141E7	15.98271	3.75172E7
17.056	4.11334E7	14.06177	2.60702E7	14.22036	2.22917E7	16.00386	3.68147E7
17.13011	4.03174E7	13.98776	2.52629E7	14.06177	2.1426E7	15.75	3.62526E7
17.21481	3.94535E7	14.13578	2.44557E7	14.18864	2.06036E7	15.82405	3.56437E7
17.056	3.87815E7	13.86088	2.35534E7	14.11463	1.97379E7	16.08849	3.4988E7
17.21481	3.80616E7	13.98776	2.27461E7	13.98776	1.91319E7	15.80289	3.41917E7
17.18305	3.75816E7	14.09348	2.20338E7	14.32609	1.84826E7	15.92982	3.33955E7
17.00306	3.70056E7	13.88203	2.13215E7	14.06177	1.79632E7	15.82405	3.24587E7
16.92895	3.64297E7	13.82917	2.07517E7	13.98776	1.75303E7	15.67596	3.15688E7
17.00306	3.58537E7	13.86088	2.01819E7	14.09348	1.70109E7	15.77116	3.07257E7
16.87602	3.51338E7	13.80802	1.9612E7	14.0089	1.63616E7	15.67596	2.99295E7
16.98189	3.43178E7	13.59657	1.88997E7	13.82917	1.57124E7	15.54903	2.92737E7
17.056	3.35019E7	13.82917	1.81874E7	13.88203	1.51064E7	15.80289	2.84775E7
16.82308	3.26859E7	13.72344	1.76176E7	13.75516	1.43705E7	15.62307	2.78686E7
16.98189	3.187E7	13.59657	1.70477E7	13.64943	1.38511E7	15.72885	2.72129E7
16.98189	3.115E7	13.67057	1.65729E7	13.73401	1.32019E7	15.67596	2.66508E7
16.77015	3.02381E7	13.57542	1.59081E7	13.62828	1.26824E7	15.62307	2.61824E7
16.89719	2.92781E7	13.41683	1.52907E7	13.52256	1.20332E7	15.5173	2.53862E7
16.80191	2.84622E7	13.52256	1.48633E7	13.7763	1.15138E7	15.39037	2.46836E7
16.61134	2.75022E7	13.49084	1.4246E7	13.64943	1.10809E7	15.35863	2.38874E7
16.80191	2.66863E7	13.28995	1.39136E7	13.62828	1.06481E7	15.33748	2.30911E7
16.80191	2.58704E7	13.44855	1.34387E7	13.75516	1.02585E7	15.39037	2.23886E7
16.66427	2.51984E7	13.41683	1.31063E7	13.57542	9.69579E6	15.28459	2.19202E7
16.77015	2.43824E7	13.28995	1.26315E7	13.5437	9.0898E6	15.31632	2.12645E7
16.71721	2.36625E7	13.41683	1.20616E7	13.52256	8.44053E6	15.35863	2.07024E7
16.61134	2.28465E7	13.39568	1.14918E7	13.44855	7.79126E6	15.2317	1.99062E7
16.61134	2.18866E7	13.16308	1.07795E7	13.41683	7.27184E6	15.12593	1.92036E7
