A	B	C	D
19.11899	-2.94465	19.11919	0.35565
19.15293	-2.94384	19.15313	0.35646
19.18629	-2.944	19.18649	0.3563
19.21895	-2.9438	19.21915	0.3565
19.25046	-2.94338	19.25066	0.35692
19.28407	-2.94346	19.28427	0.35684
19.31787	-2.94311	19.31807	0.35719
19.34854	-2.94334	19.34874	0.35696
19.37928	-2.94333	19.37948	0.35697
19.41214	-2.94285	19.41234	0.35745
19.44393	-2.94254	19.44413	0.35776
19.47679	-2.94242	19.47699	0.35788
19.50954	-2.94198	19.50974	0.35832
19.54382	-2.9417	19.54402	0.3586
19.57619	-2.94164	19.57639	0.35866
19.60919	-2.94173	19.60939	0.35857
19.64235	-2.94147	19.64255	0.35883
19.67566	-2.94184	19.67586	0.35846
19.70815	-2.94166	19.70835	0.35864
19.74311	-2.94138	19.74331	0.35892
19.77735	-2.9414	19.77755	0.3589
19.80851	-2.94164	19.80871	0.35866
19.83979	-2.94145	19.83999	0.35885
19.87291	-2.94149	19.87311	0.35881
19.90529	-2.94107	19.90549	0.35923
19.93904	-2.94095	19.93924	0.35935
19.97214	-2.94109	19.97234	0.35921
20.00417	-2.94109	20.00437	0.35921
20.03566	-2.94078	20.03586	0.35952
20.06732	-2.9406	20.06752	0.3597
20.10111	-2.94028	20.10131	0.36002
20.1363	-2.94005	20.1365	0.36025
20.16983	-2.94005	20.17003	0.36025
20.20265	-2.9401	20.20285	0.3602
20.2335	-2.93999	20.2337	0.36031
20.26727	-2.93969	20.26747	0.36061
20.30182	-2.94003	20.30202	0.36027
20.3362	-2.94008	20.3364	0.36022
20.36882	-2.94028	20.36902	0.36002
20.40157	-2.94026	20.40177	0.36004
20.43516	-2.94052	20.43536	0.35978
20.46603	-2.94037	20.46623	0.35993
20.50223	-2.94042	20.50243	0.35988
20.53528	-2.94011	20.53548	0.36019
20.56755	-2.94017	20.56775	0.36013
20.60181	-2.9404	20.60201	0.3599
20.63406	-2.9407	20.63426	0.3596
20.6691	-2.94071	20.6693	0.35959
20.70254	-2.94086	20.70274	0.35944
20.73662	-2.94062	20.73682	0.35968
20.76793	-2.94086	20.76813	0.35944
20.79911	-2.94146	20.79931	0.35884
20.8328	-2.94112	20.833	0.35918
20.86688	-2.94104	20.86708	0.35926
20.8998	-2.94087	20.9	0.35943
20.93256	-2.94082	20.93276	0.35948
20.96511	-2.94087	20.96531	0.35943
20.99827	-2.94052	20.99847	0.35978
21.03337	-2.93978	21.03357	0.36052
21.06631	-2.93979	21.06651	0.36051
21.09821	-2.94002	21.09841	0.36028
21.13413	-2.94014	21.13433	0.36016
21.16542	-2.93947	21.16562	0.36083
21.19945	-2.93923	21.19965	0.36107
21.2292	-2.93857	21.2294	0.36173
21.26203	-2.93877	21.26223	0.36153
21.29594	-2.93856	21.29614	0.36174
21.3303	-2.93777	21.3305	0.36253
21.36221	-2.93766	21.36241	0.36264
21.395	-2.9374	21.3952	0.3629
21.42919	-2.93795	21.42939	0.36235
21.4617	-2.93826	21.4619	0.36204
21.49151	-2.93833	21.49171	0.36197
21.52599	-2.93765	21.52619	0.36265
21.5594	-2.93678	21.5596	0.36352
21.592	-2.93662	21.5922	0.36368
21.62643	-2.93666	21.62663	0.36364
21.6587	-2.93582	21.6589	0.36448
21.69093	-2.93549	21.69113	0.36481
21.72375	-2.93515	21.72395	0.36515
21.75389	-2.93468	21.75409	0.36562
21.78867	-2.93509	21.78887	0.36521
21.82317	-2.93459	21.82337	0.36571
21.8558	-2.93403	21.856	0.36627
21.88901	-2.93387	21.88921	0.36643
21.92134	-2.93413	21.92154	0.36617
21.9537	-2.9347	21.9539	0.3656
21.98441	-2.93443	21.98461	0.36587
22.02048	-2.93412	22.02068	0.36618
22.05257	-2.93382	22.05277	0.36648
22.0845	-2.93395	22.0847	0.36635
22.11865	-2.93357	22.11885	0.36673
22.15183	-2.93345	22.15203	0.36685
22.18503	-2.93365	22.18523	0.36665
22.21386	-2.9338	22.21406	0.3665
22.24583	-2.93371	22.24603	0.36659
22.28186	-2.93361	22.28206	0.36669
22.31399	-2.93363	22.31419	0.36667
22.34512	-2.93379	22.34532	0.36651
22.37885	-2.93388	22.37905	0.36642
22.41424	-2.9336	22.41444	0.3667
22.44886	-2.93405	22.44906	0.36625
22.48159	-2.93386	22.48179	0.36644
22.51539	-2.93318	22.51559	0.36712
22.54755	-2.93351	22.54775	0.36679
22.58051	-2.93376	22.58071	0.36654
22.61249	-2.93379	22.61269	0.36651
22.64429	-2.93378	22.64449	0.36652
22.67759	-2.93362	22.67779	0.36668
22.71154	-2.93336	22.71174	0.36694
22.74479	-2.93335	22.74499	0.36695
22.77806	-2.93361	22.77826	0.36669
22.81048	-2.93312	22.81068	0.36718
22.84113	-2.93329	22.84133	0.36701
22.87513	-2.93349	22.87533	0.36681
22.91123	-2.9334	22.91143	0.3669
22.94235	-2.93367	22.94255	0.36663
22.97642	-2.93349	22.97662	0.36681
23.00928	-2.93341	23.00948	0.36689
23.04295	-2.93363	23.04315	0.36667
23.075	-2.93337	23.0752	0.36693
23.10725	-2.93344	23.10745	0.36686
23.14049	-2.93324	23.14069	0.36706
23.17277	-2.93325	23.17297	0.36705
23.20736	-2.93316	23.20756	0.36714
23.23995	-2.93331	23.24015	0.36699
23.27214	-2.93306	23.27234	0.36725
23.30734	-2.93342	23.30754	0.36688
23.3405	-2.93376	23.3407	0.36654
23.37362	-2.93388	23.37382	0.36642
23.40652	-2.93348	23.40672	0.36682
23.43819	-2.93317	23.43839	0.36713
23.46839	-2.933	23.46859	0.3673
23.50221	-2.93265	23.50241	0.36765
23.53609	-2.9326	23.53629	0.3677
23.57158	-2.93283	23.57178	0.36747
23.60723	-2.93311	23.60743	0.36719
23.63838	-2.93203	23.63858	0.36827
23.67097	-2.93237	23.67117	0.36793
23.7055	-2.93239	23.7057	0.36791
23.73689	-2.93275	23.73709	0.36755
23.77077	-2.93327	23.77097	0.36703
23.80313	-2.93383	23.80333	0.36647
23.83493	-2.934	23.83513	0.3663
23.86738	-2.93448	23.86758	0.36582
23.90029	-2.93483	23.90049	0.36547
23.93382	-2.93535	23.93402	0.36495
23.96433	-2.93578	23.96453	0.36452
23.99705	-2.93593	23.99725	0.36437
24.03027	-2.93591	24.03047	0.36439
24.06523	-2.93646	24.06543	0.36384
24.09704	-2.93658	24.09724	0.36372
24.13066	-2.93704	24.13086	0.36326
24.16473	-2.93727	24.16493	0.36303
24.19947	-2.93738	24.19967	0.36292
24.23255	-2.93779	24.23275	0.36251
24.26446	-2.93761	24.26466	0.36269
24.29704	-2.93766	24.29724	0.36264
24.33005	-2.93742	24.33025	0.36288
24.36455	-2.93769	24.36475	0.36261
24.39805	-2.9375	24.39825	0.3628
24.42958	-2.93714	24.42978	0.36316
24.46294	-2.9372	24.46314	0.3631
24.49505	-2.93746	24.49525	0.36284
24.53001	-2.93701	24.53021	0.36329
24.56212	-2.93625	24.56232	0.36405
24.59266	-2.93599	24.59286	0.36431
24.62525	-2.9362	24.62545	0.3641
24.6606	-2.93582	24.6608	0.36448
24.69415	-2.93572	24.69435	0.36458
24.72618	-2.93513	24.72638	0.36517
24.76115	-2.93502	24.76135	0.36528
24.79409	-2.93527	24.79429	0.36503
24.82861	-2.93507	24.82881	0.36523
24.86038	-2.93492	24.86058	0.36538
24.8939	-2.93506	24.8941	0.36524
24.9265	-2.9353	24.9267	0.365
24.96	-2.93527	24.9602	0.36503
24.9931	-2.93536	24.9933	0.36494
25.02539	-2.93564	25.02559	0.36466
25.06066	-2.93563	25.06086	0.36467
25.0919	-2.93595	25.0921	0.36435
25.12452	-2.93666	25.12472	0.36365
25.15785	-2.93693	25.15805	0.36338
25.19126	-2.93692	25.19146	0.36338
25.22263	-2.93725	25.22283	0.36305
25.25788	-2.93759	25.25808	0.36271
25.29118	-2.93785	25.29138	0.36245
25.32461	-2.93831	25.32481	0.36199
25.35605	-2.93856	25.35625	0.36174
25.38881	-2.93874	25.38901	0.36156
25.41907	-2.93954	25.41927	0.36076
25.45263	-2.93999	25.45283	0.36031
25.48751	-2.94025	25.48771	0.36005
25.52017	-2.94052	25.52037	0.35978
25.55175	-2.94049	25.55195	0.35981
25.58628	-2.94067	25.58648	0.35963
25.61871	-2.94084	25.61891	0.35946
25.65112	-2.94162	25.65132	0.35868
25.68536	-2.9425	25.68556	0.3578
25.71835	-2.94288	25.71855	0.35742
25.75162	-2.94331	25.75182	0.35699
25.78473	-2.94404	25.78493	0.35626
25.81823	-2.94478	25.81843	0.35552
25.84935	-2.94585	25.84955	0.35445
25.88148	-2.94637	25.88168	0.35393
25.91383	-2.9473	25.91403	0.353
25.94829	-2.94822	25.94849	0.35208
25.9821	-2.94938	25.9823	0.35092
26.01435	-2.95045	26.01455	0.34985
26.04887	-2.9514	26.04907	0.3489
26.08111	-2.95247	26.08131	0.34783
26.11235	-2.95369	26.11255	0.34661
26.14755	-2.95447	26.14775	0.34583
26.17807	-2.95548	26.17827	0.34482
26.21201	-2.95676	26.21221	0.34354
26.24337	-2.95825	26.24357	0.34205
26.2775	-2.95979	26.2777	0.34051
26.31078	-2.96053	26.31098	0.33977
26.34368	-2.96152	26.34388	0.33878
26.37663	-2.96314	26.37683	0.33716
26.41244	-2.96435	26.41264	0.33595
26.44451	-2.96587	26.44471	0.33443
26.47645	-2.96677	26.47665	0.33353
26.51109	-2.96789	26.51129	0.33241
26.54348	-2.96869	26.54368	0.33161
26.57575	-2.97023	26.57595	0.33007
26.60847	-2.97169	26.60867	0.32861
26.64409	-2.9736	26.64429	0.3267
26.6764	-2.97568	26.6766	0.32462
26.7088	-2.97739	26.709	0.32291
26.74137	-2.97993	26.74157	0.32037
26.77653	-2.98251	26.77673	0.31779
26.80961	-2.98513	26.80981	0.31517
26.84014	-2.98787	26.84034	0.31243
26.87298	-2.99077	26.87318	0.30953
26.90651	-2.9944	26.90671	0.3059
26.93894	-2.99797	26.93914	0.30233
26.96949	-3.00194	26.96969	0.29836
27.00338	-3.00624	27.00358	0.29406
27.03607	-3.01092	27.03627	0.28938
27.07156	-3.01664	27.07176	0.28366
27.10691	-3.0225	27.10711	0.2778
27.13865	-3.02929	27.13885	0.27101
27.17109	-3.0365	27.17129	0.2638
27.20355	-3.04486	27.20375	0.25544
27.23548	-3.0538	27.23568	0.2465
27.2699	-3.06407	27.2701	0.23623
27.30314	-3.07522	27.30334	0.22508
27.33506	-3.08785	27.33526	0.21245
27.36957	-3.103	27.36977	0.1973
27.40253	-3.11863	27.40273	0.18167
27.43464	-3.13734	27.43484	0.16296
27.47025	-3.15906	27.47045	0.14124
27.50364	-3.18371	27.50384	0.11659
27.53663	-3.21346	27.53683	0.08684
27.56987	-3.24899	27.57007	0.05131
27.60338	-3.2914	27.60358	0.0089
27.6364	-3.34334	27.6366	-0.04304
27.67068	-3.40694	27.67088	-0.10664
27.70147	-3.48559	27.70167	-0.18529
27.73655	-3.58593	27.73675	-0.28563
27.76902	-3.71374	27.76922	-0.41344
27.80447	-3.88219	27.80467	-0.58189
27.83845	-4.10585	27.83865	-0.80555
27.86904	-4.40474	27.86924	-1.10444
27.90021	-4.78746	27.90041	-1.48716
27.93304	-5.23067	27.93324	-1.93037
27.96649	-5.71324	27.96669	-2.41294
28.00019	-6.26235	28.00039	-2.96205
28.03631	-6.89186	28.03651	-3.59156
28.07112	-7.61885	28.07132	-4.31855
28.10321	-8.39948	28.10341	-5.09918
28.1365	-9.02241	28.1367	-5.72211
28.16959	-9.23377	28.16979	-5.93347
28.20219	-8.93716	28.20239	-5.63686
28.23521	-8.25587	28.23541	-4.95557
28.26998	-7.45155	28.27018	-4.15125
28.3015	-6.69731	28.3017	-3.39701
28.33436	-6.04316	28.33456	-2.74286
28.36945	-5.49259	28.36965	-2.19229
28.40128	-5.03386	28.40148	-1.73356
28.43235	-4.65517	28.43255	-1.35487
28.46678	-4.34306	28.46698	-1.04276
28.50019	-4.08634	28.50039	-0.78604
28.53467	-3.87499	28.53487	-0.57469
28.56587	-3.70121	28.56607	-0.40091
28.59845	-3.55939	28.59865	-0.25909
28.62975	-3.44235	28.62995	-0.14205
28.66257	-3.34619	28.66277	-0.04589
28.69648	-3.26718	28.69668	0.03312
28.73123	-3.20306	28.73143	0.09724
28.76291	-3.1502	28.76311	0.1501
28.79671	-3.1081	28.79691	0.1922
28.82947	-3.07306	28.82967	0.22724
28.8636	-3.04403	28.8638	0.25627
28.89731	-3.02026	28.89751	0.28004
28.93055	-3.00161	28.93075	0.29869
28.9624	-2.98669	28.9626	0.31361
28.99507	-2.97441	28.99527	0.32589
29.02899	-2.96374	29.02919	0.33656
29.06372	-2.95585	29.06392	0.34445
29.09687	-2.94869	29.09707	0.35161
29.12932	-2.9438	29.12952	0.3565
29.16389	-2.93958	29.16409	0.36072
29.19695	-2.9371	29.19715	0.3632
29.22939	-2.93568	29.22959	0.36462
29.2603	-2.93514	29.2605	0.36516
29.29273	-2.93474	29.29293	0.36556
29.32628	-2.93506	29.32648	0.36524
29.35882	-2.93482	29.35902	0.36548
29.39373	-2.93442	29.39393	0.36588
29.42508	-2.93316	29.42528	0.36714
29.45987	-2.931	29.46007	0.3693
29.49149	-2.92849	29.49169	0.37181
29.52608	-2.926	29.52628	0.3743
29.55964	-2.92457	29.55984	0.37573
29.59244	-2.92291	29.59264	0.37739
29.62745	-2.92145	29.62765	0.37885
29.66095	-2.92016	29.66115	0.38014
29.69314	-2.91904	29.69334	0.38126
29.72663	-2.91809	29.72683	0.38221
29.7614	-2.91722	29.7616	0.38308
29.79698	-2.91688	29.79718	0.38342
29.82775	-2.91622	29.82795	0.38408
29.86106	-2.9153	29.86126	0.385
29.89431	-2.91479	29.89451	0.38551
29.92529	-2.91425	29.92549	0.38605
29.95731	-2.91338	29.95751	0.38692
29.98798	-2.91281	29.98818	0.38749
30.02065	-2.91192	30.02085	0.38838
30.05421	-2.91192	30.05441	0.38838
30.08756	-2.91191	30.08776	0.38839
30.12035	-2.91113	30.12055	0.38917
30.1526	-2.91141	30.1528	0.38889
30.18852	-2.91067	30.18872	0.38963
30.22028	-2.91027	30.22048	0.39003
30.25418	-2.91006	30.25438	0.39024
30.28749	-2.91043	30.28769	0.38987
30.31708	-2.91026	30.31728	0.39004
30.35326	-2.91014	30.35346	0.39016
30.38608	-2.91032	30.38628	0.38998
30.41897	-2.91047	30.41917	0.38983
30.45209	-2.91023	30.45229	0.39007
30.48627	-2.90997	30.48647	0.39033
30.52086	-2.91038	30.52106	0.38992
30.552	-2.91047	30.5522	0.38983
30.58751	-2.91052	30.58771	0.38978
30.61998	-2.91048	30.62018	0.38982
30.6547	-2.9104	30.6549	0.3899
30.68923	-2.91068	30.68943	0.38962
30.72176	-2.9109	30.72196	0.3894
30.7543	-2.91089	30.7545	0.38941
30.78801	-2.91078	30.78821	0.38952
30.82146	-2.91088	30.82166	0.38942
30.85483	-2.91056	30.85503	0.38974
30.88998	-2.91068	30.89018	0.38962
30.92438	-2.9107	30.92458	0.3896
30.9568	-2.91033	30.957	0.38997
30.98921	-2.90963	30.98941	0.39067
31.02151	-2.90965	31.02171	0.39065
31.05546	-2.90913	31.05566	0.39117
31.08991	-2.90882	31.09011	0.39148
31.12542	-2.90889	31.12562	0.39141
31.15807	-2.90857	31.15827	0.39173
31.19224	-2.90787	31.19244	0.39243
31.22703	-2.90777	31.22723	0.39253
31.25967	-2.90805	31.25987	0.39225
31.29062	-2.90848	31.29082	0.39182
31.32454	-2.90857	31.32474	0.39173
31.35869	-2.90807	31.35889	0.39223
31.39104	-2.90806	31.39124	0.39224
31.42233	-2.90795	31.42253	0.39235
31.45396	-2.90789	31.45416	0.39241
31.4893	-2.90794	31.4895	0.39236
31.52065	-2.90794	31.52085	0.39236
31.55404	-2.90755	31.55424	0.39275
31.58737	-2.90723	31.58757	0.39307
31.62219	-2.90712	31.62239	0.39318
31.6537	-2.90767	31.6539	0.39263
31.68754	-2.90765	31.68774	0.39265
31.71976	-2.90807	31.71996	0.39223
31.7525	-2.90804	31.7527	0.39226
31.78503	-2.90812	31.78523	0.39218
31.82229	-2.90789	31.82249	0.39241
31.85504	-2.90805	31.85524	0.39225
31.8859	-2.90888	31.8861	0.39142
31.9197	-2.90867	31.9199	0.39163
31.95445	-2.90848	31.95465	0.39182
31.98694	-2.90837	31.98714	0.39193
32.01947	-2.90791	32.01967	0.39239
32.05252	-2.90792	32.05272	0.39238
32.08654	-2.90761	32.08674	0.39269
32.11968	-2.90749	32.11988	0.39281
32.15209	-2.90767	32.15229	0.39263
32.18538	-2.90759	32.18558	0.39271
32.21904	-2.90754	32.21924	0.39276
32.25191	-2.90718	32.25211	0.39312
32.2843	-2.90768	32.2845	0.39262
32.31684	-2.90758	32.31704	0.39272
32.34875	-2.90805	32.34895	0.39225
32.38298	-2.90817	32.38318	0.39213
32.41628	-2.9087	32.41648	0.3916
32.45121	-2.90815	32.45141	0.39215
32.48356	-2.90795	32.48376	0.39235
32.51796	-2.90804	32.51816	0.39226
32.54998	-2.90796	32.55018	0.39234
32.58345	-2.90777	32.58365	0.39253
32.61503	-2.90775	32.61523	0.39255
32.65068	-2.9083	32.65088	0.392
32.68435	-2.9086	32.68455	0.3917
32.71883	-2.90872	32.71903	0.39158
32.75034	-2.90907	32.75054	0.39123
32.78342	-2.9087	32.78362	0.3916
32.81596	-2.90871	32.81616	0.39159
32.84862	-2.90907	32.84882	0.39123
32.88006	-2.909	32.88026	0.3913
32.91452	-2.90948	32.91472	0.39082
32.94923	-2.90955	32.94943	0.39075
32.9832	-2.9094	32.9834	0.3909
33.01574	-2.90949	33.01594	0.39081
33.04704	-2.90894	33.04724	0.39136
33.08006	-2.90886	33.08026	0.39144
33.11525	-2.90877	33.11545	0.39153
33.15032	-2.90847	33.15052	0.39183
33.18313	-2.9083	33.18333	0.392
33.2177	-2.90772	33.2179	0.39258
33.25126	-2.90683	33.25146	0.39347
33.28545	-2.90661	33.28565	0.39369
33.31698	-2.90643	33.31718	0.39387
33.34729	-2.90645	33.34749	0.39385
33.38346	-2.90631	33.38366	0.39399
33.41684	-2.90586	33.41704	0.39444
33.44689	-2.90578	33.44709	0.39452
33.48058	-2.90582	33.48078	0.39448
33.51289	-2.90627	33.51309	0.39403
33.54391	-2.90678	33.54411	0.39352
33.57865	-2.90653	33.57885	0.39377
33.612	-2.90693	33.6122	0.39337
33.64535	-2.90734	33.64555	0.39296
33.67755	-2.9074	33.67775	0.3929
33.71407	-2.90729	33.71427	0.39301
33.7457	-2.90759	33.7459	0.39271
33.78068	-2.90761	33.78088	0.39269
33.81284	-2.90761	33.81304	0.39269
33.84649	-2.9078	33.84669	0.3925
33.87643	-2.90713	33.87663	0.39317
33.90697	-2.9068	33.90717	0.3935
33.94031	-2.90696	33.94051	0.39334
33.97235	-2.90696	33.97255	0.39334
34.00832	-2.9064	34.00852	0.3939
34.04141	-2.90607	34.04161	0.39423
34.07358	-2.90527	34.07378	0.39503
34.10576	-2.90451	34.10596	0.39579
34.13771	-2.90456	34.13791	0.39574
34.17302	-2.90463	34.17322	0.39567
34.20598	-2.90431	34.20618	0.39599
34.23933	-2.90431	34.23953	0.39599
34.27184	-2.90457	34.27204	0.39573
34.30506	-2.90453	34.30526	0.39577
34.34114	-2.90442	34.34134	0.39588
34.3725	-2.90422	34.3727	0.39608
34.40555	-2.90408	34.40575	0.39622
34.43823	-2.90397	34.43843	0.39633
34.47369	-2.90397	34.47389	0.39633
34.50628	-2.90416	34.50648	0.39614
34.53569	-2.9046	34.53589	0.3957
34.57045	-2.90459	34.57065	0.39571
34.60256	-2.90516	34.60276	0.39514
34.63533	-2.90511	34.63553	0.39519
34.67043	-2.90511	34.67063	0.39519
34.70237	-2.90557	34.70257	0.39473
34.73574	-2.90574	34.73594	0.39456
34.76739	-2.90626	34.76759	0.39404
34.80192	-2.90632	34.80212	0.39398
34.83534	-2.90638	34.83554	0.39392
34.86652	-2.90571	34.86672	0.39459
34.89967	-2.90571	34.89987	0.39459
34.93409	-2.90643	34.93429	0.39387
34.97017	-2.90662	34.97037	0.39368
35.00138	-2.90689	35.00158	0.39341
35.03267	-2.90688	35.03287	0.39342
35.06542	-2.90678	35.06562	0.39352
35.09852	-2.90657	35.09872	0.39373
35.13219	-2.90601	35.13239	0.39429
35.16623	-2.90629	35.16643	0.39402
35.19994	-2.90639	35.20014	0.39391
35.23196	-2.90646	35.23216	0.39384
35.26499	-2.90615	35.26519	0.39415
35.29847	-2.90662	35.29867	0.39368
35.33024	-2.90646	35.33044	0.39384
35.36362	-2.90622	35.36382	0.39408
35.39539	-2.9064	35.39559	0.3939
35.42929	-2.90664	35.42949	0.39366
35.46315	-2.90675	35.46335	0.39355
35.49775	-2.9067	35.49795	0.3936
35.53197	-2.90661	35.53217	0.39369
35.56608	-2.90558	35.56628	0.39472
35.59614	-2.90576	35.59634	0.39454
35.6307	-2.90549	35.6309	0.39481
35.66476	-2.90594	35.66496	0.39436
35.69931	-2.9051	35.69951	0.3952
35.73245	-2.90505	35.73265	0.39525
35.76539	-2.90509	35.76559	0.39521
35.79832	-2.90456	35.79852	0.39574
35.8334	-2.90485	35.8336	0.39545
35.86661	-2.90454	35.86681	0.39576
35.89837	-2.90457	35.89857	0.39573
35.9325	-2.90451	35.9327	0.39579
35.96602	-2.90487	35.96622	0.39543
35.99736	-2.90522	35.99756	0.39508
36.0287	-2.90583	36.0289	0.39447
36.06538	-2.90571	36.06558	0.39459
36.09807	-2.906	36.09827	0.3943
36.1317	-2.90647	36.1319	0.39383
36.16502	-2.9062	36.16522	0.3941
36.19768	-2.90579	36.19788	0.39451
36.2317	-2.90532	36.2319	0.39498
36.26567	-2.90537	36.26587	0.39493
36.29771	-2.90541	36.29791	0.39489
36.32991	-2.90569	36.33011	0.39461
36.36519	-2.90597	36.36539	0.39433
36.39738	-2.90558	36.39758	0.39472
36.43022	-2.90537	36.43042	0.39493
36.46465	-2.90515	36.46485	0.39515
36.49536	-2.90467	36.49556	0.39563
36.52896	-2.90475	36.52916	0.39555
36.56055	-2.90458	36.56075	0.39572
36.59339	-2.9052	36.59359	0.3951
36.62653	-2.90535	36.62673	0.39495
36.65978	-2.9054	36.65998	0.3949
36.69475	-2.90531	36.69495	0.39499
36.72792	-2.90563	36.72812	0.39467
36.7611	-2.90628	36.7613	0.39402
36.79496	-2.90558	36.79516	0.39472
36.82768	-2.90546	36.82788	0.39484
36.85991	-2.90587	36.86011	0.39443
36.89442	-2.90583	36.89462	0.39447
36.9269	-2.90529	36.9271	0.39501
36.95822	-2.90524	36.95842	0.39506
36.99156	-2.90497	36.99176	0.39533
37.02563	-2.90485	37.02583	0.39545
37.05457	-2.90433	37.05477	0.39597
37.08882	-2.90369	37.08902	0.39661
37.1231	-2.9027	37.1233	0.3976
37.1572	-2.90272	37.1574	0.39758
37.19051	-2.90329	37.19071	0.39701
37.22296	-2.90293	37.22316	0.39737
37.25539	-2.903	37.25559	0.3973
37.28877	-2.90317	37.28897	0.39713
37.32108	-2.90324	37.32128	0.39706
37.35386	-2.90324	37.35406	0.39706
37.38853	-2.90354	37.38873	0.39676
37.42227	-2.90449	37.42247	0.39581
37.45448	-2.9046	37.45468	0.3957
37.4884	-2.9046	37.4886	0.3957
37.52197	-2.90463	37.52217	0.39567
37.55571	-2.90472	37.55591	0.39558
37.59004	-2.90441	37.59024	0.39589
37.62052	-2.90479	37.62072	0.39551
37.65569	-2.90456	37.65589	0.39574
37.68862	-2.90461	37.68882	0.39569
37.7211	-2.90535	37.7213	0.39495
37.75314	-2.90529	37.75334	0.39501
37.78624	-2.90525	37.78644	0.39505
37.82182	-2.90559	37.82202	0.39471
37.85411	-2.90524	37.85431	0.39506
37.88451	-2.90497	37.88471	0.39533
37.92084	-2.90513	37.92104	0.39517
37.95306	-2.90452	37.95326	0.39578
37.98665	-2.90492	37.98685	0.39538
38.01904	-2.90533	38.01924	0.39497
38.04803	-2.90523	38.04823	0.39507
38.08223	-2.90536	38.08243	0.39494
38.11872	-2.90605	38.11892	0.39425
38.15266	-2.9063	38.15286	0.394
38.18524	-2.90687	38.18544	0.39343
38.21702	-2.90672	38.21722	0.39358
38.24985	-2.90677	38.25005	0.39353
38.28392	-2.90672	38.28412	0.39358
38.31674	-2.90671	38.31694	0.39359
38.35055	-2.90614	38.35075	0.39416
38.38373	-2.90587	38.38393	0.39443
38.41582	-2.9057	38.41602	0.3946
38.44902	-2.90507	38.44922	0.39523
38.48174	-2.90413	38.48194	0.39617
38.5145	-2.90414	38.5147	0.39616
38.54826	-2.90404	38.54846	0.39626
38.58192	-2.90435	38.58212	0.39595
38.6144	-2.90469	38.6146	0.39561
38.64784	-2.90516	38.64804	0.39514
38.68095	-2.90552	38.68115	0.39478
38.71495	-2.90577	38.71515	0.39453
38.74692	-2.90574	38.74712	0.39456
38.77948	-2.90603	38.77968	0.39427
38.81292	-2.90578	38.81312	0.39452
38.84344	-2.90595	38.84364	0.39435
38.87678	-2.90563	38.87698	0.39467
38.90942	-2.90548	38.90962	0.39482
38.94172	-2.90546	38.94192	0.39484
38.97577	-2.90562	38.97597	0.39468
39.00906	-2.90499	39.00926	0.39531
39.04118	-2.90511	39.04138	0.39519
39.07541	-2.90556	39.07561	0.39474
39.10926	-2.90559	39.10946	0.39471
39.14403	-2.90542	39.14423	0.39488
39.17537	-2.90538	39.17557	0.39492
39.21038	-2.90569	39.21058	0.39461
39.24187	-2.90558	39.24207	0.39472
39.27293	-2.90602	39.27313	0.39428
39.30813	-2.9061	39.30833	0.3942
39.34118	-2.90639	39.34138	0.39391
