Time Stamp,Temperature,Magnetic Field,Moment,M. Std. Err.,PPMS Status
542.9,10,-4978.2,-9.349E-6,7.8E-6,4465
543.4,10,-4925.7,2.512E-5,9E-6,4465
544.2,10,-4827.8,3.653E-5,7.5E-6,4465
545.1,10,-4730,5.297E-5,1.4E-5,4465
546.1,10,-4611.3,2.356E-5,6.5E-6,4465
547.1,10,-4482.2,5.29E-5,7.2E-6,4465
548.2,10,-4363.7,4.234E-5,7.5E-6,4465
549.2,10,-4255.7,7.102E-6,4.8E-6,4465
550.1,10,-4147.7,-3.872E-6,5.7E-6,4465
551.2,10,-4018.9,-1.276E-5,6.8E-5,4465
552.2,10,-3900.6,4.698E-6,7.3E-6,4465
553.1,10,-3792.9,-8.61E-7,2.2E-6,4465
554.1,10,-3674.6,9.708E-6,7.8E-6,4465
555.2,10,-3552.9,4.532E-5,1E-5,4465
556.2,10,-3434.7,4.085E-5,8.3E-6,4465
557.1,10,-3327,7.31E-5,1.1E-5,4465
558.2,10,-3209,6.413E-5,9.8E-6,4465
559.2,10,-3091.1,6.849E-5,9.8E-6,4465
560.3,10,-2962.8,7.562E-5,6.4E-6,4465
561.2,10,-2859.5,7.324E-5,8.9E-6,4465
562.2,10,-2815.9,6.338E-5,5.6E-6,4465
563.2,10,-2796.9,6.071E-5,8.7E-6,4465
564.2,10,-2789.6,4.36E-5,5.1E-6,4465
565.2,10,-2695.4,3.138E-5,6.6E-6,4465
566.2,10,-2571.6,7.619E-5,7.2E-6,4465
567.2,10,-2492.1,7.754E-5,9.4E-6,4465
568.2,10,-2394.5,1.225E-4,7.7E-6,4465
569.2,10,-2281.2,1.156E-4,6.9E-6,4465
570.2,10,-2152.3,1.276E-4,6E-6,4465
571.3,10,-2036,1.431E-4,7.3E-6,4465
572.2,10,-1929.8,1.271E-4,6.4E-6,4465
573.2,10,-1813.3,1.336E-4,4.8E-6,4465
574.2,10,-1696.8,1.441E-4,5.7E-6,4465
575.2,10,-1590.7,1.363E-4,6.6E-6,4465
576.2,10,-1475.5,1.525E-4,6.1E-6,4465
577.2,10,-1390.2,1.562E-4,4.4E-6,4465
578.2,10,-1359,1.482E-4,4.5E-6,4465
579.2,10,-1346.9,1.368E-4,3.5E-6,4465
580.2,10,-1343.2,1.327E-4,4.1E-6,4465
581.3,10,-1239.6,1.701E-4,4.2E-6,4465
582.3,10,-1116.2,1.787E-4,2.7E-6,4465
583.2,10,-1082.7,1.819E-4,3.5E-6,4465
584.2,10,-1064.6,1.804E-4,3E-6,4465
585.2,10,-1056.7,1.651E-4,3.1E-6,4465
586.2,10,-1053.4,1.584E-4,3E-6,4465
614.3,10,-1000.3,1.32E-4,3E-6,4417
622,10,-1000.2,1.22E-4,3E-6,4417
631.2,10,-955.5,1.135E-4,2.3E-6,4449
631.6,10,-951.5,1.291E-4,3.3E-6,4449
632.4,10,-942.8,1.589E-4,2.9E-6,4449
633.4,10,-932,1.769E-4,2.7E-6,4449
634.5,10,-921,1.812E-4,2E-6,4449
635.4,10,-910.9,1.849E-4,3E-6,4449
636.4,10,-899.7,1.868E-4,2.6E-6,4449
637.4,10,-888.5,1.915E-4,2.1E-6,4449
638.4,10,-877.3,1.857E-4,3.3E-6,4449
639.4,10,-866,1.93E-4,2.3E-6,4449
640.4,10,-854.8,1.951E-4,3.6E-6,4449
641.5,10,-843.6,1.963E-4,3.1E-6,4449
642.4,10,-833.3,1.956E-4,2.7E-6,4449
643.4,10,-823,1.955E-4,2.3E-6,4449
644.5,10,-811.3,1.993E-4,2.5E-6,4449
645.5,10,-800.1,2.011E-4,2E-6,4449
646.4,10,-789.8,2.006E-4,2.3E-6,4449
647.4,10,-778.5,2.1E-4,1.7E-6,4449
648.5,10,-767.2,2.095E-4,2E-6,4449
649.4,10,-755.9,2.036E-4,1.7E-6,4449
650.4,10,-744.6,2.001E-4,2E-6,4449
651.5,10,-733.4,2.069E-4,2.1E-6,4449
652.5,10,-722.2,2.079E-4,3.2E-6,4449
653.5,10,-710.9,2.078E-4,2E-6,4449
654.6,10,-699.6,2.072E-4,2.1E-6,4449
655.5,10,-689.4,2.078E-4,2.6E-6,4449
656.5,10,-678.1,2.122E-4,2E-6,4449
657.5,10,-666.6,2.16E-4,2.1E-6,4449
658.5,10,-655.2,2.172E-4,1.8E-6,4449
659.5,10,-643.7,2.201E-4,2E-6,4449
660.5,10,-633.3,2.236E-4,1.9E-6,4449
661.5,10,-622.1,2.235E-4,1.7E-6,4449
662.5,10,-610.9,2.232E-4,1.5E-6,4449
663.5,10,-600.5,2.258E-4,2E-6,4449
664.5,10,-589.3,2.303E-4,1.5E-6,4449
665.5,10,-578.1,2.326E-4,1.4E-6,4449
666.5,10,-566.9,2.356E-4,1.5E-6,4449
667.6,10,-555.7,2.383E-4,1.8E-6,4449
668.6,10,-545.5,2.394E-4,1.5E-6,4449
669.6,10,-534.4,2.413E-4,1.1E-6,4449
670.6,10,-522.8,2.441E-4,1.1E-6,4449
671.5,10,-511.6,2.442E-4,1.3E-6,4449
672.5,10,-500.4,2.465E-4,1.3E-6,4449
673.5,10,-489.2,2.48E-4,1.3E-6,4449
674.6,10,-478.1,2.531E-4,1.4E-6,4449
675.6,10,-467.9,2.551E-4,1.1E-6,4449
676.6,10,-456.8,2.6E-4,1.3E-6,4449
677.6,10,-445.6,2.602E-4,1.1E-6,4449
678.6,10,-434.4,2.637E-4,1.3E-6,4449
679.6,10,-423.2,2.637E-4,1.1E-6,4449
680.6,10,-412.8,2.7E-4,1.3E-6,4449
681.6,10,-401.2,2.724E-4,1.4E-6,4449
682.6,10,-389.9,2.743E-4,9.7E-7,4449
683.6,10,-379.6,2.71E-4,1.3E-6,4449
684.6,10,-368.4,2.736E-4,8.5E-7,4449
685.6,10,-357.6,2.797E-4,1.3E-6,4449
686.6,10,-346.6,2.809E-4,1E-6,4449
687.6,10,-335.3,2.848E-4,8.5E-7,4449
688.6,10,-324,2.888E-4,1.4E-6,4449
689.7,10,-312.8,2.934E-4,1.3E-6,4449
690.6,10,-302.5,2.969E-4,1.1E-6,4449
691.7,10,-290.6,3.002E-4,8.3E-7,4449
692.8,10,-278.5,3.055E-4,9.6E-7,4449
693.7,10,-268.5,3.058E-4,1.4E-6,4449
694.6,10,-258.5,3.071E-4,9.4E-7,4449
695.6,10,-248.5,3.155E-4,1.3E-6,4449
696.7,10,-237.2,3.155E-4,1E-6,4449
697.6,10,-226,3.197E-4,8.8E-7,4449
698.6,10,-216,3.218E-4,1.2E-6,4449
699.7,10,-205,3.232E-4,9.7E-7,4449
700.7,10,-193.9,3.322E-4,1.2E-6,4449
701.7,10,-181.9,3.373E-4,1.1E-6,4449
702.7,10,-170.8,3.39E-4,9.1E-7,4449
703.7,10,-160.8,3.451E-4,1.2E-6,4449
704.7,10,-149.8,3.472E-4,1.1E-6,4449
705.6,10,-139.6,3.484E-4,1.7E-6,4449
706.7,10,-128.6,3.543E-4,1.2E-6,4449
707.7,10,-117.4,3.594E-4,1.5E-6,4449
708.7,10,-107.1,3.621E-4,1.3E-6,4449
709.7,10,-96,3.67E-4,1E-6,4449
710.7,10,-84.1,3.727E-4,1.3E-6,4449
711.7,10,-73.1,3.775E-4,1.1E-6,4449
712.7,10,-62.9,3.819E-4,9.5E-7,4449
713.7,10,-53,3.909E-4,1.1E-6,4449
714.7,10,-42.1,3.987E-4,1.4E-6,4449
715.7,10,-30.1,4.115E-4,1.1E-6,4449
716.7,10,-19.1,4.285E-4,1.6E-6,4449
717.7,10,-9.1,4.445E-4,2.1E-6,4449
718.7,10,0.8,4.756E-4,1.9E-6,4449
719.7,10,11.9,5.164E-4,2.3E-6,4449
720.7,10,23.3,5.627E-4,2.7E-6,4449
721.7,10,34.3,6.157E-4,2.5E-6,4449
722.7,10,45.3,6.581E-4,2.3E-6,4449
723.7,10,56.2,6.882E-4,2.1E-6,4449
724.7,10,67.2,7.1E-4,1.7E-6,4449
725.7,10,77.3,7.277E-4,1.9E-6,4449
726.8,10,88.5,7.474E-4,2E-6,4449
727.8,10,99.4,7.679E-4,1.8E-6,4449
728.7,10,109.4,7.821E-4,1.6E-6,4449
729.7,10,120.6,8.016E-4,1.7E-6,4449
730.8,10,132,8.16E-4,1.9E-6,4449
731.8,10,143.6,8.369E-4,2.3E-6,4449
732.8,10,154.8,8.547E-4,2E-6,4449
733.7,10,165.1,8.746E-4,2E-6,4449
734.7,10,176.3,8.922E-4,1.9E-6,4449
735.8,10,187.3,9.157E-4,2.2E-6,4449
736.8,10,198.3,9.298E-4,2.6E-6,4449
737.8,10,209.5,9.525E-4,2.2E-6,4449
738.8,10,220.5,9.719E-4,2.2E-6,4449
739.8,10,231.3,9.777E-4,2E-6,4449
740.8,10,242.2,9.897E-4,2.4E-6,4449
741.8,10,253.3,9.969E-4,3E-6,4449
