Time	Amp
43.5	0.08601
43.75	0.07779
44	0.0966
44.25	0.08976
44.5	0.08572
44.75	0.08014
45	0.07175
45.25	0.06298
45.5	0.06129
45.75	0.06074
46	0.0563
46.25	0.05315
46.5	0.0509
46.75	0.04701
47	0.0453
47.25	0.04208
47.5	0.03836
47.75	0.036
48	0.03195
48.25	0.02817
48.5	0.02573
48.75	0.02333
49	0.02045
49.25	0.01819
49.5	0.01614
49.75	0.01401
50	0.01043
50.25	0.00952
50.5	0.00668
50.75	0.0064
51	0.00197
51.25	7.83966E-4
51.5	9.08933E-4
51.75	0.00213
52	0.00134
52.25	0.00418
52.5	0.00518
52.75	0.00375
53	0.00478
53.25	0.00517
53.5	0.00483
53.75	0.00535
54	0.005
54.25	0.0038
54.5	0.00309
54.75	0.00317
55	0.00403
55.25	0.00264
55.5	0.0019
55.75	4.35838E-4
56	5.70304E-4
56.25	0.00303
56.5	0.00675
56.75	0.00798
57	0.00788
57.25	0.01048
57.5	0.014
57.75	0.01868
58	0.019
58.25	0.02141
58.5	0.02553
58.75	0.02687
59	0.03089
59.25	0.03367
59.5	0.0396
59.75	0.04234
60	0.04988
60.25	0.05659
60.5	0.06222
60.75	0.07119
61	0.07962
61.25	0.09096
61.5	0.10208
61.75	0.11586
62	0.13188
62.25	0.14553
62.5	0.1595
62.75	0.1756
63	0.19698
63.25	0.22487
63.5	0.25977
63.75	0.30475
64	0.36168
64.25	0.43349
64.5	0.52811
64.75	0.64927
65	0.87746
65.25	1.03476
65.5	1.25084
65.75	1.43404
66	1.61905
66.25	1.75007
66.5	1.93393
66.75	2.00309
67	2.02746
67.25	1.99036
67.5	1.91447
67.75	1.70498
68	1.56365
68.25	1.35257
68.5	1.16657
68.75	0.97042
69	0.80891
69.25	0.58756
69.5	0.45959
69.75	0.36599
70	0.29947
70.25	0.25452
70.5	0.22411
70.75	0.20146
71	0.18536
71.25	0.17393
71.5	0.1694
71.75	0.16913
72	0.17382
72.25	0.17777
72.5	0.18554
72.75	0.19485
73	0.20601
73.25	0.21689
73.5	0.22855
73.75	0.24084
74	0.25076
74.25	0.25912
74.5	0.26632
74.75	0.27063
75	0.27384
75.25	0.27382
75.5	0.27492
75.75	0.27362
76	0.26874
76.25	0.26349
76.5	0.26082
76.75	0.2573
77	0.25268
77.25	0.24968
77.5	0.24722
77.75	0.24311
78	0.24019
78.25	0.23401
78.5	0.22717
78.75	0.22073
79	0.21303
79.25	0.20636
79.5	0.20046
79.75	0.19572
80	0.1923
80.25	0.18929
80.5	0.18735
80.75	0.1867
81	0.1868
81.25	0.1872
81.5	0.1883
81.75	0.18843
82	0.1872
82.25	0.18353
82.5	0.17898
82.75	0.17385
83	0.16945
83.25	0.16274
83.5	0.15668
83.75	0.15072
84	0.14639
84.25	0.14379
84.5	0.14138
84.75	0.13912
85	0.13994
85.25	0.14003
85.5	0.1393
85.75	0.13929
86	0.14071
86.25	0.14999
86.5	0.15907
