X	Y	Z
-3.18103	-0.11345	1.14409
-2.56913	-0.91511	1.04514
-2.03344	-1.48163	1.0286
-1.0082	-2.16658	1.10287
0.13375	-2.04496	1.07474
1.16981	-2.32628	1.05897
2.21433	-1.85214	1.10325
3.1485	-1.28639	1.10763
3.48196	-0.55302	1.07595
3.98916	0.30392	1.03731
4.08507	0.31453	0.76486
3.67667	1.1724	0.77233
3.09437	2.09052	0.79858
2.55114	2.53516	0.74123
1.35546	3.18686	0.85172
0.10444	3.22237	0.74285
-1.13697	2.81212	0.77662
-2.01658	2.45655	0.7963
-2.65753	1.50135	0.87565
-3.27924	0.82131	0.78709
-3.04529	-0.14991	0.88261
-3.00941	-1.04321	0.82881
-1.88054	-1.75718	0.74597
-1.0213	-2.25538	0.73123
0.09757	-2.27372	0.74308
1.23783	-2.54108	0.7729
2.56595	-1.89001	0.7371
3.25263	-1.39222	0.7541
3.75902	-0.64227	0.85861
3.91141	0.30924	0.87577
4.64677	0.30462	0.46549
3.74438	1.15572	0.51832
3.75485	2.2863	0.5202
2.74323	2.97088	0.52457
1.45162	3.05906	0.52
0.07818	3.0882	0.47657
-1.05119	3.20078	0.51946
-2.21616	2.27116	0.48468
-2.90524	1.53431	0.47945
-3.20711	0.72742	0.52834
-3.2272	-0.19287	0.45159
-3.03915	-1.05593	0.47402
-2.06785	-1.89859	0.45599
-1.21758	-2.17691	0.46255
0.0875	-2.37756	0.53619
1.32048	-2.53968	0.52496
2.731	-2.33101	0.50271
3.3553	-1.52546	0.51089
4.46533	-0.66147	0.51549
4.40455	0.30113	0.48353
4.14165	0.30841	0.17252
4.35882	1.22302	0.16825
3.50854	2.33069	0.1559
2.43358	2.60049	0.16499
1.49221	3.51699	0.16418
0.06477	3.17303	0.15186
-1.08801	2.96	0.15852
-2.42629	2.64161	0.1664
-3.20679	1.6619	0.1625
-3.38021	0.73133	0.17033
-3.27858	-0.20905	0.15911
-3.21612	-1.17956	0.15591
-2.45172	-1.9273	0.17293
-1.31088	-2.48524	0.15949
0.06722	-2.44922	0.18045
1.42575	-2.37982	0.1569
2.46281	-2.33924	0.16297
3.57294	-1.40244	0.16198
3.88098	-0.6513	0.16949
4.50607	0.31129	0.16244
4.38206	0.31742	-0.16318
4.03561	1.18019	-0.16101
3.33683	2.20701	-0.18046
2.36587	2.92192	-0.16654
1.41824	3.12126	-0.16534
0.06569	3.47987	-0.15196
-1.17584	3.32694	-0.16872
-2.1332	2.6447	-0.15053
-3.0717	1.87802	-0.17363
-3.58745	0.79389	-0.17788
-3.81642	-0.18038	-0.16153
-2.80673	-1.13316	-0.17155
-2.13174	-1.83886	-0.15034
-1.18493	-2.3956	-0.15701
0.07217	-2.5376	-0.1693
1.41224	-2.83049	-0.16303
2.59518	-2.11378	-0.18039
3.80014	-1.61947	-0.15161
3.94818	-0.73308	-0.16474
4.82431	0.32547	-0.17307
4.29972	0.30164	-0.46921
4.10802	1.30877	-0.4691
3.22852	2.28704	-0.53583
2.41303	2.86257	-0.45304
1.33652	3.01822	-0.45147
0.08539	3.10787	-0.48661
-1.23387	2.6887	-0.5002
-2.14389	2.46455	-0.50901
-2.75721	1.78333	-0.47116
-3.2633	0.7354	-0.47602
-3.56732	-0.18491	-0.52693
-2.9812	-1.1615	-0.47837
-2.05622	-1.99597	-0.52621
-1.17133	-2.5212	-0.50923
0.08096	-2.57768	-0.52398
1.40679	-2.44385	-0.50888
2.66332	-2.0155	-0.50585
3.26845	-1.56806	-0.46386
3.77699	-0.58178	-0.5219
3.91807	0.32514	-0.44305
4.36122	0.2817	-0.74571
3.55104	1.08378	-0.7597
3.44554	1.90698	-0.80877
2.2167	2.59425	-0.73257
1.38647	3.21129	-0.86658
0.08917	3.17238	-0.76266
-1.02663	2.53843	-0.74064
-1.96307	2.15892	-0.83287
-3.03975	1.73163	-0.73833
-3.46567	0.77266	-0.76943
-3.40181	-0.15771	-0.72625
-2.97027	-1.0262	-0.81614
-2.17615	-1.79071	-0.80381
-1.13681	-2.43032	-0.72346
0.09816	-2.22746	-0.72659
1.21519	-2.23727	-0.82702
2.1739	-2.1373	-0.79696
3.14739	-1.40233	-0.79801
3.97177	-0.58987	-0.86896
4.09022	0.28049	-0.72642
3.56774	0.31042	-1.05874
3.45539	1.03149	-1.05787
3.16728	1.82215	-1.07753
2.3007	2.49912	-1.1687
1.11625	2.72922	-1.08525
0.11552	2.92876	-1.02495
-1.00333	2.45485	-1.04466
-1.89642	2.17522	-1.04668
-2.47221	1.54415	-1.03981
-2.88862	0.75876	-1.18762
-2.85938	-0.10911	-1.00677
-2.54603	-0.90933	-1.08639
-1.74654	-1.68062	-1.08328
-0.87053	-1.82133	-1.13689
0.12682	-2.11996	-1.06109
1.10708	-2.30619	-1.10642
2.19073	-1.91209	-1.04022
2.90386	-1.19943	-0.99224
3.46297	-0.4801	-1.0258
3.66726	0.29987	-1.02884
3.24355	0.32902	-1.31961
3.43009	1.09	-1.27042
2.49718	1.70193	-1.36197
1.84851	2.03816	-1.41529
1.21362	2.655	-1.28843
0.15386	2.74499	-1.28046
-0.79886	2.36547	-1.41294
-1.74866	2.10727	-1.4143
-2.10624	1.42189	-1.35248
-2.50344	0.69556	-1.27004
-2.4519	-0.0662	-1.24988
-2.2274	-0.78707	-1.47898
-1.47204	-1.42536	-1.31224
-0.78495	-1.64249	-1.28296
0.15675	-2.06366	-1.26733
1.15894	-1.86759	-1.25496
1.88475	-1.52684	-1.30583
2.80589	-1.15447	-1.48002
3.17801	-0.45091	-1.32895
3.0741	0.27024	-1.25009
2.94362	0.28114	-1.6953
2.62473	0.88091	-1.63988
2.44554	1.53819	-1.53511
1.58089	1.78043	-1.55123
0.9715	2.03471	-1.45827
0.18427	2.34235	-1.57338
-0.59967	2.02046	-1.5696
-1.37952	1.51401	-1.51564
-1.81801	1.09616	-1.68236
-2.04116	0.6034	-1.64735
-1.89892	-0.00344	-1.60414
-1.71767	-0.53905	-1.58344
-1.20246	-0.95554	-1.42203
-0.59427	-1.24943	-1.61138
0.20618	-1.56299	-1.64569
1.07641	-1.51047	-1.72093
1.86725	-1.24597	-1.474
2.33409	-0.76352	-1.48825
2.65727	-0.31352	-1.47778
3.13176	0.31966	-1.53053
2.21134	0.28121	-1.60929
2.29067	0.68968	-1.79766
1.87902	1.25134	-1.86537
1.39762	1.50182	-1.84313
0.81221	1.5863	-1.77271
0.21956	1.77877	-1.69079
-0.35463	1.52077	-1.84012
-0.85163	1.32253	-1.73245
-1.22854	0.97242	-1.75066
-1.36581	0.58162	-1.71256
-1.61323	0.06742	-1.65629
-1.28654	-0.40618	-1.8539
-0.88613	-0.76858	-1.58676
-0.33919	-1.07133	-1.76234
0.22748	-1.05384	-1.73564
0.79214	-1.14186	-1.83692
1.51952	-0.86809	-1.8877
2.06371	-0.574	-1.62158
2.3013	-0.16138	-1.78699
2.20153	0.29248	-1.86343
1.693	0.29064	-2.06851
1.51992	0.63684	-2.04488
1.5028	0.84765	-1.89257
1.05194	1.07547	-1.77608
0.76348	1.29736	-1.76163
0.2662	1.27169	-2.02744
-0.13171	1.16202	-2.06882
-0.52361	1.10738	-2.05439
-0.78835	0.76472	-2.00318
-0.91385	0.49895	-1.92815
-0.8146	0.13357	-1.83852
-0.74556	-0.17219	-1.86348
-0.51635	-0.38467	-1.79082
-0.12562	-0.61001	-1.77824
0.31319	-0.6287	-1.80904
0.76167	-0.69889	-2.02602
1.12063	-0.52423	-1.85122
1.2983	-0.27014	-1.88676
1.64782	-0.0176	-2.02394
1.85665	0.30934	-1.91393
0.95843	0.29284	-2.15464
1.00807	0.45782	-1.80507
0.93138	0.66306	-2.00408
0.80452	0.72386	-2.05112
0.52121	0.73235	-2.14228
0.35849	0.71334	-1.92326
0.13422	0.68162	-1.94532
-0.04552	0.68201	-1.78694
-0.17899	0.55173	-1.98587
-0.23291	0.35201	-1.89583
-0.2403	0.23149	-1.96575
-0.19279	0.06028	-2.07463
-0.05022	-0.06261	-2.00781
0.13276	-0.16442	-2.00553
0.32511	-0.17661	-1.81828
0.56971	-0.18509	-1.97783
0.71793	-0.11889	-1.98519
0.85357	-0.00347	-1.81029
1.028	0.14515	-2.12508
1.10515	0.32693	-2.06881
0.3705	0.30068	-2.00495
0.41526	0.27366	-1.84107
0.40189	0.29004	-1.94189
0.41313	0.27333	-1.89392
0.41063	0.29508	-2.12592
0.40906	0.27101	-1.96263
0.41079	0.32392	-1.93386
0.40845	0.30756	-2.15135
0.41474	0.28107	-1.88913
0.41378	0.31949	-1.95034
0.38933	0.30033	-2.1818
0.38595	0.27421	-2.10506
0.37529	0.27608	-1.86482
0.43982	0.30618	-2.04442
0.38366	0.28476	-2.19549
0.4362	0.30386	-2.12884
0.42417	0.32998	-1.90768
0.36675	0.3262	-2.1618
0.42255	0.30517	-1.92135
0.36683	0.27575	-1.82586
