Index	Component  A	Component  B	Composite
247	29	62	51
248	49	103	87
249	64	138	113
250	72	152	125
251	64	138	114
252	50	101	84
253	30	61	50
254	14	33	28
255	8	14	12
256	4	5	5
257	2	4	5
258	2	3	5
259	3	2	4
260	2	1	2
261	1	2	3
262	0	1	4
263	0	2	4
264	2	2	2
265	2	1	4
266	0	1	3
267	2	1	3
268	0	1	1
269	1	2	2
270	3	0	2
271	0	1	2
272	2	3	4
273	2	2	2
274	2	3	5
275	2	2	2
276	3	2	5
277	2	3	3
278	0	3	3
279	1	2	3
280	0	0	3
281	1	2	2
282	0	2	1
283	3	1	3
284	2	2	4
285	1	2	2
286	2	2	4
287	2	2	4
288	0	0	2
289	0	0	1
290	2	2	3
291	1	2	4
292	2	1	2
293	4	1	3
294	5	3	7
295	8	8	11
296	16	17	18
297	35	29	34
298	56	47	52
299	74	63	69
300	81	70	76
301	73	63	69
302	56	49	53
303	34	29	33
304	18	14	16
305	8	8	10
306	4	2	4
307	1	1	2
308	0	1	3
309	2	3	6
310	2	2	3
311	2	3	3
312	1	2	4
313	1	1	1
314	1	0	3
315	2	2	3
316	2	0	1
317	2	0	1
318	2	2	5
319	2	1	3
320	1	2	2
321	1	3	3
322	1	3	4
323	2	2	5
324	2	1	3
325	1	0	3
326	2	2	5
327	1	3	5
328	1	1	2
329	1	2	3
330	1	3	4
331	2	2	3
332	1	1	3
333	2	3	3
334	0	2	4
335	2	3	5
336	3	2	5
337	2	2	5
338	3	3	4
339	0	0	2
340	0	3	4
341	2	2	4
342	2	1	2
343	3	1	3
344	2	0	1
345	1	1	3
346	2	1	2
347	1	2	3
348	1	0	2
349	3	1	3
350	1	1	3
351	1	1	1
352	0	1	2
353	1	0	1
354	2	1	3
355	0	0	2
356	1	1	3
357	1	2	4
358	1	0	2
359	2	2	2
360	1	3	4
361	1	1	1
362	2	3	4
363	1	2	4
364	3	2	5
365	2	0	3
366	0	2	4
367	1	2	5
368	1	0	1
369	1	2	3
370	0	0	0
371	0	0	2
372	3	1	3
373	2	0	1
374	0	3	2
375	2	2	5
376	3	3	3
377	2	0	2
378	2	3	4
379	2	1	2
380	3	1	4
381	3	2	3
382	0	1	3
383	0	1	2
384	1	2	4
385	3	3	3
386	3	2	2
387	2	0	2
388	2	0	3
389	3	1	2
390	1	2	3
391	0	2	2
392	3	2	4
393	2	1	4
394	1	5	4
395	2	10	8
396	3	23	18
397	1	42	28
398	3	70	47
399	2	90	60
400	2	99	67
401	0	92	61
402	1	68	46
403	0	43	29
404	2	23	18
405	3	11	9
406	2	5	4
407	1	4	4
408	2	2	3
409	1	1	4
410	3	1	2
411	3	2	5
412	1	1	2
413	1	2	3
414	3	0	1
415	1	1	3
416	2	2	5
417	0	2	4
418	3	0	3
419	2	3	3
420	3	1	3
421	1	2	4
422	3	2	3
423	3	0	4
424	1	1	1
425	1	3	3
426	2	0	1
427	2	1	4
428	1	0	2
429	1	3	2
430	2	1	3
431	1	1	2
432	1	0	0
433	2	0	3
434	2	1	4
435	1	1	2
436	1	2	2
437	1	2	3
438	1	1	4
439	1	0	3
440	0	2	2
441	2	3	5
442	0	1	2
443	1	2	3
444	1	3	3
445	3	0	4
446	1	1	3
447	3	2	5
448	2	1	2
449	0	2	3
450	0	1	1
451	0	2	4
452	1	3	3
453	0	1	2
454	1	2	4
455	3	1	2
456	3	2	4
457	1	1	2
458	2	2	3
459	2	1	4
460	3	2	3
461	2	1	4
462	1	2	2
463	2	3	4
464	1	2	3
465	1	0	3
466	3	2	5
467	0	2	3
468	1	0	2
469	0	2	4
470	1	1	3
471	3	1	3
472	3	2	4
473	2	2	4
474	2	2	4
475	2	0	2
476	1	3	3
477	2	2	4
478	2	1	3
479	1	3	5
480	1	3	4
481	1	0	2
482	0	0	2
483	1	2	3
484	2	3	3
485	1	1	2
486	2	2	4
487	1	2	2
488	1	1	2
489	2	3	5
490	1	2	2
491	3	3	5
492	1	1	4
493	1	0	3
494	1	1	3
495	2	0	2
496	1	1	2
497	1	1	4
498	1	3	3
499	3	0	2
500	2	2	4
