Data Source: ForteBio Octet
Station ID: Alpha03
Sensor Type: Protein A
Temperature: 30 deg C

	Sensor A x	Sensor A y	Sensor B x	Sensor B y	Sensor C x	Sensor C y	Sensor D x	Sensor D y	Sensor E x	Sensor E y	Sensor F x	Sensor F y	Sensor G x	Sensor G y	Sensor H x	Sensor H y
Data Point# 16	25.6	0.844788	25.8	0.867859	26	0.847107	26.2	0.860962	26.4	0.832458	26.6	0.808472	26.8	0.841125	27	0.834045
Data Point# 17	27.2	0.861755	27.4	0.880554	27.6	0.882446	27.8	0.904175	28	0.859131	28.2	0.829163	28.4	0.849609	28.6	0.863525
Data Point# 18	28.8	0.880859	29	0.933533	29.2	0.896973	29.4	0.922668	29.6	0.846802	29.8	0.835388	30	0.862366	30.2	0.867737
Data Point# 19	30.4	0.908447	30.6	0.922974	30.8	0.921936	31	0.930908	31.2	0.85498	31.4	0.825012	31.6	0.883606	31.8	0.855103
Data Point# 20	32	0.914795	32.2	0.952637	32.4	0.944763	32.6	0.935059	32.8	0.89801	33	0.820923	33.2	0.88147	33.4	0.901367
Data Point# 21	33.6	0.933899	33.8	0.99292	34	0.942688	34.2	0.961792	34.4	0.908264	34.6	0.866455	34.8	0.885681	35	0.899292
Data Point# 22	35.2	0.93811	35.4	0.963257	35.6	0.932312	35.8	0.986511	36	0.9021	36.2	0.862305	36.4	0.919678	36.6	0.916077
Data Point# 23	36.8	0.955078	37	0.9823	37.2	0.953125	37.4	0.99884	37.6	0.9021	37.8	0.887146	38	0.911133	38.2	0.916077
Data Point# 24	38.4	0.93811	38.6	0.973816	38.8	0.980164	39	0.986511	39.2	0.924622	39.4	0.909912	39.6	0.902649	39.8	0.926636
Data Point# 25	40	0.957214	40.2	1.014099	40.4	0.967651	40.6	1.009155	40.8	0.945129	41	0.947205	41.2	0.911133	41.4	0.93927
Data Point# 26	41.6	0.974182	41.8	1.028992	42	0.969727	42.2	1.01532	42.4	0.926697	42.6	0.899597	42.8	0.957825	43	0.926636
Data Point# 27	43.2	0.976318	43.4	1.001404	43.6	1.000916	43.8	1.017334	44	0.965637	44.2	0.922363	44.4	0.932373	44.6	0.945557
Data Point# 28	44.8	0.984802	45	1.033203	45.2	0.971802	45.4	1.01532	45.6	0.961548	45.8	0.934753	46	0.959961	46.2	0.945557
Data Point# 29	46.4	0.989014	46.6	1.041687	46.8	0.99884	47	1.029724	47.2	0.969727	47.4	0.907837	47.6	0.964233	47.8	0.966614
Data Point# 30	48	1.003845	48.2	1.048035	48.4	1.013428	48.6	1.021484	48.8	0.971741	49	0.932678	49.2	0.968445	49.4	1.00238
Data Point# 31	49.6	1.012329	49.8	1.056519	50	0.99054	50.2	1.033813	50.4	0.963562	50.6	0.947205	50.8	0.940857	51	0.977112
Data Point# 32	51.2	0.989014	51.4	1.079834	51.6	1.046692	51.8	1.060608	52	0.967651	52.2	0.955505	52.4	0.972717	52.6	0.989746
Data Point# 33	52.8	1.014465	53	1.062866	53.2	1.042542	53.4	1.062622	53.6	0.98407	53.8	0.940979	54	0.985413	54.2	0.983459
Data Point# 34	54.4	1.033569	54.6	1.069275	54.8	1.027954	55	1.054382	55.2	1.000427	55.4	0.945129	55.6	0.987549	55.8	1.000244
Data Point# 35	56	1.010254	56.2	1.09259	56.4	1.044617	56.6	1.054382	56.8	1.000427	57	0.990662	57.2	0.974792	57.4	1.012878
Data Point# 36	57.6	1.018738	57.8	1.084106	58	1.044617	58.2	1.089417	58.4	0.98407	58.6	0.951355	58.8	1.010925	59	1.012878
Data Point# 37	59.2	1.031433	59.4	1.090454	59.6	1.075806	59.8	1.10791	60	0.996338	60.2	0.951355	60.4	1.017273	60.6	1.004456
