Data Source: ForteBio Octet
Station ID: Alpha03
Sensor Type: Protein A
Temperature: 30 deg C

	Sensor A x	Sensor A y	Sensor B x	Sensor B y	Sensor C x	Sensor C y	Sensor D x	Sensor D y	Sensor E x	Sensor E y	Sensor F x	Sensor F y	Sensor G x	Sensor G y	Sensor H x	Sensor H y
Data Point# 22	35.2	0.0672	35.4	0.177185	35.6	0.308777	35.8	0.536865	36	0.744568	36.2	0.92395	36.4	1.009949	36.6	1.072937
Data Point# 23	36.8	0.062988	37	0.164551	37.2	0.352295	37.4	0.563721	37.6	0.760986	37.8	0.940369	38	1.009949	38.2	1.147949
Data Point# 24	38.4	0.113403	38.6	0.179321	38.8	0.321228	39	0.569946	39.2	0.767151	39.4	0.934204	39.6	1.050232	39.8	1.116699
Data Point# 25	40	0.0672	40.2	0.187744	40.4	0.331543	40.6	0.586487	40.8	0.818481	41	0.954651	41.2	1.045959	41.4	1.104187
Data Point# 26	41.6	0.10498	41.8	0.210938	42	0.339844	42.2	0.617493	42.4	0.791809	42.6	0.960815	42.8	1.048096	43	1.106262
Data Point# 27	43.2	0.10083	43.4	0.198303	43.6	0.373047	43.8	0.605042	44	0.793884	44.2	0.948547	44.4	1.050232	44.6	1.164612
Data Point# 28	44.8	0.073486	45	0.215149	45.2	0.364746	45.4	0.625732	45.6	0.808228	45.8	0.95874	46	1.090515	46.2	1.139587
Data Point# 29	46.4	0.086121	46.6	0.21936	46.8	0.416565	47	0.617493	47.2	0.828796	47.4	0.952637	47.6	1.082031	47.8	1.12085
Data Point# 30	48	0.113403	48.2	0.229919	48.4	0.400024	48.6	0.691895	48.8	0.857544	49	0.985413	49.2	1.077759	49.4	1.141663
Data Point# 31	49.6	0.079773	49.8	0.246826	50	0.429016	50.2	0.685669	50.4	0.855469	50.6	0.991516	50.8	1.075684	51	1.147949
Data Point# 32	51.2	0.098694	51.4	0.240479	51.6	0.437317	51.8	0.685669	52	0.859619	52.2	0.985413	52.4	1.092651	52.6	1.137512
Data Point# 33	52.8	0.107117	53	0.238403	53.2	0.476746	53.4	0.698059	53.6	0.867798	53.8	1.00177	54	1.111694	54.2	1.1521
Data Point# 34	54.4	0.107117	54.6	0.253174	54.8	0.462219	55	0.71875	55.2	0.869873	55.4	0.993591	55.6	1.088379	55.8	1.18335
Data Point# 35	56	0.111328	56.2	0.274231	56.4	0.464294	56.6	0.71051	56.8	0.882202	57	0.989502	57.2	1.094727	57.4	1.166687
Data Point# 36	57.6	0.090271	57.8	0.291138	58	0.493347	58.2	0.71051	58.4	0.871887	58.6	1.024292	58.8	1.128662	59	1.166687
Data Point# 37	59.2	0.132324	59.4	0.280579	59.6	0.495422	59.8	0.758057	60	0.900696	60.2	1.026306	60.4	1.135071	60.6	1.160461
