Data Source: ForteBio Octet
Station ID: Alpha02
Sensor Type: Protein A
Temperature: 30 deg C

	Sensor A x	Sensor A y	Sensor B x	Sensor B y	Sensor C x	Sensor C y	Sensor D x	Sensor D y	Sensor E x	Sensor E y	Sensor F x	Sensor F y	Sensor G x	Sensor G y	Sensor H x	Sensor H y
Data Point# 19	30.4	0.451538	30.6	0.444214	30.8	0.451721	31	0.456055	31.2	0.44696	31.4	0.464783	31.6	0.423035	31.8	0.451965
Data Point# 20	32	0.470337	32.2	0.442139	32.4	0.47644	32.6	0.45813	32.8	0.500854	33	0.483398	33.2	0.44397	33.4	0.512451
Data Point# 21	33.6	0.461975	33.8	0.47583	34	0.462036	34.2	0.482788	34.4	0.473877	34.6	0.514404	34.8	0.473328	35	0.510376
Data Point# 22	35.2	0.499634	35.4	0.46106	35.6	0.472351	35.8	0.501282	36	0.502869	36.2	0.510254	36.4	0.485901	36.6	0.502014
Data Point# 23	36.8	0.495483	37	0.501099	37.2	0.507446	37.4	0.521851	37.6	0.511169	37.8	0.535095	38	0.517334	38.2	0.516602
Data Point# 24	38.4	0.522644	38.6	0.517944	38.8	0.523926	39	0.544495	39.2	0.531921	39.4	0.566101	39.6	0.521545	39.8	0.583313
Data Point# 25	40	0.526855	40.2	0.515869	40.4	0.567261	40.6	0.548584	40.8	0.556763	41	0.576416	41.2	0.523621	41.4	0.577087
Data Point# 26	41.6	0.551941	41.8	0.547485	42	0.548706	42.2	0.575317	42.4	0.552612	42.6	0.578491	42.8	0.534119	43	0.541626
Data Point# 27	43.2	0.551941	43.4	0.551697	43.6	0.552856	43.8	0.550659	44	0.565063	44.2	0.607422	44.4	0.55719	44.6	0.587463
Data Point# 28	44.8	0.583374	45	0.581177	45.2	0.571411	45.4	0.595886	45.6	0.58783	45.8	0.603333	46	0.565552	46.2	0.595825
Data Point# 29	46.4	0.595886	46.6	0.568542	46.8	0.625122	47	0.612366	47.2	0.594055	47.4	0.624023	47.6	0.580261	47.8	0.599976
Data Point# 30	48	0.598022	48.2	0.581177	48.4	0.645752	48.6	0.610291	48.8	0.58783	49	0.628113	49.2	0.580261	49.4	0.631287
Data Point# 31	49.6	0.606384	49.8	0.631775	50	0.618896	50.2	0.643188	50.4	0.635498	50.6	0.673645	50.8	0.57605	51	0.647949
Data Point# 32	51.2	0.633606	51.4	0.638123	51.6	0.625122	51.8	0.647339	52	0.625122	52.2	0.669495	52.4	0.624268	52.6	0.641724
Data Point# 33	52.8	0.633606	53	0.633911	53.2	0.656067	53.4	0.669983	53.6	0.645813	53.8	0.661194	54	0.657837	54.2	0.668823
Data Point# 34	54.4	0.671265	54.6	0.650757	54.8	0.645752	55	0.645264	55.2	0.658264	55.4	0.681885	55.6	0.636841	55.8	0.683411
Data Point# 35	56	0.644043	56.2	0.671814	56.4	0.645752	56.6	0.680237	56.8	0.68103	57	0.686035	57.2	0.632629	57.4	0.668823
Data Point# 36	57.6	0.656616	57.8	0.657104	58	0.670532	58.2	0.682312	58.4	0.676941	58.6	0.68396	58.8	0.678772	59	0.668823
Data Point# 37	59.2	0.662903	59.4	0.663391	59.6	0.697388	59.8	0.696716	60	0.676941	60.2	0.715027	60.4	0.691345	60.6	0.714722
