Data Source: ForteBio Octet
Station ID: Alpha03
Sensor Type: Protein A
Temperature: 30 deg C

	Sensor A x	Sensor A y	Sensor B x	Sensor B y	Sensor C x	Sensor C y	Sensor D x	Sensor D y	Sensor E x	Sensor E y	Sensor F x	Sensor F y	Sensor G x	Sensor G y	Sensor H x	Sensor H y
Data Point# 17	27.2	0.984314	27.4	1.042603	27.6	1.027466	27.8	0.995117	28	0.951294	28.2	0.924988	28.4	0.860535	28.6	0.984924
Data Point# 18	28.8	0.973877	29	1.053223	29.2	1.044189	29.4	1.022034	29.6	0.994751	29.8	0.941589	30	0.881897	30.2	0.96167
Data Point# 19	30.4	0.998962	30.6	1.055359	30.8	1.025391	31	1.04071	31.2	1.000977	31.4	0.939514	31.6	0.909607	31.8	0.957458
Data Point# 20	32	1.007324	32.2	1.055359	32.4	1.052551	32.6	1.055176	32.8	0.98645	33	0.972717	33.2	0.894653	33.4	1.006042
Data Point# 21	33.6	0.988525	33.8	1.095703	34	1.060913	34.2	1.04895	34.4	1.005127	34.6	0.962341	34.8	0.918152	35	0.970093
Data Point# 22	35.2	1.021912	35.4	1.089294	35.6	1.0755	35.8	1.051025	36	1.034119	36.2	0.962341	36.4	0.954407	36.6	0.999695
Data Point# 23	36.8	1.049072	37	1.072327	37.2	1.060913	37.4	1.075928	37.6	1.025818	37.8	0.981079	38	0.922424	38.2	1.025024
Data Point# 24	38.4	1.009399	38.6	1.097839	38.8	1.106812	39	1.104919	39.2	1.036194	39.4	0.970642	39.6	0.935181	39.8	1.048279
Data Point# 25	40	1.04071	40.2	1.108398	40.4	1.079651	40.6	1.069702	40.8	1.05481	41	1.003906	41.2	0.943726	41.4	1.029236
Data Point# 26	41.6	1.067871	41.8	1.123291	42	1.0755	42.2	1.10907	42.4	1.036194	42.6	1.012207	42.8	0.97998	43	1.025024
Data Point# 27	43.2	1.08252	43.4	1.097839	43.6	1.104736	43.8	1.104919	44	1.05481	44.2	1.001831	44.4	0.928833	44.6	1.071472
Data Point# 28	44.8	1.074158	45	1.112671	45.2	1.131897	45.4	1.115295	45.6	1.056885	45.8	0.98938	46	0.967224	46.2	1.050354
Data Point# 29	46.4	1.092957	46.6	1.123291	46.8	1.104736	47	1.123596	47.2	1.075562	47.4	1.020508	47.6	0.986389	47.8	1.03772
Data Point# 30	48	1.08667	48.2	1.131775	48.4	1.121399	48.6	1.111145	48.8	1.069336	49	1.03717	49.2	0.984253	49.4	1.079956
Data Point# 31	49.6	1.107605	49.8	1.136047	50	1.146484	50.2	1.150513	50.4	1.096252	50.6	1.028809	50.8	0.962952	51	1.090515
Data Point# 32	51.2	1.055359	51.4	1.169983	51.6	1.167358	51.8	1.150513	52	1.087952	52.2	1.012207	52.4	0.990662	52.6	1.07782
Data Point# 33	52.8	1.090881	53	1.159363	53.2	1.156921	53.4	1.156738	53.6	1.085876	53.8	1.03717	54	0.99707	54.2	1.082031
Data Point# 34	54.4	1.111755	54.6	1.161499	54.8	1.154846	55	1.140137	55.2	1.065186	55.4	1.049622	55.6	0.950134	55.8	1.115845
Data Point# 35	56	1.084595	56.2	1.169983	56.4	1.158997	56.6	1.146362	56.8	1.096252	57	1.055847	57.2	0.992798	57.4	1.098938
Data Point# 36	57.6	1.122192	57.8	1.193359	58	1.146484	58.2	1.154663	58.4	1.108704	58.6	1.032959	58.8	1.029053	59	1.07782
Data Point# 37	59.2	1.115967	59.4	1.178467	59.6	1.138123	59.8	1.165039	60	1.110779	60.2	1.057922	60.4	0.994934	60.6	1.10321
