Data Source: ForteBio Octet
Station ID: Alpha01
Sensor Type: Protein A
Temperature: 30 deg C

	Sensor A x	Sensor A y	Sensor B x	Sensor B y	Sensor C x	Sensor C y	Sensor D x	Sensor D y	Sensor E x	Sensor E y	Sensor F x	Sensor F y	Sensor G x	Sensor G y	Sensor H x	Sensor H y
Data Point# 26	41.6	0.110474	41.8	0.218018	42	0.411194	42.2	0.559875	42.4	0.826965	42.6	0.96405	42.8	1.095398	43	1.145081
Data Point# 27	43.2	0.095886	43.4	0.201294	43.6	0.401001	43.8	0.603271	44	0.851746	44.2	0.978333	44.4	1.076477	44.6	1.149231
Data Point# 28	44.8	0.093811	45	0.213867	45.2	0.392822	45.4	0.584656	45.6	0.84967	45.8	0.984436	46	1.097534	46.2	1.174194
Data Point# 29	46.4	0.077087	46.6	0.276794	46.8	0.451904	47	0.626038	47.2	0.855835	47.4	0.988525	47.6	1.135376	47.8	1.182495
Data Point# 30	48	0.118835	48.2	0.22644	48.4	0.441711	48.6	0.615723	48.8	0.88269	49	0.996704	49.2	1.143738	49.4	1.182495
Data Point# 31	49.6	0.114624	49.8	0.255798	50	0.476379	50.2	0.640503	50.4	0.905396	50.6	0.966064	50.8	1.101746	51	1.197021
Data Point# 32	51.2	0.106323	51.4	0.26416	51.6	0.451904	51.8	0.655029	52	0.895081	52.2	0.99469	52.4	1.122742	52.6	1.18457
Data Point# 33	52.8	0.118835	53	0.262085	53.2	0.486572	53.4	0.665344	53.6	0.913696	53.8	1.029358	54	1.139526	54.2	1.18457
Data Point# 34	54.4	0.114624	54.6	0.26001	54.8	0.486572	55	0.694275	55.2	0.911621	55.4	1.006897	55.6	1.131165	55.8	1.215759
Data Point# 35	56	0.133423	56.2	0.283081	56.4	0.480408	56.6	0.667419	56.8	0.921936	57	0.998718	57.2	1.13324	57.4	1.182495
Data Point# 36	57.6	0.108398	57.8	0.295654	58	0.502869	58.2	0.690186	58.4	0.911621	58.6	1.041626	58.8	1.164795	59	1.209534
Data Point# 37	59.2	0.14801	59.4	0.289368	59.6	0.525269	59.8	0.698425	60	0.921936	60.2	1.023254	60.4	1.156372	60.6	1.205322
