Data Source: ForteBio Octet
Station ID: Alpha03
Sensor Type: Protein A
Temperature: 30 deg C

	Sensor A x	Sensor A y	Sensor B x	Sensor B y	Sensor C x	Sensor C y	Sensor D x	Sensor D y	Sensor E x	Sensor E y	Sensor F x	Sensor F y	Sensor G x	Sensor G y	Sensor H x	Sensor H y
Data Point# 11	17.6	0.029419	17.8	0.086792	18	0.124146	18.2	0.267029	18.4	0.538696	18.6	0.731323	18.8	0.905518	19	0.970581
Data Point# 12	19.2	0.03363	19.4	0.063538	19.6	0.140747	19.8	0.289612	20	0.592407	20.2	0.762207	20.4	0.962585	20.6	0.98938
Data Point# 13	20.8	0.04834	21	0.086792	21.2	0.157288	21.4	0.293701	21.6	0.602722	21.8	0.778625	22	0.964722	22.2	1.004028
Data Point# 14	22.4	0.04834	22.6	0.10376	22.8	0.177979	23	0.324524	23.2	0.644043	23.4	0.821838	23.6	0.962585	23.8	1.029114
Data Point# 15	24	0.044128	24.2	0.116455	24.4	0.19043	24.6	0.353333	24.8	0.650269	25	0.830078	25.2	0.987976	25.4	1.052124
Data Point# 16	25.6	0.075745	25.8	0.088928	26	0.223572	26.2	0.410828	26.4	0.70813	26.6	0.850647	26.8	1.02179	27	1.085571
Data Point# 17	27.2	0.039978	27.4	0.124939	27.6	0.221497	27.8	0.396484	28	0.714294	28.2	0.854736	28.4	1.009094	28.6	1.083496
Data Point# 18	28.8	0.067322	29	0.137634	29.2	0.221497	29.4	0.439636	29.6	0.722595	29.8	0.902039	30	1.028137	30.2	1.062561
Data Point# 19	30.4	0.092529	30.6	0.110107	30.8	0.215271	31	0.439636	31.2	0.7453	31.4	0.867065	31.6	1.08313	31.8	1.075134
Data Point# 20	32	0.090454	32.2	0.135559	32.4	0.227722	32.6	0.472534	32.8	0.774231	33	0.883545	33.2	1.04718	33.4	1.085571
Data Point# 21	33.6	0.06311	33.8	0.156738	34	0.281555	34.2	0.474609	34.4	0.788696	34.6	0.930847	34.8	1.032349	35	1.121155
Data Point# 22	35.2	0.071533	35.4	0.156738	35.6	0.287781	35.8	0.472534	36	0.780457	36.2	0.965881	36.4	1.057739	36.6	1.114868
Data Point# 23	36.8	0.075745	37	0.16095	37.2	0.293945	37.4	0.511597	37.6	0.815613	37.8	0.914429	38	1.064087	38.2	1.102295
Data Point# 24	38.4	0.082031	38.6	0.19696	38.8	0.318848	39	0.528015	39.2	0.817627	39.4	0.939087	39.6	1.064087	39.8	1.116943
Data Point# 25	40	0.067322	40.2	0.220276	40.4	0.339539	40.6	0.579468	40.8	0.836243	41	0.961731	41.2	1.070435	41.4	1.150391
Data Point# 26	41.6	0.096741	41.8	0.177917	42	0.349915	42.2	0.560913	42.4	0.828003	42.6	0.951477	42.8	1.100037	43	1.12738
Data Point# 27	43.2	0.096741	43.4	0.201233	43.6	0.358215	43.8	0.581482	44	0.867249	44.2	0.99469	44.4	1.114807	44.6	1.112793
Data Point# 28	44.8	0.086243	45	0.232971	45.2	0.35614	45.4	0.581482	45.6	0.867249	45.8	0.98645	46	1.108459	46.2	1.158752
Data Point# 29	46.4	0.096741	46.6	0.205444	46.8	0.395508	47	0.585632	47.2	0.869324	47.4	0.984375	47.6	1.127502	47.8	1.167114
Data Point# 30	48	0.130432	48.2	0.201233	48.4	0.397583	48.6	0.604126	48.8	0.869324	49	0.961731	49.2	1.146545	49.4	1.171326
Data Point# 31	49.6	0.117798	49.8	0.22876	50	0.409973	50.2	0.62262	50.4	0.852783	50.6	0.984375	50.8	1.108459	51	1.188049
Data Point# 32	51.2	0.096741	51.4	0.241455	51.6	0.42865	51.8	0.62677	52	0.898254	52.2	1.015259	52.4	1.144409	52.6	1.158752
Data Point# 33	52.8	0.111511	53	0.220276	53.2	0.426575	53.4	0.663757	53.6	0.910706	53.8	1.013184	54	1.131775	54.2	1.198486
Data Point# 34	54.4	0.122009	54.6	0.235107	54.8	0.4245	55	0.661743	55.2	0.90448	55.4	0.988464	55.6	1.148682	55.8	1.175476
Data Point# 35	56	0.136719	56.2	0.264771	56.4	0.436951	56.6	0.669922	56.8	0.923096	57	1.029663	57.2	1.138123	57.4	1.185974
Data Point# 36	57.6	0.117798	57.8	0.279602	58	0.453491	58.2	0.678162	58.4	0.91687	58.6	1.031738	58.8	1.140198	59	1.192261
Data Point# 37	59.2	0.124084	59.4	0.262634	59.6	0.455566	59.8	0.70697	60	0.935486	60.2	1.015259	60.4	1.150757	60.6	1.202698
