X	Y	Z
-0.5118	0.71433	0.10943
-0.47669	0.73189	0.38281
-0.5195	0.83644	0.64321
-0.50775	0.95734	1.02783
-0.53167	0.99148	1.18876
-0.50784	1.28129	1.70159
-0.45684	1.35102	1.78098
-0.48707	1.53211	2.04029
-0.45604	1.38977	2.34546
-0.47315	1.72843	3.04024
-0.53358	1.64103	3.11069
-0.5445	1.74859	3.15148
-0.4554	1.91764	3.54753
-0.46609	1.99905	4.14563
-0.41845	0	-1.93197
-0.43842	0.102	-1.48946
-0.43458	0.21674	-1.27935
-0.39521	0.3022	-0.98808
-0.37987	0.36634	-0.65404
-0.43944	0.45484	-0.29501
-0.36001	0.59116	4.40699E-16
-0.37929	0.70571	0.29861
-0.37777	0.80033	0.58353
-0.41298	0.94862	0.91091
-0.43663	0.93032	1.09878
-0.40255	1.13435	1.63995
-0.39314	1.23806	1.96139
-0.39362	1.42661	2.21349
-0.40596	1.42674	2.57744
-0.39452	1.63577	2.64593
-0.3805	1.47158	3.02413
-0.41673	1.53408	3.3764
-0.41013	1.88745	3.73676
-0.39008	1.9378	3.59438
-0.40945	2.1787	4.09007
-0.3173	0	-1.52455
-0.31092	0.10747	-1.37435
-0.32237	0.2124	-0.91326
-0.32903	0.32765	-0.69982
-0.27593	0.41046	-0.41446
-0.32973	0.48331	-0.09854
-0.31027	0.56915	0.21255
-0.27841	0.74033	0.4505
-0.27978	0.76605	0.81188
-0.3008	0.93685	1.00331
-0.31784	0.91952	1.42468
-0.32775	1.0939	1.79104
-0.28209	1.27241	2.13318
-0.2732	1.33234	2.49713
-0.32698	1.2984	2.67457
-0.31763	1.61105	2.64168
-0.27686	1.51473	3.1366
-0.32939	1.70107	3.26347
-0.29872	1.87663	3.86515
-0.27852	1.716	4.28384
-0.28547	1.99777	4.72759
-0.19457	0	-1.4805
-0.19286	0.09204	-1.18725
-0.18207	0.19433	-0.87588
-0.19417	0.2715	-0.47175
-0.21671	0.42918	-0.19687
-0.18418	0.49795	0.09086
-0.18374	0.57559	0.42356
-0.19841	0.64634	0.7064
-0.2157	0.74481	0.9483
-0.20088	0.87642	1.18309
-0.19144	0.94148	1.71967
-0.18071	1.1477	1.72327
-0.21833	1.21786	2.20194
-0.21708	1.28106	2.39542
-0.18164	1.26142	2.57093
-0.18379	1.51692	3.20849
-0.18659	1.73756	3.28813
-0.18644	1.5922	3.86654
-0.18324	1.83539	3.84242
-0.19019	2.06391	4.64683
-0.21001	1.8301	4.14619
-0.10547	0	-1.08633
-0.10133	0.10398	-0.90794
-0.10602	0.19723	-0.63957
-0.09067	0.31741	-0.28553
-0.10569	0.39177	2.1928E-16
-0.10556	0.5304	0.27622
-0.09755	0.65231	0.60582
-0.10359	0.68929	0.98198
-0.10315	0.83959	1.10827
-0.09286	0.86238	1.38823
-0.09541	1.06373	1.83735
-0.09425	1.0385	1.92216
-0.10533	1.26267	2.18032
-0.09073	1.27568	2.59884
-0.0968	1.47243	3.13977
-0.09209	1.43379	3.16597
-0.10176	1.6742	3.64215
-0.09935	1.83309	3.865
-0.09138	1.8914	4.53156
-0.09544	1.72463	4.34533
-0.10236	2.08727	4.37285
0	0	-0.99989
0	0.09133	-0.66866
0	0.20913	-0.43341
0	0.29862	-0.09386
0	0.38814	0.21425
0	0.5333	0.48682
0	0.60331	0.81865
0	0.73066	1.01029
0	0.73715	1.4811
0	0.98813	1.85521
0	1.03833	2.18957
0	1.07475	2.38513
0	1.28177	2.44898
0	1.41632	2.90721
0	1.28282	3.45852
0	1.38037	3.32563
0	1.68696	4.17748
0	1.86291	3.7594
0	1.78369	4.15846
0	2.02008	4.42748
0	2.04033	5.22127
0.09277	0	-0.80471
0.09226	0.10777	-0.45245
0.09017	0.21156	-0.20698
0.09682	0.32954	0.0937
0.09266	0.38379	0.36327
0.09595	0.4551	0.72515
0.09757	0.56645	1.04906
0.09937	0.64899	1.25322
0.09543	0.76185	1.44891
0.10228	0.85545	1.89335
0.10306	1.09482	2.39734
0.09609	0.99629	2.70403
0.10327	1.22626	2.60276
0.10718	1.18859	3.18472
0.09923	1.27579	3.29359
0.09233	1.40586	3.57894
0.1092	1.69427	3.8834
0.10382	1.67937	4.59808
0.1014	1.71298	4.63406
0.09946	2.01095	5.12015
0.10255	2.11271	5.07624
0.20214	0	-0.61796
0.20382	0.10903	-0.27164
0.19391	0.18262	4.7641E-16
0.21298	0.30297	0.28907
0.20256	0.40711	0.58081
0.20534	0.50104	0.96889
0.19572	0.65999	1.11128
0.20574	0.73859	1.56304
0.19991	0.80501	1.75831
0.18083	0.96272	1.98137
0.20006	0.98795	2.56892
0.20611	1.05954	2.60524
0.19549	1.10675	3.16282
0.21634	1.35886	3.01579
0.21305	1.32166	3.65692
0.21572	1.63141	3.74191
0.19895	1.48303	4.40776
0.2164	1.79579	4.77886
0.20645	1.86062	4.76459
0.19605	1.82327	5.13207
0.19785	1.83488	5.73355
0.29061	0	-0.42515
0.32406	0.09143	-0.09748
0.28691	0.20693	0.19679
0.30065	0.30706	0.50587
0.3086	0.39652	0.81566
0.27349	0.51	1.11002
0.2712	0.57246	1.30194
0.31424	0.73147	1.74083
0.30922	0.72132	2.0212
0.3179	0.96408	2.42937
0.27478	0.93257	2.63925
0.30162	1.10154	2.85712
0.31183	1.31016	3.23596
0.32445	1.31368	3.38517
0.29271	1.33036	3.45084
0.29319	1.61744	3.96211
0.2708	1.74373	4.60974
0.28273	1.54574	4.4007
0.31066	1.62553	4.89921
0.29858	2.03103	5.72084
0.31353	1.87679	5.27966
0.40066	0	-0.20668
0.39791	0.10119	0.10683
0.36156	0.19773	0.42834
0.36073	0.28792	0.72419
0.36839	0.41249	1.00199
0.36646	0.48355	1.22597
0.39833	0.63708	1.73658
0.39601	0.75509	1.73893
0.37195	0.87134	2.19204
0.36328	0.8911	2.51704
0.39572	1.03862	2.73146
0.42841	1.12969	3.15166
0.38825	1.08942	3.23082
0.37292	1.36859	3.5194
0.43198	1.38197	4.33008
0.4365	1.50696	4.32562
0.3834	1.60907	4.59043
0.37102	1.65781	5.13307
0.36163	1.7776	5.44913
0.42893	1.82957	5.75296
0.37134	1.97845	5.78537
0.53156	0	0
0.54961	0.10293	0.28964
0.47947	0.20881	0.61713
0.48058	0.29759	0.96651
0.53129	0.39519	1.16282
0.54162	0.49995	1.60611
0.4873	0.65104	1.85555
0.48489	0.6319	2.23084
0.54966	0.79824	2.47193
0.4837	0.95008	2.70869
0.47721	1.04888	2.92947
0.49479	1.14624	3.3014
0.49255	1.1682	3.83296
0.49228	1.40477	3.83789
0.51686	1.35674	3.82785
0.46859	1.3928	4.37027
0.54785	1.64695	4.86519
0.48437	1.81868	5.38367
0.46661	1.80784	5.21418
0.49795	2.01453	5.26415
0.47394	2.07783	6.10808
0.63007	0	0.20233
0.55293	0.10673	0.52195
0.55586	0.21304	0.87576
0.58656	0.29977	1.02272
0.65191	0.40934	1.36621
0.57229	0.46898	1.81101
0.65085	0.58758	2.10294
0.5597	0.69493	2.29322
0.60339	0.78099	2.66109
0.60723	0.98398	3.18893
0.55211	0.94792	3.302
0.5978	1.03785	3.81056
0.58478	1.17121	4.14656
0.64176	1.19658	4.4249
0.63483	1.42025	4.73949
0.59314	1.59339	5.01674
0.58376	1.49606	4.70041
0.59023	1.69912	4.95482
0.56455	1.65158	5.48721
0.59845	2.01342	6.25451
0.61998	1.81639	6.33545
0.76519	0	0.39472
0.64732	0.10758	0.65582
0.68795	0.20123	1.00213
0.6371	0.32706	1.21063
0.68712	0.38447	1.59612
0.65568	0.48115	1.78777
0.69321	0.57095	2.37368
0.76098	0.68121	2.53483
0.75477	0.87097	2.88687
0.76088	0.84484	3.04254
0.63118	0.99425	3.34847
0.72263	1.1311	3.84404
0.692	1.12905	4.26632
0.63272	1.35298	3.94645
0.66927	1.46604	4.3793
0.7631	1.53015	4.428
0.73268	1.45107	5.39821
0.65203	1.57106	5.89437
0.63624	1.73519	5.77425
0.75138	2.08562	6.00292
0.73498	1.87247	7.03204
0.87272	0	0.65933
0.87991	0.1057	0.94037
0.79481	0.18563	1.19785
0.84523	0.28656	1.61071
0.84683	0.4052	1.84041
0.8796	0.54448	1.93032
0.76247	0.61861	2.47747
0.81159	0.74477	2.8813
0.75248	0.85636	2.75766
0.85239	0.88911	3.40727
0.82177	0.92461	3.48784
0.74134	1.07642	4.1369
0.77248	1.09574	4.29652
0.81233	1.28936	4.38989
0.72595	1.48543	4.93133
0.8314	1.4852	5.14293
0.81772	1.73925	4.94974
0.80899	1.69552	5.22084
0.80107	1.68086	6.07381
0.76998	1.82279	6.14422
0.78244	1.89767	6.33258
0.87273	0	0.85883
0.9392	0.09095	1.16004
0.85276	0.20514	1.44852
0.82202	0.28025	1.53856
0.91663	0.39926	2.07118
0.8617	0.46586	2.31718
0.82546	0.62896	2.60087
0.98725	0.72932	2.64888
0.82144	0.72337	3.50676
0.93131	0.98607	3.60017
0.81266	0.90592	3.52024
0.90048	1.11726	4.25017
0.86324	1.18419	4.07862
0.95494	1.42106	4.36454
0.86708	1.46861	5.38607
0.98578	1.55498	5.44897
0.82611	1.52351	5.8144
0.84948	1.76044	5.86868
0.81923	1.65446	5.78555
0.90819	1.78599	5.99649
0.91355	1.91098	7.024
1.01182	0	0.96586
0.98201	0.09851	1.42061
0.94719	0.21317	1.52542
0.98546	0.31854	1.95478
0.90224	0.42681	2.11525
1.02972	0.48142	2.71911
1.01586	0.5476	2.98324
1.05277	0.72143	3.22078
0.93821	0.85055	3.52004
1.0159	0.85876	3.54902
1.07643	1.05677	4.33727
1.00048	1.01381	4.2114
1.07258	1.3109	4.25877
1.0971	1.20955	4.70602
1.05807	1.47717	4.80116
1.06898	1.46921	5.20954
0.94128	1.60532	5.82812
0.90415	1.77	6.70644
1.07261	1.84961	6.20451
1.03105	1.88854	7.0336
0.96205	2.04998	7.57995
