Version: 	3.5
No. of points:	850
Sample:		YBCO milled-square
Measured on:	12/03/2004
Time:		04:20:04 AM
Run Type:	Trial Run 3

Time	Delta Temperature	Magnetic Field	Position
0.89	32.00	140.50	101.50
0.90	31.70	140.60	101.10
0.91	31.30	140.80	101.90
0.92	31.40	140.90	100.10
0.93	31.80	141.00	101.30
0.94	31.10	141.20	100.40
0.95	30.80	141.30	100.20
0.96	30.70	141.50	102.00
0.97	30.90	141.60	100.70
0.98	30.80	141.70	101.00
0.99	30.90	141.90	101.50
1.00	30.60	142.00	100.30
1.01	30.80	142.10	101.90
1.02	30.10	142.30	101.00
1.03	30.90	142.40	101.90
1.04	30.10	142.50	100.40
1.05	30.40	142.60	101.80
1.06	30.70	142.70	102.00
1.07	30.50	142.90	101.70
1.08	30.40	143.00	100.10
1.09	29.90	143.10	101.80
1.10	30.40	143.20	101.10
1.11	30.30	143.30	101.70
1.12	29.90	143.40	100.10
1.13	30.10	143.50	101.20
1.14	29.40	143.60	100.20
1.15	29.20	143.70	101.00
1.16	29.40	143.80	101.90
1.17	29.80	143.90	101.70
1.18	29.40	144.00	101.80
1.19	29.50	144.10	101.30
1.20	29.40	144.20	100.40
1.21	29.10	144.30	100.30
1.22	29.40	144.40	101.40
1.23	28.30	144.50	100.30
1.24	29.20	144.60	101.50
1.25	28.40	144.70	100.00
1.26	28.40	144.70	101.30
1.27	28.00	144.80	100.30
1.28	27.90	144.90	101.90
1.29	28.80	145.00	100.20
1.30	28.20	145.10	100.90
1.31	27.50	145.10	100.30
1.32	28.40	145.20	100.20
1.33	27.70	145.30	100.60
1.34	28.00	145.40	100.60
1.35	28.00	145.40	101.60
1.36	28.10	145.50	100.60
1.37	28.20	145.60	100.80
1.38	27.90	145.70	100.20
1.39	27.40	145.70	101.00
1.40	27.50	145.80	100.70
1.41	27.60	145.90	101.70
1.42	26.70	145.90	100.60
1.43	27.40	146.00	101.30
1.44	27.10	146.10	100.70
1.45	27.10	146.10	100.60
1.46	27.40	146.20	100.90
1.47	27.40	146.20	101.50
1.48	27.10	146.30	101.60
1.49	26.50	146.40	100.90
1.50	26.60	146.40	101.00
1.51	26.80	146.50	100.60
1.52	26.20	146.50	100.10
1.53	26.40	146.60	102.00
1.54	26.30	146.60	100.00
1.55	26.10	146.70	100.30
1.56	26.20	146.80	100.10
1.57	25.80	146.80	100.10
1.58	25.60	146.90	100.30
1.59	26.40	146.90	101.90
1.60	25.90	147.00	100.80
1.61	25.80	147.00	100.30
1.62	25.90	147.10	101.00
1.63	25.40	147.10	101.30
1.64	26.00	147.10	100.70
1.65	25.30	147.20	101.60
1.66	25.30	147.20	100.90
1.67	25.10	147.30	101.60
1.68	25.50	147.30	101.20
1.69	25.60	147.40	100.90
1.70	25.20	147.40	101.60
1.71	24.50	147.40	101.10
1.72	25.40	147.50	100.20
1.73	25.50	147.50	100.70
1.74	24.90	147.60	100.50
1.75	24.80	147.60	100.50
1.76	24.20	147.60	101.60
1.77	24.90	147.70	101.20
1.78	24.50	147.70	101.70
1.79	24.80	147.80	100.20
1.80	24.30	147.80	101.30
1.81	24.40	147.80	101.30
1.82	24.10	147.90	101.50
1.83	24.50	147.90	101.50
1.84	24.20	147.90	100.30
1.85	24.10	148.00	100.70
1.86	23.70	148.00	100.10
1.87	24.50	148.00	100.70
1.88	24.50	148.10	101.10
1.89	24.20	148.10	100.60
1.90	23.90	148.10	101.60
1.91	23.30	148.20	100.50
1.92	23.60	148.20	100.90
1.93	23.30	148.20	101.50
1.94	24.10	148.20	101.70
1.95	23.70	148.30	101.50
1.96	23.10	148.30	101.90
1.97	22.80	148.30	100.80
1.98	23.70	148.30	101.50
1.99	23.60	148.40	101.10
2.00	22.90	148.40	100.60
2.01	23.00	148.40	100.40
2.02	22.80	148.50	100.50
2.03	22.60	148.50	101.80
2.04	22.40	148.50	101.20
2.05	22.90	148.50	101.20
2.06	22.80	148.50	101.10
2.07	23.30	148.60	101.90
2.08	22.10	148.60	102.00
2.09	22.40	148.60	100.30
2.10	22.00	148.60	101.50
2.11	22.00	148.70	101.20
2.12	22.90	148.70	101.10
2.13	21.80	148.70	101.20
2.14	22.90	148.70	101.90
2.15	22.20	148.70	101.30
2.16	21.80	148.80	101.60
2.17	22.30	148.80	102.00
2.18	22.60	148.80	101.70
2.19	21.90	148.80	100.70
2.20	22.20	148.80	100.40
2.21	21.50	148.90	100.50
2.22	22.20	148.90	101.50
2.23	21.20	148.90	101.40
2.24	21.80	148.90	101.30
2.25	21.40	148.90	100.50
2.26	21.80	148.90	102.00
2.27	21.20	149.00	101.00
2.28	21.70	149.00	100.50
2.29	21.80	149.00	101.20
2.30	21.30	149.00	101.60
2.31	21.60	149.00	100.70
2.32	21.60	149.00	102.00
2.33	21.00	149.10	100.60
2.34	21.00	149.10	101.20
2.35	21.30	149.10	101.90
2.36	21.40	149.10	101.00
2.37	20.80	149.10	100.70
2.38	20.90	149.10	102.50
2.39	20.50	149.10	102.20
2.40	20.70	149.20	100.90
2.41	20.80	149.20	102.00
2.42	20.80	149.20	102.10
2.43	20.10	149.20	102.20
2.44	20.80	149.20	102.30
2.45	20.30	149.20	101.00
2.46	19.80	149.20	102.20
2.47	20.00	149.20	101.80
2.48	19.90	149.30	101.30
2.49	20.10	149.30	101.20
2.50	20.80	149.30	101.30
2.51	20.00	149.30	102.50
2.52	19.90	149.30	102.80
2.53	19.80	149.30	101.70
2.54	20.00	149.30	101.10
2.55	19.80	149.30	102.80
2.56	19.30	149.40	101.70
2.57	20.10	149.40	103.00
2.58	19.50	149.40	103.00
2.59	19.80	149.40	102.00
2.60	19.90	149.40	101.20
2.61	20.00	149.40	101.80
2.62	19.40	149.40	102.50
2.63	19.40	149.40	102.90
2.64	19.40	149.40	102.90
2.65	19.00	149.40	102.30
2.66	19.40	149.40	103.00
2.67	19.40	149.50	101.60
2.68	19.30	149.50	103.20
2.69	18.80	149.50	101.80
2.70	19.10	149.50	102.70
2.71	19.10	149.50	102.70
2.72	19.10	149.50	102.40
2.73	19.10	149.50	102.10
2.74	19.10	149.50	102.00
2.75	18.70	149.50	103.30
2.76	19.00	149.50	101.90
2.77	18.30	149.50	103.00
2.78	18.40	149.50	103.30
2.79	18.90	149.60	102.20
2.80	18.20	149.60	103.90
2.81	18.50	149.60	102.40
2.82	18.50	149.60	103.60
2.83	17.90	149.60	102.80
2.84	19.00	149.60	102.80
2.85	17.90	149.60	103.70
2.86	17.70	149.60	102.70
2.87	17.90	149.60	102.90
2.88	17.70	149.60	103.90
2.89	17.50	149.60	104.30
2.90	17.80	149.60	103.00
2.91	17.80	149.60	103.70
2.92	18.00	149.60	103.20
2.93	18.30	149.60	104.30
2.94	18.50	149.60	104.40
2.95	18.30	149.70	103.90
2.96	17.80	149.70	103.90
2.97	18.00	149.70	103.80
2.98	17.70	149.70	104.40
2.99	18.20	149.70	105.30
3.00	18.00	149.70	104.40
3.01	17.30	149.70	105.70
3.02	17.40	149.70	104.40
3.03	17.90	149.70	104.40
3.04	17.00	149.70	105.30
3.05	17.30	149.70	105.40
3.06	16.80	149.70	105.40
3.07	16.80	149.70	106.00
3.08	17.50	149.70	105.60
3.09	17.20	149.70	105.30
3.10	17.00	149.70	105.20
3.11	16.60	149.70	105.90
3.12	17.10	149.70	107.00
3.13	17.20	149.70	105.50
3.14	17.00	149.70	106.50
3.15	17.10	149.70	106.40
3.16	16.80	149.80	107.00
3.17	16.80	149.80	107.50
3.18	16.30	149.80	107.80
3.19	16.70	149.80	108.00
3.20	16.40	149.80	108.20
3.21	16.90	149.80	108.60
3.22	16.80	149.80	108.10
3.23	16.80	149.80	107.80
3.24	16.70	149.80	108.00
3.25	16.20	149.80	108.20
3.26	16.40	149.80	108.60
3.27	16.70	149.80	108.00
3.28	16.00	149.80	109.00
3.29	16.00	149.80	109.50
3.30	16.10	149.80	110.40
3.31	16.50	149.80	110.10
3.32	16.40	149.80	110.20
3.33	16.10	149.80	110.60
3.34	15.70	149.80	110.50
3.35	15.40	149.80	109.90
3.36	15.50	149.80	111.40
3.37	15.80	149.80	112.00
3.38	16.10	149.80	111.40
3.39	15.80	149.80	111.40
3.40	16.00	149.80	110.90
3.41	16.30	149.80	111.80
3.42	15.10	149.80	112.20
3.43	15.20	149.80	112.90
3.44	16.10	149.80	113.30
3.45	15.80	149.80	113.80
3.46	15.30	149.80	113.30
3.47	15.10	149.80	113.10
3.48	15.50	149.90	113.10
3.49	15.70	149.90	115.00
3.50	15.40	149.90	114.70
3.51	15.60	149.90	113.90
3.52	15.30	149.90	114.50
3.53	15.00	149.90	115.50
3.54	14.70	149.90	116.10
3.55	15.20	149.90	115.40
3.56	15.60	149.90	116.70
3.57	14.60	149.90	116.20
3.58	15.50	149.90	116.50
3.59	15.00	149.90	118.10
3.60	15.30	149.90	118.60
3.61	15.00	149.90	118.40
3.62	15.20	149.90	118.30
3.63	15.30	149.90	119.20
3.64	14.50	149.90	119.80
3.65	14.80	149.90	118.80
3.66	15.10	149.90	120.10
3.67	14.10	149.90	120.10
3.68	14.70	149.90	120.70
3.69	15.10	149.90	120.70
3.70	15.00	149.90	122.30
3.71	14.80	149.90	121.90
3.72	14.30	149.90	122.90
3.73	14.20	149.90	122.20
3.74	14.70	149.90	123.80
3.75	14.10	149.90	123.80
3.76	14.40	149.90	123.30
3.77	14.80	149.90	125.00
3.78	14.30	149.90	125.20
3.79	14.50	149.90	125.70
3.80	14.10	149.90	125.10
3.81	13.50	149.90	127.30
3.82	14.30	149.90	127.80
3.83	14.20	149.90	127.20
3.84	14.20	149.90	127.30
3.85	14.00	149.90	127.70
3.86	14.00	149.90	127.80
3.87	13.90	149.90	130.10
3.88	13.50	149.90	129.00
3.89	13.60	149.90	130.70
3.90	13.60	149.90	130.50
3.91	13.30	149.90	131.70
3.92	13.40	149.90	132.70
3.93	13.30	149.90	133.10
3.94	13.20	149.90	132.20
3.95	13.90	149.90	133.80
3.96	13.40	149.90	134.50
3.97	14.00	149.90	134.00
3.98	13.30	149.90	134.40
3.99	13.90	149.90	135.40
4.00	13.40	149.90	135.30
4.01	13.20	149.90	136.50
4.02	13.00	149.90	138.40
4.03	12.80	149.90	138.40
4.04	13.50	149.90	139.10
4.05	13.50	149.90	138.20
4.06	13.40	149.90	140.10
4.07	13.00	149.90	139.80
4.08	13.60	149.90	140.30
4.09	12.70	149.90	141.60
4.10	12.70	149.90	141.80
4.11	12.60	149.90	142.70
4.12	13.50	149.90	142.60
4.13	13.10	149.90	143.10
4.14	13.20	149.90	143.80
4.15	13.30	149.90	144.70
4.16	12.40	150.00	145.70
4.17	12.50	150.00	146.20
4.18	12.50	150.00	146.30
4.19	13.20	150.00	148.50
4.20	12.30	150.00	149.20
4.21	13.00	150.00	149.60
4.22	12.10	150.00	149.50
4.23	12.60	150.00	150.80
4.24	11.90	150.00	150.20
4.25	12.20	150.00	152.40
4.26	12.00	150.00	151.40
4.27	12.10	150.00	153.00
4.28	11.80	150.00	154.10
4.29	12.00	150.00	154.50
4.30	11.80	150.00	155.60
4.31	11.80	150.00	154.90
4.32	11.90	150.00	156.40
4.33	11.70	150.00	157.90
4.34	11.80	150.00	158.40
4.35	12.10	150.00	158.30
4.36	12.60	150.00	158.40
4.37	11.90	150.00	159.30
4.38	11.90	150.00	160.50
4.39	11.70	150.00	160.00
4.40	12.50	150.00	161.10
4.41	11.70	150.00	161.90
4.42	12.20	150.00	162.80
4.43	12.30	150.00	162.80
4.44	11.90	150.00	164.80
4.45	11.80	150.00	165.80
4.46	11.30	150.00	165.50
4.47	12.30	150.00	167.40
4.48	11.70	150.00	168.00
4.49	11.90	150.00	167.00
4.50	12.20	150.00	168.10
4.51	11.10	150.00	169.30
4.52	12.00	150.00	169.20
4.53	11.90	150.00	170.70
4.54	11.60	150.00	170.90
4.55	11.00	150.00	171.70
4.56	11.50	150.00	172.60
4.57	11.80	150.00	172.70
4.58	10.80	150.00	173.40
4.59	11.60	150.00	174.90
4.60	11.50	150.00	175.70
4.61	11.60	150.00	175.20
4.62	11.90	150.00	175.30
4.63	11.10	150.00	177.60
4.64	11.50	150.00	178.30
4.65	11.50	150.00	177.60
4.66	11.30	150.00	178.00
4.67	11.00	150.00	179.60
4.68	11.30	150.00	179.40
4.69	11.20	150.00	181.50
4.70	10.70	150.00	181.30
4.71	11.30	150.00	182.10
4.72	10.50	150.00	181.40
4.73	10.80	150.00	183.20
4.74	10.80	150.00	182.90
4.75	10.50	150.00	184.40
4.76	10.60	150.00	183.80
4.77	11.40	150.00	184.30
4.78	11.10	150.00	185.90
4.79	10.40	150.00	186.00
4.80	11.20	150.00	186.20
4.81	10.70	150.00	187.00
4.82	10.50	150.00	187.80
4.83	10.20	150.00	188.30
4.84	11.10	150.00	189.70
4.85	11.10	150.00	189.80
4.86	10.70	150.00	190.50
4.87	10.00	150.00	189.60
4.88	10.10	150.00	191.20
4.89	10.00	150.00	191.70
4.90	10.10	150.00	192.40
4.91	10.20	150.00	191.30
4.92	10.60	150.00	191.50
4.93	9.90	150.00	192.60
4.94	10.50	150.00	192.90
4.95	9.80	150.00	194.20
4.96	10.00	150.00	194.10
4.97	9.80	150.00	193.60
4.98	10.70	150.00	194.20
4.99	10.10	150.00	195.70
5.00	10.10	150.00	195.80
5.01	9.60	150.00	196.60
5.02	10.70	150.00	196.70
5.03	9.80	150.00	196.00
5.04	9.60	150.00	196.90
5.05	10.10	150.00	196.40
5.06	10.50	150.00	198.00
5.07	10.50	150.00	198.50
5.08	9.60	150.00	197.30
5.09	10.30	150.00	198.30
5.10	10.50	150.00	197.70
5.11	10.40	150.00	199.20
5.12	10.30	150.00	199.50
5.13	9.70	150.00	199.40
5.14	9.40	150.00	198.40
5.15	10.30	150.00	200.10
5.16	9.50	150.00	200.40
5.17	10.00	150.00	200.90
5.18	9.30	150.00	201.10
5.19	9.50	150.00	201.20
5.20	9.80	150.00	200.00
5.21	9.80	150.00	199.50
5.22	10.00	150.00	200.50
5.23	9.90	150.00	200.90
5.24	9.00	150.00	201.50
5.25	9.10	150.00	201.10
5.26	9.00	150.00	201.30
5.27	9.00	150.00	200.70
5.28	9.20	150.00	201.30
5.29	9.50	150.00	201.50
5.30	9.40	150.00	201.20
5.31	9.00	150.00	201.70
5.32	9.90	150.00	201.70
5.33	9.80	150.00	200.30
5.34	9.70	150.00	200.40
5.35	9.70	150.00	201.30
5.36	9.50	150.00	200.50
5.37	9.80	150.00	201.10
5.38	9.60	150.00	201.00
5.39	9.10	150.00	201.00
5.40	9.70	150.00	199.50
5.41	8.80	150.00	199.60
5.42	9.30	150.00	199.50
5.43	8.50	150.00	200.60
5.44	8.80	150.00	199.60
5.45	9.40	150.00	200.60
5.46	8.40	150.00	200.00
5.47	9.10	150.00	198.50
5.48	9.10	150.00	198.80
5.49	8.60	150.00	199.30
5.50	8.70	150.00	197.80
5.51	9.30	150.00	197.30
5.52	8.60	150.00	198.80
5.53	9.20	150.00	198.50
5.54	8.90	150.00	198.40
5.55	9.00	150.00	197.90
5.56	8.20	150.00	197.00
5.57	8.30	150.00	196.30
5.58	8.30	150.00	195.90
5.59	8.70	150.00	195.40
5.60	9.10	150.00	195.80
5.61	8.10	150.00	195.70
5.62	8.10	150.00	195.10
5.63	9.00	150.00	194.40
5.64	8.40	150.00	194.50
5.65	9.00	150.00	194.40
5.66	8.70	150.00	193.50
5.67	8.00	150.00	192.20
5.68	8.50	150.00	192.50
5.69	8.20	150.00	191.20
5.70	8.30	150.00	190.70
5.71	8.50	150.00	190.40
5.72	7.80	150.00	191.00
5.73	8.20	150.00	190.20
5.74	8.50	150.00	189.50
5.75	8.60	150.00	188.40
5.76	8.90	150.00	188.40
5.77	7.70	150.00	188.80
5.78	8.10	150.00	187.90
5.79	8.80	150.00	187.00
5.80	7.90	150.00	186.80
5.81	8.00	150.00	186.60
5.82	8.40	150.00	185.60
5.83	7.70	150.00	185.40
5.84	7.70	150.00	184.30
5.85	8.20	150.00	184.80
5.86	8.70	150.00	183.30
5.87	8.50	150.00	183.80
5.88	7.60	150.00	181.60
5.89	8.50	150.00	182.40
5.90	7.70	150.00	181.10
5.91	7.50	150.00	181.30
5.92	7.40	150.00	179.00
5.93	8.30	150.00	179.30
5.94	7.80	150.00	177.70
5.95	7.90	150.00	179.00
5.96	8.00	150.00	178.20
5.97	8.00	150.00	177.80
5.98	7.40	150.00	175.40
5.99	8.30	150.00	176.00
6.00	8.40	150.00	175.50
6.01	7.90	150.00	173.30
6.02	7.90	150.00	172.90
6.03	7.60	150.00	172.50
6.04	7.40	150.00	171.60
6.05	7.50	150.00	171.60
6.06	7.80	150.00	171.30
6.07	7.40	150.00	170.20
6.08	8.00	150.00	170.60
6.09	7.80	150.00	169.30
6.10	7.30	150.00	168.60
6.11	7.20	150.00	168.10
6.12	7.30	150.00	167.20
6.13	7.20	150.00	165.80
6.14	7.80	150.00	164.80
6.15	7.70	150.00	165.30
6.16	7.40	150.00	163.80
6.17	7.70	150.00	164.10
6.18	7.20	150.00	163.00
6.19	6.90	150.00	162.90
6.20	7.80	150.00	162.00
6.21	7.90	150.00	160.30
6.22	7.20	150.00	159.60
6.23	7.40	150.00	159.20
6.24	7.30	150.00	158.80
6.25	7.40	150.00	158.10
6.26	6.80	150.00	156.80
6.27	6.80	150.00	157.70
6.28	6.90	150.00	155.70
6.29	7.50	150.00	156.30
6.30	6.70	150.00	154.40
6.31	7.50	150.00	154.20
6.32	6.60	150.00	152.90
6.33	7.10	150.00	153.80
6.34	7.30	150.00	152.00
6.35	7.10	150.00	151.70
6.36	7.00	150.00	150.10
6.37	6.60	150.00	149.40
6.38	7.10	150.00	149.30
6.39	7.60	150.00	148.50
6.40	6.60	150.00	148.00
6.41	7.20	150.00	147.60
6.42	6.50	150.00	147.50
6.43	6.90	150.00	147.20
6.44	7.10	150.00	145.70
6.45	6.60	150.00	145.00
6.46	6.60	150.00	144.80
6.47	6.90	150.00	143.40
6.48	6.50	150.00	143.20
6.49	7.20	150.00	142.50
6.50	7.00	150.00	141.20
6.51	6.80	150.00	140.70
6.52	7.20	150.00	140.50
6.53	6.80	150.00	141.10
6.54	6.20	150.00	139.10
6.55	6.30	150.00	139.70
6.56	6.80	150.00	138.10
6.57	7.10	150.00	138.70
6.58	6.20	150.00	136.90
6.59	6.10	150.00	136.20
6.60	6.90	150.00	136.50
6.61	7.20	150.00	135.50
6.62	6.50	150.00	134.40
6.63	7.00	150.00	134.20
6.64	6.10	150.00	133.20
6.65	6.00	150.00	133.30
6.66	6.00	150.00	132.40
6.67	6.00	150.00	132.80
6.68	6.30	150.00	131.90
6.69	6.80	150.00	131.60
6.70	7.10	150.00	130.90
6.71	6.80	150.00	129.80
6.72	6.00	150.00	130.70
6.73	6.00	150.00	129.30
6.74	6.20	150.00	127.90
6.75	5.90	150.00	127.40
6.76	6.60	150.00	128.30
6.77	6.80	150.00	126.70
6.78	6.80	150.00	127.70
6.79	6.50	150.00	126.10
6.80	6.90	150.00	125.70
6.81	5.80	150.00	125.00
6.82	6.20	150.00	125.40
6.83	6.80	150.00	125.00
6.84	6.90	150.00	123.50
6.85	6.60	150.00	123.70
6.86	6.40	150.00	124.00
6.87	5.70	150.00	122.80
6.88	6.00	150.00	122.60
6.89	5.70	150.00	122.20
6.90	6.40	150.00	120.70
6.91	5.90	150.00	121.70
6.92	5.90	150.00	121.70
6.93	6.40	150.00	119.60
6.94	6.00	150.00	120.30
6.95	6.40	150.00	119.70
6.96	6.20	150.00	119.40
6.97	5.90	150.00	119.00
6.98	5.80	150.00	118.70
6.99	6.40	150.00	119.10
7.00	5.70	150.00	116.90
7.01	5.80	150.00	116.80
7.02	6.50	150.00	117.40
7.03	5.90	150.00	116.30
7.04	5.40	150.00	116.60
7.05	6.10	150.00	115.90
7.06	6.00	150.00	115.30
7.07	6.30	150.00	115.30
7.08	5.90	150.00	116.10
7.09	5.50	150.00	113.90
7.10	5.40	150.00	115.20
7.11	5.80	150.00	113.50
7.12	5.40	150.00	114.40
7.13	5.70	150.00	114.30
7.14	6.20	150.00	113.10
7.15	6.30	150.00	112.70
7.16	6.30	150.00	113.40
7.17	5.60	150.00	112.50
7.18	6.10	150.00	112.10
7.19	5.80	150.00	111.30
7.20	6.30	150.00	111.10
7.21	5.10	150.00	111.80
7.22	5.90	150.00	111.40
7.23	5.30	150.00	111.20
7.24	6.10	150.00	110.20
7.25	6.10	150.00	109.70
7.26	5.50	150.00	110.50
7.27	5.90	150.00	110.10
7.28	5.50	150.00	110.20
7.29	5.20	150.00	109.00
7.30	5.30	150.00	110.20
7.31	5.90	150.00	109.60
7.32	5.80	150.00	108.90
7.33	5.00	150.00	109.70
7.34	4.90	150.00	109.30
7.35	6.10	150.00	109.20
7.36	4.90	150.00	107.50
7.37	5.20	150.00	108.40
7.38	5.50	150.00	107.50
7.39	5.10	150.00	106.80
7.40	6.00	150.00	107.30
7.41	5.10	150.00	107.50
7.42	5.30	150.00	107.00
7.43	5.80	150.00	107.50
7.44	5.20	150.00	107.10
7.45	5.70	150.00	105.90
7.46	5.80	150.00	107.00
7.47	4.80	150.00	105.60
7.48	5.30	150.00	105.40
7.49	5.50	150.00	105.70
7.50	5.60	150.00	105.10
7.51	4.80	150.00	106.20
7.52	5.10	150.00	105.20
7.53	4.90	150.00	105.30
7.54	5.40	150.00	105.80
7.55	4.80	150.00	105.60
7.56	4.90	150.00	104.60
7.57	5.20	150.00	104.40
7.58	5.20	150.00	104.30
7.59	5.40	150.00	104.80
7.60	5.70	150.00	105.00
7.61	5.30	150.00	104.00
7.62	5.50	150.00	104.00
7.63	5.40	150.00	104.80
7.64	5.40	150.00	105.30
7.65	4.70	150.00	104.10
7.66	5.10	150.00	104.40
7.67	4.60	150.00	104.10
7.68	4.90	150.00	104.00
7.69	5.00	150.00	104.50
7.70	5.10	150.00	104.70
7.71	5.40	150.00	104.20
7.72	4.60	150.00	103.90
7.73	4.40	150.00	103.30
7.74	5.40	150.00	103.10
7.75	4.70	150.00	102.70
7.76	4.90	150.00	103.50
7.77	4.80	150.00	104.20
7.78	5.00	150.00	103.00
7.79	4.60	150.00	103.10
7.80	5.00	150.00	102.30
7.81	4.50	150.00	102.80
7.82	5.30	150.00	104.00
7.83	4.70	150.00	103.30
7.84	5.40	150.00	102.60
7.85	4.90	150.00	103.00
7.86	4.50	150.00	101.90
7.87	5.40	150.00	101.80
7.88	5.20	150.00	102.80
7.89	5.30	150.00	103.10
7.90	4.90	150.00	102.10
7.91	4.50	150.00	102.80
7.92	5.00	150.00	102.80
7.93	4.60	150.00	102.10
7.94	4.50	150.00	102.90
7.95	4.60	150.00	101.70
7.96	4.80	150.00	102.60
7.97	5.00	150.00	103.20
7.98	5.10	150.00	102.80
7.99	4.40	150.00	102.40
8.00	4.60	150.00	101.40
8.01	5.20	150.00	102.80
8.02	5.20	150.00	101.80
8.03	4.50	150.00	102.80
8.04	4.70	150.00	101.80
8.05	4.10	150.00	101.20
8.06	4.70	150.00	101.90
8.07	4.40	150.00	101.80
8.08	4.00	150.00	101.70
8.09	4.50	150.00	101.50
8.10	4.50	150.00	101.20
8.11	4.40	150.00	100.80
8.12	4.70	150.00	102.50
8.13	4.10	150.00	101.10
8.14	5.00	150.00	101.10
8.15	4.80	150.00	101.30
8.16	3.90	150.00	102.40
8.17	4.30	150.00	101.80
8.18	5.00	150.00	101.80
8.19	4.00	150.00	102.50
8.20	4.50	150.00	101.00
8.21	4.60	150.00	101.20
8.22	4.30	150.00	102.10
8.23	4.30	150.00	102.50
8.24	3.80	150.00	100.90
8.25	4.70	150.00	102.30
8.26	4.10	150.00	100.90
8.27	3.80	150.00	101.10
8.28	4.40	150.00	100.90
8.29	3.80	150.00	101.90
8.30	4.60	150.00	101.10
8.31	4.20	150.00	100.70
8.32	4.30	150.00	101.80
8.33	4.10	150.00	101.30
8.34	3.70	150.00	100.70
8.35	4.60	150.00	101.90
8.36	3.80	150.00	101.90
8.37	4.70	150.00	101.40
8.38	3.70	150.00	101.30
8.39	4.10	150.00	100.80
8.40	3.90	150.00	101.70
8.41	4.40	150.00	102.20
8.42	4.70	150.00	102.10
8.43	4.20	150.00	101.10
8.44	4.00	150.00	100.90
8.45	4.00	150.00	101.10
8.46	4.60	150.00	101.80
8.47	4.70	150.00	102.10
8.48	4.40	150.00	101.60
8.49	3.90	150.00	100.20
8.50	4.10	150.00	100.40
