Version: 	2.1
No. of points:	1000
Sample:		YBCO milled
Measured on:	12/01/2004
Time:		03:20:39 AM
Run Type:	Trial Run 1

Time	Delta Temperature	Magnetic Field	Position
2.28	25.50	99.00	106.20
2.29	25.80	99.00	105.50
2.30	25.60	99.00	106.10
2.31	25.70	99.00	106.50
2.32	25.80	99.00	106.60
2.33	25.10	99.10	107.50
2.34	25.60	99.10	107.80
2.35	25.30	99.10	106.90
2.36	25.60	99.10	107.40
2.37	25.60	99.10	107.20
2.38	25.20	99.10	108.50
2.39	25.40	99.10	107.70
2.40	25.50	99.20	108.20
2.41	24.70	99.20	109.10
2.42	24.90	99.20	108.30
2.43	25.10	99.20	108.90
2.44	24.90	99.20	109.50
2.45	25.00	99.20	109.30
2.46	24.60	99.20	110.80
2.47	24.40	99.20	109.40
2.48	24.50	99.30	111.40
2.49	24.70	99.30	110.80
2.50	25.00	99.30	111.30
2.51	24.40	99.30	111.80
2.52	24.90	99.30	111.90
2.53	24.40	99.30	111.40
2.54	24.70	99.30	113.10
2.55	24.40	99.30	112.10
2.56	24.50	99.40	112.80
2.57	24.10	99.40	113.60
2.58	24.00	99.40	114.70
2.59	24.60	99.40	114.40
2.60	23.90	99.40	114.90
2.61	24.50	99.40	114.90
2.62	24.00	99.40	114.80
2.63	24.30	99.40	116.40
2.64	23.70	99.40	115.30
2.65	23.70	99.40	116.60
2.66	24.20	99.40	117.30
2.67	24.10	99.50	118.00
2.68	23.90	99.50	117.70
2.69	23.50	99.50	119.10
2.70	23.90	99.50	118.00
2.71	23.60	99.50	119.30
2.72	23.80	99.50	119.40
2.73	23.80	99.50	120.10
2.74	23.80	99.50	121.60
2.75	23.20	99.50	120.90
2.76	23.30	99.50	121.90
2.77	23.20	99.50	122.50
2.78	23.40	99.50	123.10
2.79	23.50	99.60	124.30
2.80	23.20	99.60	123.10
2.81	23.50	99.60	125.00
2.82	23.00	99.60	125.50
2.83	23.20	99.60	126.70
2.84	22.70	99.60	126.20
2.85	23.10	99.60	127.80
2.86	22.90	99.60	127.60
2.87	22.70	99.60	129.10
2.88	23.10	99.60	127.90
2.89	22.60	99.60	129.40
2.90	23.00	99.60	130.80
2.91	23.10	99.60	130.40
2.92	22.60	99.60	132.10
2.93	22.90	99.60	131.90
2.94	22.30	99.60	132.20
2.95	22.50	99.70	132.80
2.96	22.40	99.70	134.70
2.97	22.80	99.70	135.70
2.98	22.60	99.70	135.40
2.99	22.00	99.70	136.30
3.00	22.50	99.70	137.00
3.01	22.60	99.70	137.70
3.02	21.90	99.70	137.90
3.03	22.00	99.70	138.80
3.04	21.90	99.70	140.00
3.05	21.80	99.70	139.90
3.06	22.30	99.70	142.50
3.07	22.30	99.70	142.00
3.08	22.00	99.70	144.10
3.09	21.70	99.70	144.80
3.10	21.70	99.70	144.60
3.11	21.50	99.70	146.20
3.12	22.00	99.70	147.00
3.13	22.10	99.70	147.70
3.14	22.00	99.70	148.70
3.15	21.50	99.70	148.50
3.16	21.80	99.80	150.10
3.17	21.70	99.80	150.70
3.18	21.60	99.80	151.00
3.19	21.70	99.80	152.30
3.20	21.40	99.80	153.60
3.21	21.70	99.80	154.50
3.22	21.00	99.80	154.20
3.23	21.20	99.80	156.10
3.24	21.60	99.80	157.10
3.25	21.40	99.80	157.90
3.26	21.20	99.80	157.70
3.27	21.10	99.80	159.10
3.28	21.00	99.80	159.10
3.29	21.20	99.80	161.70
3.30	20.90	99.80	161.10
3.31	20.70	99.80	163.30
3.32	20.90	99.80	162.70
3.33	21.00	99.80	163.80
3.34	21.10	99.80	166.00
3.35	20.80	99.80	166.30
3.36	20.50	99.80	167.00
3.37	20.50	99.80	167.90
3.38	20.40	99.80	168.30
3.39	20.60	99.80	168.70
3.40	20.90	99.80	170.40
3.41	20.50	99.80	171.50
3.42	20.50	99.80	171.60
3.43	20.60	99.80	172.10
3.44	20.20	99.80	173.90
3.45	20.10	99.80	174.60
3.46	20.30	99.80	174.40
3.47	20.70	99.80	176.00
3.48	20.20	99.90	176.10
3.49	20.60	99.90	176.90
3.50	20.40	99.90	178.60
3.51	19.90	99.90	178.80
3.52	20.30	99.90	179.90
3.53	20.30	99.90	180.00
3.54	20.40	99.90	181.50
3.55	19.80	99.90	182.10
3.56	19.90	99.90	183.40
3.57	20.30	99.90	184.10
3.58	20.20	99.90	183.80
3.59	19.90	99.90	186.10
3.60	20.30	99.90	186.30
3.61	19.60	99.90	186.10
3.62	19.50	99.90	188.30
3.63	19.70	99.90	187.00
3.64	19.40	99.90	187.80
3.65	19.80	99.90	188.50
3.66	19.70	99.90	189.70
3.67	19.80	99.90	189.60
3.68	19.90	99.90	191.20
3.69	19.90	99.90	192.20
3.70	19.20	99.90	192.70
3.71	19.80	99.90	193.50
3.72	19.30	99.90	192.60
3.73	19.60	99.90	194.60
3.74	19.60	99.90	194.10
3.75	19.00	99.90	194.60
3.76	19.50	99.90	194.80
3.77	19.30	99.90	195.90
3.78	18.80	99.90	195.80
3.79	19.40	99.90	195.70
3.80	18.80	99.90	197.00
3.81	19.10	99.90	197.50
3.82	18.90	99.90	198.70
3.83	18.70	99.90	197.20
3.84	18.80	99.90	198.70
3.85	18.90	99.90	197.90
3.86	18.60	99.90	198.40
3.87	19.10	99.90	199.30
3.88	19.00	99.90	200.20
3.89	18.80	99.90	200.40
3.90	19.10	99.90	200.60
3.91	18.70	99.90	200.90
3.92	19.10	99.90	200.60
3.93	19.00	99.90	200.60
3.94	18.50	99.90	201.30
3.95	18.70	99.90	200.60
3.96	18.60	99.90	200.90
3.97	18.80	99.90	200.30
3.98	18.50	99.90	200.90
3.99	18.50	99.90	201.60
4.00	18.30	99.90	200.50
4.01	18.30	99.90	200.70
4.02	18.20	99.90	201.50
4.03	18.10	99.90	201.50
4.04	18.60	99.90	200.50
4.05	18.30	99.90	201.60
4.06	18.30	99.90	201.30
4.07	18.30	99.90	200.80
4.08	18.20	99.90	200.80
4.09	18.40	99.90	200.40
4.10	18.10	99.90	199.00
4.11	18.00	99.90	200.00
4.12	18.00	99.90	199.80
4.13	17.80	99.90	198.60
4.14	18.10	99.90	198.40
4.15	17.60	99.90	198.70
4.16	17.70	100.00	198.70
4.17	17.80	100.00	198.70
4.18	17.80	100.00	197.10
4.19	18.10	100.00	197.30
4.20	17.30	100.00	197.30
4.21	17.60	100.00	196.60
4.22	17.40	100.00	196.30
4.23	17.50	100.00	196.10
4.24	17.40	100.00	194.60
4.25	17.80	100.00	194.90
4.26	17.50	100.00	194.60
4.27	17.70	100.00	193.10
4.28	17.70	100.00	193.10
4.29	17.00	100.00	192.40
4.30	17.60	100.00	191.50
4.31	17.00	100.00	192.60
4.32	17.50	100.00	190.50
4.33	17.10	100.00	191.20
4.34	17.30	100.00	189.70
4.35	16.90	100.00	188.30
4.36	17.30	100.00	189.30
4.37	17.30	100.00	187.10
4.38	17.10	100.00	187.80
4.39	17.20	100.00	186.80
4.40	16.70	100.00	186.20
4.41	16.70	100.00	184.60
4.42	17.30	100.00	183.90
4.43	16.80	100.00	183.30
4.44	16.50	100.00	182.50
4.45	16.80	100.00	183.00
4.46	17.00	100.00	181.60
4.47	16.70	100.00	180.20
4.48	16.80	100.00	180.80
4.49	16.80	100.00	179.50
4.50	16.60	100.00	179.00
4.51	16.80	100.00	177.30
4.52	16.80	100.00	177.60
4.53	16.80	100.00	175.40
4.54	16.70	100.00	175.60
4.55	16.40	100.00	174.20
4.56	16.30	100.00	173.30
4.57	16.40	100.00	172.60
4.58	16.60	100.00	171.20
4.59	16.10	100.00	171.80
4.60	16.10	100.00	169.90
4.61	16.50	100.00	168.50
4.62	16.40	100.00	167.80
4.63	16.10	100.00	167.20
4.64	15.90	100.00	167.00
4.65	16.40	100.00	165.50
4.66	16.40	100.00	166.10
4.67	15.70	100.00	164.60
4.68	15.70	100.00	163.00
4.69	16.00	100.00	163.30
4.70	16.10	100.00	162.10
4.71	15.60	100.00	159.90
4.72	16.10	100.00	160.30
4.73	15.60	100.00	159.80
4.74	16.10	100.00	159.10
4.75	15.70	100.00	156.60
4.76	15.70	100.00	157.30
4.77	16.00	100.00	156.20
4.78	16.10	100.00	153.90
4.79	15.50	100.00	154.60
4.80	15.30	100.00	153.10
4.81	15.70	100.00	152.20
4.82	15.90	100.00	152.00
4.83	15.80	100.00	151.30
4.84	15.60	100.00	150.20
4.85	15.40	100.00	148.60
4.86	15.30	100.00	147.90
4.87	15.20	100.00	148.00
4.88	15.50	100.00	145.70
4.89	15.30	100.00	145.00
4.90	15.20	100.00	145.30
4.91	15.20	100.00	143.20
4.92	15.20	100.00	142.20
4.93	15.10	100.00	142.10
4.94	15.10	100.00	141.60
4.95	15.30	100.00	140.10
4.96	15.10	100.00	139.50
4.97	15.60	100.00	139.60
4.98	14.90	100.00	138.50
4.99	15.00	100.00	137.40
5.00	14.80	100.00	136.10
5.01	15.30	100.00	135.50
5.02	14.70	100.00	135.40
5.03	14.90	100.00	134.10
5.04	15.40	100.00	134.60
5.05	15.20	100.00	133.40
5.06	14.70	100.00	132.40
5.07	14.90	100.00	132.80
5.08	14.60	100.00	130.50
5.09	14.90	100.00	130.30
5.10	15.00	100.00	129.40
5.11	15.10	100.00	128.80
5.12	15.10	100.00	129.60
5.13	15.00	100.00	127.80
5.14	14.90	100.00	126.80
5.15	14.90	100.00	126.30
5.16	14.40	100.00	126.40
5.17	14.90	100.00	125.20
5.18	14.90	100.00	125.20
5.19	14.80	100.00	125.20
5.20	14.20	100.00	123.80
5.21	14.40	100.00	123.70
5.22	14.80	100.00	123.50
5.23	14.50	100.00	122.20
5.24	14.60	100.00	122.30
5.25	14.40	100.00	122.00
5.26	14.50	100.00	120.00
5.27	14.20	100.00	121.10
5.28	14.50	100.00	120.30
5.29	14.70	100.00	118.60
5.30	13.90	100.00	119.00
5.31	14.00	100.00	119.30
5.32	14.20	100.00	117.60
5.33	14.30	100.00	117.50
5.34	14.20	100.00	117.00
5.35	14.10	100.00	117.20
5.36	14.10	100.00	116.80
5.37	14.10	100.00	115.60
5.38	13.90	100.00	115.80
5.39	13.80	100.00	115.00
5.40	13.70	100.00	113.60
5.41	13.90	100.00	114.30
5.42	14.00	100.00	113.20
5.43	14.00	100.00	113.00
5.44	13.50	100.00	113.90
5.45	14.10	100.00	112.30
5.46	14.00	100.00	112.20
5.47	13.40	100.00	112.30
5.48	14.10	100.00	110.80
5.49	13.80	100.00	112.10
5.50	13.40	100.00	110.50
5.51	13.40	100.00	110.00
5.52	13.50	100.00	110.30
5.53	13.70	100.00	110.60
5.54	13.80	100.00	109.00
5.55	13.40	100.00	110.00
5.56	13.30	100.00	109.10
5.57	13.20	100.00	108.80
5.58	13.20	100.00	109.30
5.59	13.60	100.00	107.60
5.60	13.10	100.00	108.80
5.61	13.50	100.00	108.00
5.62	13.70	100.00	108.20
5.63	13.70	100.00	106.80
5.64	13.10	100.00	108.20
5.65	13.00	100.00	106.70
5.66	13.20	100.00	107.00
5.67	13.00	100.00	106.30
5.68	13.50	100.00	106.30
5.69	13.10	100.00	107.00
5.70	12.80	100.00	105.70
5.71	13.10	100.00	106.30
5.72	13.10	100.00	105.10
5.73	13.20	100.00	105.10
5.74	12.80	100.00	106.20
5.75	13.30	100.00	105.00
5.76	13.40	100.00	105.00
5.77	12.60	100.00	104.20
5.78	13.30	100.00	105.00
5.79	13.10	100.00	104.50
5.80	13.20	100.00	103.70
5.81	13.00	100.00	103.90
5.82	12.70	100.00	104.10
5.83	12.70	100.00	103.30
5.84	12.70	100.00	103.40
5.85	13.10	100.00	104.90
5.86	12.70	100.00	103.30
5.87	12.50	100.00	103.30
5.88	12.60	100.00	104.50
5.89	12.70	100.00	102.90
5.90	12.60	100.00	103.90
5.91	12.50	100.00	103.50
5.92	12.60	100.00	102.90
5.93	12.30	100.00	103.50
5.94	12.70	100.00	104.10
5.95	12.60	100.00	102.60
5.96	12.80	100.00	103.00
5.97	12.90	100.00	102.10
5.98	12.40	100.00	103.10
5.99	12.80	100.00	103.30
6.00	12.60	100.00	103.30
6.01	12.50	100.00	103.60
6.02	12.40	100.00	101.90
6.03	12.60	100.00	103.10
6.04	12.30	100.00	102.40
6.05	12.20	100.00	101.70
6.06	12.40	100.00	103.20
6.07	12.50	100.00	102.00
6.08	11.90	100.00	102.10
6.09	12.50	100.00	102.40
6.10	12.20	100.00	102.90
6.11	12.30	100.00	102.10
6.12	12.10	100.00	102.50
6.13	12.50	100.00	102.30
6.14	12.10	100.00	102.70
6.15	12.20	100.00	102.20
6.16	12.20	100.00	102.30
6.17	12.30	100.00	102.40
6.18	12.20	100.00	102.10
6.19	12.00	100.00	101.60
6.20	11.60	100.00	101.20
6.21	11.90	100.00	100.70
6.22	11.90	100.00	101.10
6.23	11.70	100.00	101.00
6.24	11.70	100.00	101.80
6.25	11.60	100.00	101.10
6.26	11.90	100.00	102.40
6.27	11.80	100.00	101.90
6.28	12.10	100.00	101.20
6.29	11.50	100.00	102.00
6.30	11.70	100.00	100.50
6.31	11.90	100.00	102.00
6.32	11.50	100.00	100.50
6.33	12.00	100.00	101.20
6.34	12.00	100.00	101.00
6.35	11.50	100.00	101.90
6.36	11.90	100.00	101.20
6.37	11.30	100.00	102.20
6.38	11.60	100.00	102.20
6.39	11.70	100.00	100.90
6.40	11.80	100.00	101.00
6.41	11.50	100.00	101.00
6.42	11.50	100.00	101.10
6.43	11.20	100.00	100.30
6.44	11.10	100.00	101.80
6.45	11.70	100.00	100.60
6.46	11.50	100.00	100.90
6.47	11.60	100.00	100.40
6.48	11.20	100.00	101.50
6.49	11.40	100.00	101.40
6.50	11.30	100.00	101.20
6.51	11.60	100.00	101.00
6.52	11.10	100.00	100.20
6.53	11.40	100.00	101.50
6.54	11.50	100.00	100.70
6.55	10.90	100.00	100.60
6.56	11.00	100.00	100.10
6.57	10.80	100.00	100.60
6.58	11.20	100.00	100.60
6.59	11.10	100.00	100.40
6.60	11.00	100.00	100.50
6.61	11.40	100.00	101.10
6.62	11.20	100.00	100.60
6.63	11.30	100.00	101.60
6.64	11.30	100.00	101.30
6.65	11.30	100.00	102.00
6.66	10.60	100.00	100.10
6.67	10.90	100.00	101.50
6.68	10.70	100.00	100.20
6.69	10.60	100.00	100.60
6.70	11.10	100.00	100.40
6.71	11.10	100.00	100.30
6.72	10.50	100.00	100.20
6.73	10.60	100.00	101.30
6.74	10.80	100.00	101.10
6.75	10.80	100.00	100.30
6.76	10.90	100.00	100.90
6.77	11.00	100.00	101.30
6.78	10.70	100.00	100.70
6.79	10.90	100.00	100.30
6.80	10.40	100.00	100.50
6.81	10.40	100.00	101.50
6.82	10.60	100.00	100.80
6.83	10.80	100.00	100.70
6.84	10.90	100.00	100.30
6.85	10.70	100.00	100.20
6.86	10.70	100.00	100.50
6.87	10.70	100.00	100.30
6.88	10.60	100.00	100.60
6.89	10.90	100.00	100.70
6.90	10.40	100.00	100.30
6.91	10.30	100.00	101.80
6.92	10.50	100.00	101.30
6.93	10.70	100.00	101.00
6.94	10.20	100.00	101.50
6.95	10.60	100.00	101.90
6.96	10.60	100.00	100.80
6.97	10.10	100.00	100.70
6.98	10.20	100.00	100.60
6.99	10.20	100.00	101.10
7.00	10.40	100.00	101.20
7.01	10.60	100.00	101.50
7.02	10.30	100.00	100.00
7.03	9.80	100.00	100.20
7.04	10.30	100.00	100.60
7.05	10.10	100.00	100.80
7.06	10.00	100.00	100.90
7.07	10.00	100.00	101.90
7.08	10.10	100.00	101.10
7.09	10.00	100.00	101.70
7.10	10.00	100.00	100.00
7.11	10.30	100.00	100.20
7.12	9.90	100.00	102.00
7.13	9.60	100.00	101.10
7.14	10.10	100.00	102.00
7.15	10.00	100.00	101.80
7.16	9.90	100.00	101.40
7.17	10.30	100.00	101.80
7.18	9.80	100.00	100.90
7.19	10.30	100.00	101.70
7.20	10.10	100.00	101.30
7.21	10.20	100.00	100.90
7.22	10.20	100.00	100.10
7.23	10.10	100.00	100.70
7.24	9.50	100.00	100.30
7.25	9.40	100.00	100.60
7.26	9.60	100.00	100.90
7.27	9.70	100.00	100.60
7.28	9.50	100.00	101.80
7.29	9.50	100.00	101.00
7.30	9.80	100.00	101.10
7.31	9.60	100.00	100.30
7.32	9.80	100.00	100.30
7.33	9.80	100.00	100.40
7.34	10.00	100.00	101.30
7.35	9.60	100.00	100.60
7.36	9.20	100.00	100.20
7.37	9.30	100.00	101.90
7.38	9.50	100.00	101.30
7.39	9.70	100.00	100.50
7.40	9.30	100.00	101.50
7.41	9.10	100.00	100.40
7.42	9.10	100.00	100.40
7.43	9.10	100.00	100.60
7.44	9.80	100.00	101.00
7.45	9.70	100.00	101.40
7.46	9.10	100.00	101.90
7.47	9.40	100.00	101.30
7.48	9.30	100.00	101.30
7.49	9.30	100.00	101.20
7.50	9.10	100.00	100.40
7.51	9.20	100.00	100.80
7.52	8.90	100.00	102.00
7.53	9.00	100.00	100.30
7.54	9.00	100.00	100.50
7.55	9.40	100.00	101.50
7.56	9.20	100.00	101.60
7.57	9.20	100.00	101.80
7.58	9.40	100.00	100.80
7.59	9.40	100.00	100.10
7.60	8.90	100.00	100.70
7.61	9.00	100.00	100.20
7.62	9.40	100.00	100.70
7.63	9.30	100.00	100.40
7.64	8.80	100.00	100.80
7.65	9.20	100.00	101.40
7.66	9.00	100.00	100.90
7.67	9.30	100.00	100.50
7.68	9.30	100.00	100.00
7.69	9.00	100.00	100.50
7.70	9.20	100.00	100.70
7.71	8.80	100.00	100.00
7.72	8.80	100.00	101.60
7.73	8.90	100.00	100.80
7.74	9.20	100.00	101.40
7.75	9.20	100.00	100.10
7.76	9.10	100.00	101.10
7.77	8.80	100.00	100.70
7.78	8.50	100.00	100.20
7.79	9.10	100.00	101.10
7.80	9.00	100.00	100.70
7.81	9.10	100.00	100.70
7.82	8.40	100.00	101.60
7.83	9.10	100.00	101.60
7.84	8.60	100.00	100.90
7.85	8.40	100.00	100.60
7.86	9.10	100.00	100.30
7.87	8.60	100.00	101.90
7.88	9.00	100.00	100.30
7.89	8.80	100.00	100.30
7.90	8.40	100.00	100.40
7.91	8.90	100.00	102.00
7.92	8.70	100.00	101.60
7.93	8.40	100.00	100.20
7.94	8.60	100.00	101.60
7.95	8.70	100.00	100.30
7.96	8.60	100.00	100.40
7.97	8.50	100.00	101.50
7.98	8.50	100.00	101.00
7.99	8.30	100.00	100.10
8.00	8.40	100.00	101.10
8.01	8.30	100.00	100.10
8.02	8.50	100.00	101.20
8.03	8.40	100.00	100.60
8.04	8.20	100.00	100.60
8.05	8.50	100.00	100.90
8.06	8.70	100.00	101.70
8.07	8.20	100.00	100.20
8.08	8.10	100.00	100.10
8.09	8.10	100.00	100.00
8.10	8.00	100.00	101.60
8.11	8.20	100.00	101.50
8.12	8.40	100.00	100.50
8.13	7.90	100.00	100.90
8.14	7.90	100.00	100.30
8.15	8.40	100.00	100.50
8.16	8.50	100.00	100.00
8.17	8.50	100.00	101.90
8.18	7.90	100.00	101.80
8.19	7.90	100.00	100.90
8.20	8.30	100.00	100.90
8.21	8.00	100.00	101.80
8.22	8.40	100.00	101.30
8.23	8.40	100.00	101.80
8.24	8.30	100.00	100.90
8.25	8.30	100.00	100.90
8.26	8.20	100.00	100.50
8.27	7.90	100.00	100.60
8.28	8.20	100.00	100.00
8.29	7.70	100.00	100.70
8.30	7.80	100.00	100.80
8.31	8.30	100.00	100.60
8.32	8.20	100.00	100.90
8.33	7.90	100.00	100.20
8.34	7.70	100.00	101.50
8.35	8.00	100.00	100.30
8.36	7.90	100.00	101.20
8.37	7.50	100.00	100.90
8.38	8.20	100.00	101.60
8.39	7.50	100.00	100.30
8.40	7.80	100.00	100.60
8.41	8.00	100.00	101.70
8.42	7.70	100.00	100.30
8.43	8.10	100.00	100.00
8.44	8.20	100.00	101.40
8.45	8.10	100.00	101.10
8.46	7.40	100.00	100.30
8.47	7.40	100.00	101.30
8.48	7.80	100.00	100.60
8.49	7.40	100.00	100.90
8.50	7.90	100.00	101.60
8.51	7.80	100.00	100.60
8.52	7.60	100.00	100.60
8.53	7.70	100.00	100.30
8.54	7.40	100.00	101.70
8.55	7.50	100.00	100.20
8.56	7.40	100.00	100.30
8.57	7.90	100.00	100.90
8.58	7.40	100.00	102.00
8.59	8.00	100.00	101.00
8.60	7.20	100.00	101.00
8.61	7.80	100.00	100.20
8.62	7.60	100.00	102.00
