Time	Test1	Error1	Test2	Error2	Test3	Error3
0.704	5.59E-4	2.795E-5	4.976E-4	2.488E-5	3.306E-4	1.653E-5
0.721	5.147E-4	2.574E-5	5.183E-4	2.592E-5	3.433E-4	1.717E-5
0.738	5.06E-4	2.53E-5	5.431E-4	2.716E-5	3.145E-4	1.573E-5
0.754	5.187E-4	2.594E-5	5.466E-4	2.733E-5	3.176E-4	1.588E-5
0.771	5.18E-4	2.59E-5	5.589E-4	2.794E-5	3.254E-4	1.627E-5
0.788	5.133E-4	2.566E-5	5.619E-4	2.81E-5	3.189E-4	1.594E-5
0.804	5.118E-4	2.559E-5	5.587E-4	2.793E-5	3.187E-4	1.593E-5
0.821	5.171E-4	2.586E-5	5.597E-4	2.798E-5	3.215E-4	1.607E-5
0.838	5.076E-4	2.538E-5	5.61E-4	2.805E-5	3.166E-4	1.583E-5
0.854	5.024E-4	2.512E-5	5.623E-4	2.812E-5	3.063E-4	1.532E-5
0.871	5.029E-4	2.515E-5	5.704E-4	2.852E-5	3.117E-4	1.559E-5
0.888	5.041E-4	2.52E-5	5.64E-4	2.82E-5	3.112E-4	1.556E-5
0.904	5.122E-4	2.561E-5	5.747E-4	2.874E-5	3.034E-4	1.517E-5
0.921	5.127E-4	2.563E-5	5.799E-4	2.899E-5	3.154E-4	1.577E-5
0.938	4.967E-4	2.484E-5	5.78E-4	2.89E-5	3.094E-4	1.547E-5
0.954	4.885E-4	2.443E-5	5.863E-4	2.932E-5	3.028E-4	1.514E-5
0.971	4.762E-4	2.381E-5	5.784E-4	2.892E-5	3.096E-4	1.548E-5
0.988	4.739E-4	2.369E-5	5.88E-4	2.94E-5	3.314E-4	1.657E-5
1.004	4.743E-4	2.372E-5	5.942E-4	2.971E-5	3.306E-4	1.653E-5
1.021	4.671E-4	2.336E-5	5.802E-4	2.901E-5	3.152E-4	1.576E-5
1.038	4.656E-4	2.328E-5	5.87E-4	2.935E-5	3.07E-4	1.535E-5
1.054	4.527E-4	2.263E-5	5.859E-4	2.93E-5	2.999E-4	1.5E-5
1.071	4.493E-4	2.247E-5	5.779E-4	2.89E-5	2.874E-4	1.437E-5
1.088	4.52E-4	2.26E-5	5.805E-4	2.902E-5	2.834E-4	1.417E-5
1.104	4.32E-4	2.16E-5	5.76E-4	2.88E-5	2.843E-4	1.422E-5
1.121	4.263E-4	2.131E-5	5.628E-4	2.814E-5	2.696E-4	1.348E-5
1.138	4.269E-4	2.134E-5	5.57E-4	2.785E-5	2.67E-4	1.335E-5
1.154	4.219E-4	2.11E-5	5.44E-4	2.72E-5	2.682E-4	1.341E-5
1.171	4.11E-4	2.055E-5	5.583E-4	2.791E-5	2.515E-4	1.257E-5
1.188	4.147E-4	2.074E-5	6.914E-4	3.457E-5	2.449E-4	1.225E-5
1.204	5.03E-4	2.515E-5	7.079E-4	3.539E-5	3.083E-4	1.541E-5
1.221	5.477E-4	2.739E-5	5.523E-4	2.762E-5	4.807E-4	2.404E-5
1.238	4.451E-4	2.225E-5	5.044E-4	2.522E-5	6.766E-4	3.383E-5
1.254	4.003E-4	2.002E-5	5.049E-4	2.524E-5	3.907E-4	1.953E-5
1.271	4.024E-4	2.012E-5	5.063E-4	2.532E-5	2.548E-4	1.274E-5
1.288	4.022E-4	2.011E-5	5.055E-4	2.527E-5	2.361E-4	1.181E-5
1.304	4.063E-4	2.032E-5	4.944E-4	2.472E-5	2.263E-4	1.131E-5
1.321	4.068E-4	2.034E-5	5.001E-4	2.501E-5	2.251E-4	1.126E-5
1.338	4.033E-4	2.017E-5	4.943E-4	2.471E-5	2.428E-4	1.214E-5
1.354	4.043E-4	2.022E-5	4.922E-4	2.461E-5	2.623E-4	1.311E-5
1.371	3.977E-4	1.988E-5	4.949E-4	2.475E-5	2.448E-4	1.224E-5
1.388	4.052E-4	2.026E-5	5.02E-4	2.51E-5	2.334E-4	1.167E-5
1.404	3.977E-4	1.989E-5	5.159E-4	2.579E-5	2.36E-4	1.18E-5
1.421	3.835E-4	1.917E-5	5.219E-4	2.61E-5	2.418E-4	1.209E-5
1.438	3.897E-4	1.948E-5	6.74E-4	3.37E-5	2.486E-4	1.243E-5
1.454	3.931E-4	1.965E-5	0.004	1.89E-4	2.375E-4	1.187E-5
1.471	8.191E-4	4.096E-5	0.006	2.765E-4	2.407E-4	1.203E-5
1.48802	0.00312	2.185E-4	0.004	1.955E-4	5.396E-4	2.698E-5
1.504	0.004	1.88E-4	0.005	2.455E-4	0.00285	2.55E-4
1.521	0.004	2.185E-4	0.006	2.875E-4	0.00262	2.465E-4
1.538	0.005	2.515E-4	0.007	3.315E-4	0.004	1.985E-4
1.554	0.00621	2.805E-4	0.007	3.39E-4	0.00359	2.625E-4
1.571	0.006	2.805E-4	0.008	3.965E-4	0.00507	3.055E-4
1.588	0.006	3.125E-4	0.009	4.61E-4	0.00496	3.27E-4
1.604	0.007	3.7E-4	0.011	5.295E-4	0.0057	3.275E-4
1.621	0.00866	3.9E-4	0.004	2.125E-4	0.00644	3.85E-4
1.638	0.00999	8.4E-5	6.568E-4	3.284E-5	0.00702	4.505E-4
1.654	0.00574	2.588E-5	6.091E-4	3.045E-5	0.00761	4.665E-4
1.671	0.0025	2.447E-5	5.983E-4	2.991E-5	0.00847	8.3E-5
1.688	4.708E-4	2.354E-5	5.977E-4	2.989E-5	0.0094	1.561E-5
1.704	4.733E-4	2.366E-5	5.845E-4	2.923E-5	0.00539	1.568E-5
1.721	4.581E-4	2.29E-5	5.6E-4	2.8E-5	0.00191	1.517E-5
1.738	4.388E-4	2.194E-5	5.672E-4	2.836E-5	2.893E-4	1.446E-5
1.754	4.396E-4	2.198E-5	5.766E-4	2.883E-5	2.701E-4	1.351E-5
1.771	4.354E-4	2.177E-5	5.755E-4	2.878E-5	2.623E-4	1.311E-5
1.788	4.254E-4	2.127E-5	5.717E-4	2.859E-5	2.565E-4	1.282E-5
1.804	4.258E-4	2.129E-5	5.666E-4	2.833E-5	2.493E-4	1.246E-5
1.821	4.267E-4	2.133E-5	5.635E-4	2.818E-5	2.54E-4	1.27E-5
1.838	4.278E-4	2.139E-5	5.651E-4	2.826E-5	2.544E-4	1.272E-5
1.854	4.192E-4	2.096E-5	5.718E-4	2.859E-5	2.501E-4	1.25E-5
1.871	4.243E-4	2.121E-5	5.674E-4	2.837E-5	2.386E-4	1.193E-5
1.888	4.282E-4	2.141E-5	5.619E-4	2.81E-5	2.427E-4	1.213E-5
1.904	4.271E-4	2.135E-5	5.545E-4	2.772E-5	2.4E-4	1.2E-5
1.921	4.295E-4	2.148E-5	5.609E-4	2.804E-5	2.409E-4	1.204E-5
1.938	4.277E-4	2.139E-5	5.672E-4	2.836E-5	2.364E-4	1.182E-5
1.954	4.241E-4	2.121E-5	5.708E-4	2.854E-5	2.207E-4	1.104E-5
1.971	4.304E-4	2.152E-5	5.65E-4	2.825E-5	2.173E-4	1.087E-5
1.988	4.537E-4	2.269E-5	5.736E-4	2.868E-5	2.239E-4	1.12E-5
2.004	4.461E-4	2.23E-5	5.685E-4	2.842E-5	2.405E-4	1.202E-5
2.021	4.264E-4	2.132E-5	5.758E-4	2.879E-5	2.514E-4	1.257E-5
2.038	4.263E-4	2.132E-5	5.665E-4	2.833E-5	2.451E-4	1.225E-5
2.054	4.363E-4	2.182E-5	5.745E-4	2.873E-5	2.44E-4	1.22E-5
2.071	4.413E-4	2.207E-5	5.75E-4	2.875E-5	2.469E-4	1.234E-5
2.088	4.443E-4	2.221E-5	5.777E-4	2.889E-5	2.497E-4	1.248E-5
2.104	4.313E-4	2.157E-5	5.724E-4	2.862E-5	2.584E-4	1.292E-5
2.121	4.396E-4	2.198E-5	5.686E-4	2.843E-5	2.554E-4	1.277E-5
2.138	4.292E-4	2.146E-5	5.82E-4	2.91E-5	2.544E-4	1.272E-5
2.154	4.327E-4	2.164E-5	5.77E-4	2.885E-5	2.528E-4	1.264E-5
2.171	4.407E-4	2.204E-5	5.719E-4	2.86E-5	2.515E-4	1.258E-5
2.188	4.305E-4	2.153E-5	5.647E-4	2.824E-5	2.492E-4	1.246E-5
2.204	4.241E-4	2.121E-5	5.744E-4	2.872E-5	2.404E-4	1.202E-5
2.221	4.255E-4	2.127E-5	5.844E-4	2.922E-5	2.46E-4	1.23E-5
2.238	4.338E-4	2.169E-5	5.827E-4	2.914E-5	2.477E-4	1.239E-5
2.254	4.425E-4	2.212E-5	5.66E-4	2.83E-5	2.517E-4	1.258E-5
2.271	4.294E-4	2.147E-5	5.634E-4	2.817E-5	2.459E-4	1.23E-5
2.288	4.205E-4	2.103E-5	5.596E-4	2.798E-5	2.377E-4	1.189E-5
2.304	4.134E-4	2.067E-5	5.559E-4	2.78E-5	2.32E-4	1.16E-5
2.321	4.204E-4	2.102E-5	5.629E-4	2.814E-5	2.406E-4	1.203E-5
2.338	4.338E-4	2.169E-5	5.529E-4	2.764E-5	2.238E-4	1.119E-5
2.354	4.296E-4	2.148E-5	5.597E-4	2.799E-5	2.218E-4	1.109E-5
2.371	4.306E-4	2.153E-5	5.652E-4	2.826E-5	2.213E-4	1.107E-5
2.388	4.39E-4	2.195E-5	5.641E-4	2.82E-5	2.381E-4	1.19E-5
2.404	4.351E-4	2.175E-5	5.785E-4	2.892E-5	2.371E-4	1.185E-5
2.421	4.321E-4	2.16E-5	5.852E-4	2.926E-5	2.324E-4	1.162E-5
2.438	4.333E-4	2.167E-5	5.771E-4	2.886E-5	2.434E-4	1.217E-5
2.454	4.318E-4	2.159E-5	5.775E-4	2.888E-5	2.49E-4	1.245E-5
2.471	4.383E-4	2.191E-5	5.867E-4	2.934E-5	2.519E-4	1.26E-5
2.488	4.352E-4	2.176E-5	5.929E-4	2.965E-5	2.484E-4	1.242E-5
2.504	4.424E-4	2.212E-5	5.87E-4	2.935E-5	2.508E-4	1.254E-5
2.521	4.534E-4	2.267E-5	5.816E-4	2.908E-5	2.38E-4	1.19E-5
2.538	4.543E-4	2.271E-5	5.936E-4	2.968E-5	2.439E-4	1.22E-5
2.554	4.305E-4	2.153E-5	5.906E-4	2.953E-5	2.453E-4	1.226E-5
2.571	4.296E-4	2.148E-5	5.923E-4	2.961E-5	2.414E-4	1.207E-5
2.588	4.203E-4	2.102E-5	5.875E-4	2.938E-5	2.387E-4	1.194E-5
2.604	4.188E-4	2.094E-5	5.991E-4	2.996E-5	2.343E-4	1.172E-5
2.621	4.332E-4	2.166E-5	6.012E-4	3.006E-5	2.335E-4	1.168E-5
2.638	4.308E-4	2.154E-5	5.95E-4	2.975E-5	2.309E-4	1.155E-5
2.654	4.265E-4	2.132E-5	5.975E-4	2.988E-5	2.383E-4	1.192E-5
2.671	4.24E-4	2.12E-5	5.839E-4	2.92E-5	2.391E-4	1.195E-5
2.688	4.276E-4	2.138E-5	5.931E-4	2.965E-5	2.33E-4	1.165E-5
2.704	4.433E-4	2.217E-5	5.905E-4	2.953E-5	2.476E-4	1.238E-5
2.721	4.338E-4	2.169E-5	5.89E-4	2.945E-5	2.359E-4	1.18E-5
2.738	4.381E-4	2.191E-5	6.015E-4	3.007E-5	2.363E-4	1.182E-5
2.754	4.257E-4	2.128E-5	6.128E-4	3.064E-5	2.439E-4	1.219E-5
2.771	4.279E-4	2.139E-5	6.01E-4	3.005E-5	2.563E-4	1.281E-5
2.788	4.145E-4	2.072E-5	6.059E-4	3.029E-5	2.481E-4	1.241E-5
2.804	4.209E-4	2.104E-5	6.194E-4	3.097E-5	2.429E-4	1.214E-5
2.821	4.231E-4	2.115E-5	6.167E-4	3.084E-5	2.352E-4	1.176E-5
2.838	4.261E-4	2.13E-5	5.969E-4	2.985E-5	2.514E-4	1.257E-5
2.854	4.264E-4	2.132E-5	6.05E-4	3.025E-5	2.468E-4	1.234E-5
2.871	4.21E-4	2.105E-5	6.028E-4	3.014E-5	2.421E-4	1.211E-5
2.888	4.319E-4	2.16E-5	6.086E-4	3.043E-5	2.411E-4	1.205E-5
2.904	4.413E-4	2.207E-5	5.975E-4	2.988E-5	2.429E-4	1.215E-5
2.921	4.403E-4	2.201E-5	5.997E-4	2.998E-5	2.264E-4	1.132E-5
2.938	4.356E-4	2.178E-5	6.034E-4	3.017E-5	2.314E-4	1.157E-5
2.954	4.369E-4	2.185E-5	5.968E-4	2.984E-5	2.418E-4	1.209E-5
2.971	4.485E-4	2.242E-5	5.968E-4	2.984E-5	2.413E-4	1.207E-5
2.988	4.302E-4	2.151E-5	5.887E-4	2.944E-5	2.562E-4	1.281E-5
3.004	4.284E-4	2.142E-5	5.943E-4	2.972E-5	2.394E-4	1.197E-5
3.021	4.185E-4	2.093E-5	5.99E-4	2.995E-5	2.365E-4	1.182E-5
