A	B	C	E	D
5.88	10.85	16.73	-98.34	16.73
5.71	10.85	16.56	-94.61	16.56
5.54	10.84	16.38	-90.68	16.38
5.38	10.84	16.22	-87.18	16.22
5.19	10.83	16.03	-83.21	16.03
5.01	10.83	15.85	-79.46	15.85
4.85	10.83	15.68	-75.95	15.68
4.65	10.83	15.47	-71.88	15.47
4.44	10.82	15.26	-67.85	15.26
4.27	10.82	15.09	-64.49	15.09
4.1	10.81	14.91	-61.2	14.91
3.94	10.8	14.75	-58.14	14.75
3.77	10.8	14.57	-54.91	14.57
3.6	10.8	14.39	-51.77	14.39
3.41	10.79	14.2	-48.48	14.2
3.23	10.78	14.02	-45.33	14.02
3.05	10.78	13.83	-42.15	13.83
2.86	10.77	13.63	-38.93	13.63
2.68	10.77	13.44	-36	13.44
2.49	10.76	13.25	-33.02	13.25
2.31	10.76	13.07	-30.19	13.07
2.13	10.75	12.88	-27.37	12.88
1.94	10.75	12.69	-24.6	12.69
1.75	10.74	12.5	-21.88	12.5
1.58	10.74	12.31	-19.43	12.31
1.41	10.73	12.14	-17.1	12.14
1.24	10.73	11.97	-14.9	11.97
1.05	10.73	11.78	-12.43	11.78
0.87	10.72	11.59	-10.04	11.59
0.69	10.72	11.41	-7.9	11.41
0.52	10.72	11.24	-5.82	11.24
0.33	10.71	11.04	-3.68	11.04
0.14	10.71	10.84	-1.47	10.84
-0.01	10.7	10.69	0.08	10.69
-0.18	10.69	10.51	1.88	10.51
-0.38	10.69	10.31	3.9	10.31
-0.54	10.68	10.14	5.48	10.14
-0.8	10.67	9.87	7.89	9.87
-0.94	10.66	9.72	9.18	9.72
-1.11	10.66	9.55	10.6	9.55
-1.27	10.65	9.38	11.9	9.38
-1.38	10.65	9.27	12.81	9.27
-1.53	10.64	9.12	13.93	9.12
-1.73	10.64	8.9	15.43	8.9
-1.92	10.63	8.71	16.74	8.71
-2.09	10.62	8.54	17.82	8.54
-2.28	10.62	8.34	18.99	8.34
-2.46	10.61	8.15	20.02	8.15
-2.64	10.6	7.96	21.03	7.96
-2.82	10.59	7.77	21.93	7.77
-3.01	10.59	7.58	22.8	7.58
-3.21	10.59	7.38	23.7	7.38
-3.39	10.59	7.21	24.41	7.21
-3.58	10.59	7.01	25.11	7.01
-3.76	10.59	6.83	25.67	6.83
-3.94	10.58	6.64	26.16	6.64
-4.12	10.57	6.45	26.59	6.45
-4.29	10.56	6.27	26.91	6.27
-4.47	10.55	6.08	27.19	6.08
-4.65	10.54	5.89	27.37	5.89
-4.83	10.52	5.7	27.5	5.7
-5	10.51	5.51	27.55	5.51
-5.16	10.5	5.33	27.53	5.33
-5.34	10.48	5.14	27.45	5.14
-5.52	10.46	4.95	27.29	4.95
-5.68	10.45	4.76	27.07	4.76
-5.86	10.43	4.57	26.77	4.57
-6.04	10.41	4.37	26.37	4.37
-6.22	10.38	4.17	25.91	4.17
-6.39	10.37	3.98	25.42	3.98
-6.56	10.34	3.78	24.8	3.78
-6.73	10.32	3.59	24.16	3.59
-6.91	10.3	3.39	23.41	3.39
-7.07	10.27	3.21	22.66	3.21
-7.25	10.25	3	21.73	3
-7.42	10.22	2.8	20.77	2.8
-7.6	10.2	2.6	19.74	2.6
-7.77	10.16	2.39	18.59	2.39
-7.94	10.14	2.2	17.44	2.2
-8.11	10.1	1.99	16.16	1.99
-8.29	10.07	1.78	14.78	1.78
-8.45	10.04	1.58	13.38	1.58
-8.62	10	1.38	11.87	1.38
-8.79	9.96	1.17	10.28	1.17
-8.97	9.92	0.96	8.56	0.96
-9.13	9.88	0.75	6.88	0.75
-9.29	9.84	0.55	5.11	0.55
-9.46	9.8	0.34	3.18	0.34
-9.63	9.75	0.12	1.17	0.12
-9.8	9.7	-0.1	-0.97	-0.1
-9.96	9.65	-0.31	-3.08	-0.31
-10.12	9.61	-0.51	-5.21	-0.51
-10.29	9.56	-0.74	-7.57	-0.74
-10.46	9.5	-0.95	-9.96	-0.95
-10.62	9.45	-1.17	-12.39	-1.17
-10.77	9.4	-1.38	-14.84	-1.38
-10.94	9.34	-1.6	-17.48	-1.6
-11.09	9.28	-1.8	-20	-1.8
-11.24	9.22	-2.02	-22.68	-2.02
-11.41	9.16	-2.24	-25.59	-2.24
-11.56	9.1	-2.46	-28.42	-2.46
-11.7	9.04	-2.67	-31.21	-2.67
-11.81	8.98	-2.83	-33.46	-2.83
-11.95	8.93	-3.02	-36.15	-3.02
-12.12	8.85	-3.27	-39.65	-3.27
-12.29	8.78	-3.51	-43.17	-3.51
-12.46	8.7	-3.76	-46.84	-3.76
-12.78	8.59	-4.18	-53.44	-4.18
-12.84	8.48	-4.35	-55.9	-4.35
-13	8.44	-4.56	-59.29	-4.56
-13.21	8.33	-4.88	-64.51	-4.88
-13.32	8.27	-5.05	-67.28	-5.05
-13.47	8.2	-5.27	-70.99	-5.27
-13.62	8.12	-5.5	-74.82	-5.5
-13.77	8.04	-5.73	-78.91	-5.73
-13.92	7.95	-5.97	-83.07	-5.97
-14.07	7.87	-6.2	-87.2	-6.2
-14.22	7.77	-6.46	-91.83	-6.46
-14.37	7.68	-6.69	-96.19	-6.69
-14.52	7.58	-6.95	-100.9	-6.95
-14.67	7.48	-7.19	-105.55	-7.19
-14.82	7.37	-7.45	-110.42	-7.45
-14.96	7.27	-7.69	-115.13	-7.69
-15.11	7.16	-7.96	-120.27	-7.96
-15.26	7.04	-8.22	-125.43	-8.22
-15.4	6.92	-8.48	-130.63	-8.48
-15.54	6.8	-8.73	-135.73	-8.73
-15.68	6.67	-9.01	-141.22	-9.01
-15.81	6.55	-9.26	-146.39	-9.26
-15.95	6.41	-9.54	-152.18	-9.54
-16.09	6.28	-9.81	-157.84	-9.81
-16.22	6.12	-10.1	-163.79	-10.1
-16.35	5.98	-10.37	-169.67	-10.37
-16.49	5.81	-10.67	-176.01	-10.67
-16.61	5.65	-10.96	-182.01	-10.96
-16.74	5.48	-11.26	-188.52	-11.26
-16.86	5.31	-11.55	-194.68	-11.55
-16.99	5.14	-11.85	-201.27	-11.85
-17.1	4.96	-12.14	-207.65	-12.14
-17.22	4.79	-12.43	-214.1	-12.43
-17.34	4.6	-12.74	-220.78	-12.74
-17.45	4.41	-13.04	-227.53	-13.04
-17.57	4.22	-13.35	-234.42	-13.35
-17.68	4.04	-13.64	-241.22	-13.64
-17.79	3.85	-13.94	-248.09	-13.94
-17.9	3.65	-14.25	-255.17	-14.25
-18.01	3.47	-14.54	-261.94	-14.54
-18.12	3.27	-14.86	-269.28	-14.86
-18.23	3.07	-15.16	-276.37	-15.16
-18.34	2.87	-15.47	-283.67	-15.47
-18.41	2.69	-15.72	-289.45	-15.72
