A	B	C
20	15.39	0.749
30	15.39	0.79
40	15.39	0.778
50	15.39	0.759
60	15.39	0.76
70	15.39	0.858
0	15.4	0.637
10	15.4	0.79
20	15.4	0.778
30	15.4	0.761
40	15.4	0.778
50	15.4	0.765
60	15.4	0.755
70	15.4	0.873
0	15.41	0.608
10	15.41	0.83
20	15.41	0.8
30	15.41	0.76
40	15.41	0.747
50	15.41	0.827
60	15.41	0.836
70	15.41	0.931
0	15.42	0.62
10	15.42	0.774
20	15.42	0.811
30	15.42	0.713
40	15.42	0.8
50	15.42	0.835
60	15.42	0.842
70	15.42	0.828
0	15.43	0.582
10	15.43	0.805
20	15.43	0.708
30	15.43	0.73
40	15.43	0.728
50	15.43	0.766
60	15.43	0.762
70	15.43	0.871
0	15.44	0.604
10	15.44	0.784
20	15.44	0.801
30	15.44	0.737
40	15.44	0.781
50	15.44	0.807
60	15.44	0.848
70	15.44	0.908
0	15.45	0.573
10	15.45	0.758
20	15.45	0.791
30	15.45	0.725
40	15.45	0.797
50	15.45	0.761
60	15.45	0.848
70	15.45	0.892
0	15.46	0.58
10	15.46	0.753
20	15.46	0.755
30	15.46	0.74
40	15.46	0.735
50	15.46	0.785
60	15.46	0.808
70	15.46	0.858
0	15.47	0.573
10	15.47	0.737
20	15.47	0.797
30	15.47	0.724
40	15.47	0.748
50	15.47	0.813
60	15.47	0.775
70	15.47	0.853
0	15.48	0.595
10	15.48	0.815
20	15.48	0.772
30	15.48	0.764
40	15.48	0.731
50	15.48	0.752
60	15.48	0.787
70	15.48	0.827
0	15.49	0.63
10	15.49	0.747
20	15.49	0.761
30	15.49	0.73
40	15.49	0.714
50	15.49	0.747
60	15.49	0.836
70	15.49	0.874
0	15.5	0.622
10	15.5	0.771
20	15.5	0.791
30	15.5	0.773
40	15.5	0.774
50	15.5	0.77
60	15.5	0.839
70	15.5	0.913
0	15.51	0.611
10	15.51	0.779
20	15.51	0.753
30	15.51	0.728
40	15.51	0.763
50	15.51	0.765
60	15.51	0.826
70	15.51	0.883
0	15.52	0.583
10	15.52	0.833
20	15.52	0.751
30	15.52	0.757
40	15.52	0.776
50	15.52	0.81
60	15.52	0.837
70	15.52	0.852
0	15.53	0.649
10	15.53	0.848
20	15.53	0.727
30	15.53	0.717
40	15.53	0.72
50	15.53	0.784
60	15.53	0.854
70	15.53	0.853
0	15.54	0.609
10	15.54	0.844
20	15.54	0.812
30	15.54	0.756
40	15.54	0.74
50	15.54	0.77
60	15.54	0.818
70	15.54	0.894
0	15.55	0.607
10	15.55	0.795
20	15.55	0.81
30	15.55	0.734
40	15.55	0.753
50	15.55	0.784
60	15.55	0.782
70	15.55	0.943
0	15.56	0.609
10	15.56	0.783
20	15.56	0.772
30	15.56	0.817
40	15.56	0.805
50	15.56	0.768
60	15.56	0.885
70	15.56	0.912
0	15.57	0.558
10	15.57	0.772
20	15.57	0.845
30	15.57	0.737
40	15.57	0.746
50	15.57	0.819
60	15.57	0.798
70	15.57	0.894
0	15.58	0.617
10	15.58	0.799
20	15.58	0.805
30	15.58	0.811
40	15.58	0.728
50	15.58	0.762
60	15.58	0.8
70	15.58	0.908
0	15.59	0.634
10	15.59	0.794
20	15.59	0.808
30	15.59	0.771
40	15.59	0.74
50	15.59	0.816
60	15.59	0.819
70	15.59	0.983
0	15.6	0.659
10	15.6	0.782
20	15.6	0.768
30	15.6	0.778
40	15.6	0.814
50	15.6	0.817
60	15.6	0.807
70	15.6	0.91
0	15.61	0.672
10	15.61	0.837
20	15.61	0.834
30	15.61	0.767
40	15.61	0.776
50	15.61	0.839
60	15.61	0.873
70	15.61	0.927
0	15.62	0.634
10	15.62	0.804
20	15.62	0.854
30	15.62	0.851
40	15.62	0.748
50	15.62	0.816
60	15.62	0.824
70	15.62	0.922
0	15.63	0.717
10	15.63	0.839
20	15.63	0.84
30	15.63	0.792
40	15.63	0.796
50	15.63	0.808
60	15.63	0.868
70	15.63	0.884
0	15.64	0.7
10	15.64	0.861
20	15.64	0.883
30	15.64	0.838
40	15.64	0.764
50	15.64	0.866
60	15.64	0.848
70	15.64	0.974
0	15.65	0.664
10	15.65	0.831
20	15.65	0.831
30	15.65	0.817
40	15.65	0.784
50	15.65	0.867
60	15.65	0.882
70	15.65	0.943
0	15.66	0.724
10	15.66	0.954
20	15.66	0.858
30	15.66	0.826
40	15.66	0.861
50	15.66	0.832
60	15.66	0.848
70	15.66	0.976
0	15.67	0.661
10	15.67	0.934
20	15.67	0.898
30	15.67	0.827
40	15.67	0.835
50	15.67	0.848
60	15.67	0.921
70	15.67	0.943
0	15.68	0.672
10	15.68	0.94
20	15.68	0.872
30	15.68	0.856
40	15.68	0.793
50	15.68	0.888
60	15.68	0.87
70	15.68	0.969
0	15.69	0.748
10	15.69	0.913
20	15.69	0.886
30	15.69	0.897
40	15.69	0.909
50	15.69	0.921
60	15.69	0.887
70	15.69	0.91
0	15.7	0.753
10	15.7	0.986
20	15.7	0.979
30	15.7	0.884
40	15.7	0.928
50	15.7	0.912
60	15.7	0.896
70	15.7	0.944
0	15.71	0.756
10	15.71	1.022
20	15.71	0.907
30	15.71	0.872
40	15.71	0.91
50	15.71	0.936
60	15.71	0.887
70	15.71	0.969
0	15.72	0.727
10	15.72	0.998
20	15.72	1.019
30	15.72	0.913
40	15.72	0.931
50	15.72	0.948
60	15.72	0.868
70	15.72	0.976
0	15.73	0.764
10	15.73	0.978
20	15.73	0.979
30	15.73	1.01
40	15.73	0.921
50	15.73	0.905
60	15.73	0.988
70	15.73	0.998
0	15.74	0.767
10	15.74	0.979
20	15.74	0.95
30	15.74	0.92
40	15.74	0.962
50	15.74	0.943
60	15.74	0.957
70	15.74	1.009
0	15.75	0.782
10	15.75	0.987
20	15.75	1.011
30	15.75	0.909
40	15.75	0.963
50	15.75	0.98
60	15.75	0.983
70	15.75	0.955
0	15.76	0.747
10	15.76	1.019
20	15.76	1.016
30	15.76	0.968
40	15.76	1.027
50	15.76	0.972
60	15.76	0.928
70	15.76	0.947
0	15.77	0.828
10	15.77	1.039
20	15.77	1.019
30	15.77	1.005
40	15.77	1.015
50	15.77	1.016
60	15.77	0.955
70	15.77	0.976
0	15.78	0.804
10	15.78	1.065
20	15.78	1.039
30	15.78	0.988
40	15.78	1.083
50	15.78	0.936
60	15.78	0.985
70	15.78	1.053
0	15.79	0.812
10	15.79	1.08
20	15.79	1.092
30	15.79	1.012
40	15.79	0.992
50	15.79	0.967
60	15.79	0.92
70	15.79	0.974
0	15.8	0.821
10	15.8	1.145
20	15.8	1.044
30	15.8	0.966
40	15.8	0.998
50	15.8	0.988
60	15.8	0.941
70	15.8	1.007
0	15.81	0.827
10	15.81	1.051
20	15.81	1.129
30	15.81	1.066
40	15.81	1.083
50	15.81	0.954
60	15.81	0.947
70	15.81	1.041
0	15.82	0.802
10	15.82	1.166
20	15.82	1.032
30	15.82	1.043
40	15.82	1.028
50	15.82	0.999
60	15.82	0.996
70	15.82	1.114
0	15.83	0.734
10	15.83	1.084
20	15.83	1.057
30	15.83	1.067
40	15.83	1.014
50	15.83	1.067
60	15.83	1.021
70	15.83	1.1
0	15.84	0.787
10	15.84	1.011
20	15.84	1.065
30	15.84	0.994
40	15.84	1.012
50	15.84	1.064
60	15.84	1.018
70	15.84	1.154
0	15.85	0.803
10	15.85	1.077
20	15.85	1.084
30	15.85	1.044
40	15.85	0.987
50	15.85	1.002
60	15.85	0.988
70	15.85	1.193
0	15.86	0.865
10	15.86	1.066
20	15.86	1.096
30	15.86	0.984
40	15.86	0.985
50	15.86	1.066
60	15.86	1.017
70	15.86	1.193
0	15.87	0.797
10	15.87	0.999
20	15.87	1.106
30	15.87	0.998
40	15.87	1.034
50	15.87	1.05
60	15.87	1.065
70	15.87	1.339
0	15.88	0.731
10	15.88	1.053
20	15.88	1.083
30	15.88	0.941
40	15.88	1.037
50	15.88	1.018
60	15.88	1.032
70	15.88	1.343
0	15.89	0.845
10	15.89	1.1
20	15.89	1.026
30	15.89	1.007
40	15.89	0.95
50	15.89	0.974
60	15.89	1.104
70	15.89	1.409
0	15.9	0.756
10	15.9	1.065
20	15.9	0.998
30	15.9	1.023
40	15.9	1.061
50	15.9	1.006
60	15.9	1.045
70	15.9	1.464
0	15.91	0.739
10	15.91	1.056
20	15.91	1.075
30	15.91	1.031
40	15.91	1.009
50	15.91	1.085
60	15.91	1.087
70	15.91	1.511
0	15.92	0.793
10	15.92	1.016
20	15.92	1.024
30	15.92	1.038
40	15.92	1.018
50	15.92	1.041
60	15.92	1.086
70	15.92	1.676
0	15.93	0.8
10	15.93	1.034
20	15.93	1.034
30	15.93	1.015
40	15.93	1.049
50	15.93	1.09
60	15.93	1.139
70	15.93	1.744
0	15.94	0.78
10	15.94	1.091
20	15.94	1.092
30	15.94	1.065
40	15.94	1.057
50	15.94	1.093
60	15.94	1.148
70	15.94	1.885
0	15.95	0.861
10	15.95	1.021
20	15.95	1.07
30	15.95	1.038
40	15.95	1.011
50	15.95	1.064
60	15.95	1.138
70	15.95	2.047
0	15.96	0.837
10	15.96	1.079
20	15.96	1.116
30	15.96	1.04
40	15.96	1.023
50	15.96	1.105
60	15.96	1.116
70	15.96	2.104
0	15.97	0.862
10	15.97	1.087
20	15.97	1.085
30	15.97	1.133
40	15.97	1.04
50	15.97	1.1
60	15.97	1.27
70	15.97	2.224
0	15.98	0.821
10	15.98	1.151
20	15.98	1.109
30	15.98	1.063
40	15.98	1.071
50	15.98	1.158
60	15.98	1.256
70	15.98	2.249
0	15.99	0.847
10	15.99	1.086
20	15.99	1.113
30	15.99	1.116
40	15.99	1.088
50	15.99	1.135
60	15.99	1.385
70	15.99	2.596
0	16	0.825
10	16	1.119
20	16	1.085
30	16	1.171
40	16	1.113
50	16	1.099
60	16	1.394
70	16	2.671
0	16.01	0.816
10	16.01	1.092
20	16.01	1.129
30	16.01	1.187
40	16.01	1.105
50	16.01	1.206
60	16.01	1.492
70	16.01	2.847
0	16.02	0.873
10	16.02	1.121
20	16.02	1.128
30	16.02	1.16
40	16.02	1.109
50	16.02	1.208
60	16.02	1.533
70	16.02	3.006
0	16.03	0.885
10	16.03	1.19
20	16.03	1.116
30	16.03	1.156
40	16.03	1.163
50	16.03	1.314
60	16.03	1.648
70	16.03	3.165
0	16.04	0.866
10	16.04	1.19
20	16.04	1.182
30	16.04	1.175
40	16.04	1.171
50	16.04	1.251
60	16.04	1.888
70	16.04	3.412
0	16.05	0.881
10	16.05	1.254
20	16.05	1.189
30	16.05	1.217
40	16.05	1.232
50	16.05	1.419
60	16.05	1.943
70	16.05	3.542
0	16.06	0.915
10	16.06	1.219
20	16.06	1.214
30	16.06	1.169
40	16.06	1.197
50	16.06	1.526
60	16.06	2.171
70	16.06	3.658
0	16.07	0.948
10	16.07	1.261
20	16.07	1.255
30	16.07	1.264
40	16.07	1.391
50	16.07	1.641
60	16.07	2.29
70	16.07	3.862
0	16.08	0.995
10	16.08	1.229
20	16.08	1.24
30	16.08	1.271
40	16.08	1.417
50	16.08	1.743
60	16.08	2.485
70	16.08	4.181
0	16.09	0.974
10	16.09	1.289
20	16.09	1.419
30	16.09	1.389
40	16.09	1.609
50	16.09	1.913
60	16.09	2.76
70	16.09	4.402
0	16.1	1.066
10	16.1	1.368
20	16.1	1.4
30	16.1	1.441
40	16.1	1.621
50	16.1	2.085
60	16.1	2.945
70	16.1	4.431
0	16.11	1.11
10	16.11	1.477
20	16.11	1.492
30	16.11	1.538
40	16.11	1.767
50	16.11	2.377
60	16.11	3.226
70	16.11	4.62
0	16.12	1.171
10	16.12	1.528
20	16.12	1.518
30	16.12	1.631
40	16.12	1.912
50	16.12	2.623
60	16.12	3.533
70	16.12	4.883
0	16.13	1.21
10	16.13	1.68
20	16.13	1.722
30	16.13	1.791
40	16.13	2.148
50	16.13	3.049
60	16.13	3.79
70	16.13	5.01
0	16.14	1.375
10	16.14	1.805
20	16.14	1.844
30	16.14	2.093
40	16.14	2.601
50	16.14	3.264
60	16.14	4.156
70	16.14	5.105
0	16.15	1.423
10	16.15	1.934
20	16.15	2.055
30	16.15	2.249
40	16.15	2.836
50	16.15	3.264
60	16.15	4.412
70	16.15	5.244
0	16.16	1.674
10	16.16	2.267
20	16.16	2.319
30	16.16	2.576
40	16.16	3.347
50	16.16	4.159
60	16.16	4.66
70	16.16	5.462
0	16.17	1.849
10	16.17	2.539
20	16.17	2.663
30	16.17	3.109
40	16.17	3.669
50	16.17	4.43
60	16.17	5.107
70	16.17	5.508
0	16.18	2.166
10	16.18	2.975
20	16.18	3.148
30	16.18	3.621
40	16.18	4.241
50	16.18	4.784
60	16.18	5.271
70	16.18	5.68
0	16.19	2.492
10	16.19	3.44
20	16.19	3.756
30	16.19	4.239
40	16.19	4.726
50	16.19	5.206
60	16.19	5.989
70	16.19	5.853
0	16.2	2.548
10	16.2	4.204
20	16.2	4.352
30	16.2	4.654
40	16.2	5.177
50	16.2	5.794
60	16.2	6.069
70	16.2	5.903
0	16.21	3.561
10	16.21	4.901
20	16.21	5.071
30	16.21	5.422
40	16.21	5.701
50	16.21	6.125
60	16.21	6.517
70	16.21	6.053
0	16.22	4.34
10	16.22	5.82
20	16.22	6.055
30	16.22	6.216
40	16.22	6.403
50	16.22	6.614
60	16.22	7.002
70	16.22	6.112
0	16.23	5.108
10	16.23	6.924
20	16.23	6.91
30	16.23	6.745
40	16.23	6.909
50	16.23	6.465
60	16.23	7.563
70	16.23	6.275
0	16.24	5.977
10	16.24	7.973
20	16.24	7.804
30	16.24	7.611
40	16.24	7.513
50	16.24	7.541
60	16.24	7.81
70	16.24	6.15
0	16.25	6.857
10	16.25	9.203
20	16.25	8.641
30	16.25	8.282
40	16.25	7.893
50	16.25	8.224
60	16.25	8.434
70	16.25	6.478
0	16.26	7.642
10	16.26	10.278
20	16.26	9.542
30	16.26	8.912
40	16.26	8.295
50	16.26	8.198
60	16.26	8.553
70	16.26	6.45
0	16.27	8.542
10	16.27	11.202
20	16.27	10.23
30	16.27	9.722
40	16.27	9.159
50	16.27	9.558
60	16.27	9.061
70	16.27	6.522
0	16.28	9.021
10	16.28	11.595
20	16.28	10.869
30	16.28	10.291
40	16.28	9.938
50	16.28	10.401
60	16.28	9.079
70	16.28	6.575
0	16.29	9.573
10	16.29	11.931
20	16.29	11.281
30	16.29	10.973
40	16.29	10.587
50	16.29	11.032
60	16.29	9.663
70	16.29	6.652
0	16.3	9.629
10	16.3	12.477
20	16.3	11.791
30	16.3	11.546
40	16.3	11.489
50	16.3	11.697
60	16.3	9.614
70	16.3	6.586
0	16.31	9.82
10	16.31	12.824
20	16.31	12.238
30	16.31	12.559
40	16.31	12.395
50	16.31	12.361
60	16.31	9.949
70	16.31	6.822
0	16.32	9.929
10	16.32	12.874
20	16.32	12.767
30	16.32	13.076
40	16.32	13.388
50	16.32	13.129
60	16.32	10.261
70	16.32	6.791
0	16.33	10.031
10	16.33	13.267
20	16.33	13.079
30	16.33	13.501
40	16.33	13.773
50	16.33	13.216
60	16.33	10.211
70	16.33	6.978
0	16.34	10.19
10	16.34	13.689
20	16.34	14.001
30	16.34	14.61
40	16.34	14.876
50	16.34	13.947
60	16.34	10.533
70	16.34	6.966
0	16.35	10.881
10	16.35	14.247
20	16.35	14.595
30	16.35	15.623
40	16.35	15.402
50	16.35	14.006
60	16.35	10.63
70	16.35	6.865
0	16.36	11.6
10	16.36	15.447
20	16.36	15.707
30	16.36	16.16
40	16.36	16.179
50	16.36	14.218
60	16.36	10.659
70	16.36	6.921
0	16.37	12.562
10	16.37	17.09
20	16.37	16.641
30	16.37	16.816
40	16.37	16.337
50	16.37	14.529
60	16.37	10.707
70	16.37	6.981
0	16.38	14.109
10	16.38	18.459
20	16.38	18.013
30	16.38	17.385
40	16.38	16.502
50	16.38	14.321
60	16.38	11.011
70	16.38	7.091
0	16.39	15.21
10	16.39	20.264
20	16.39	19.243
30	16.39	18.062
40	16.39	16.841
50	16.39	14.406
60	16.39	10.774
70	16.39	7.179
0	16.4	16.602
10	16.4	21.378
20	16.4	20.372
30	16.4	18.502
40	16.4	16.425
50	16.4	14.243
60	16.4	10.854
70	16.4	7.041
0	16.41	17.562
10	16.41	22.141
20	16.41	20.618
30	16.41	18.708
40	16.41	16.539
50	16.41	14.035
60	16.41	11.008
70	16.41	7.143
0	16.42	18.343
10	16.42	23.219
20	16.42	21.027
30	16.42	18.888
40	16.42	16.348
50	16.42	13.745
60	16.42	10.942
70	16.42	7.221
0	16.43	17.878
10	16.43	22.646
20	16.43	21.007
30	16.43	18.415
40	16.43	15.837
50	16.43	13.487
60	16.43	10.83
70	16.43	7.112
0	16.44	17.471
10	16.44	22.022
20	16.44	20.645
30	16.44	18.097
40	16.44	15.443
50	16.44	13.138
60	16.44	10.826
70	16.44	7.308
0	16.45	16.36
10	16.45	20.605
20	16.45	19.417
30	16.45	17.774
40	16.45	15.065
50	16.45	12.727
60	16.45	10.839
70	16.45	7.164
0	16.46	14.928
10	16.46	18.592
20	16.46	18.235
30	16.46	16.574
40	16.46	14.55
50	16.46	12.288
60	16.46	10.591
70	16.46	7.224
0	16.47	12.885
10	16.47	16.556
20	16.47	16.289
30	16.47	15.403
40	16.47	14.04
50	16.47	11.952
60	16.47	10.679
70	16.47	7.224
0	16.48	11.145
10	16.48	13.939
20	16.48	14.377
30	16.48	14.212
40	16.48	13.48
50	16.48	11.707
60	16.48	10.637
70	16.48	7.237
0	16.49	9.623
10	16.49	11.81
20	16.49	12.252
30	16.49	13.097
40	16.49	12.613
50	16.49	11.338
60	16.49	10.434
70	16.49	7.07
0	16.5	7.584
10	16.5	9.637
20	16.5	10.414
30	16.5	11.565
40	16.5	11.696
50	16.5	10.927
60	16.5	10.355
70	16.5	7.364
0	16.51	6.104
10	16.51	7.73
20	16.51	8.763
30	16.51	10.059
40	16.51	11.022
50	16.51	10.604
60	16.51	9.953
70	16.51	7.447
0	16.52	4.741
10	16.52	6.321
20	16.52	7.051
30	16.52	8.652
40	16.52	9.824
50	16.52	10.066
60	16.52	9.981
70	16.52	7.313
0	16.53	3.95
10	16.53	5.197
20	16.53	5.722
30	16.53	7.386
40	16.53	8.919
50	16.53	9.629
60	16.53	9.512
70	16.53	7.384
0	16.54	3.107
10	16.54	4.087
20	16.54	4.779
30	16.54	6.096
40	16.54	7.897
50	16.54	8.968
60	16.54	9.528
70	16.54	7.227
0	16.55	2.498
10	16.55	3.396
20	16.55	4.058
30	16.55	5.075
40	16.55	6.766
50	16.55	8.434
60	16.55	9.265
70	16.55	7.383
0	16.56	2.231
10	16.56	2.838
20	16.56	3.282
30	16.56	4.325
40	16.56	5.873
50	16.56	7.871
60	16.56	8.847
70	16.56	7.19
0	16.57	2.032
10	16.57	2.617
20	16.57	2.868
30	16.57	3.635
40	16.57	5.017
50	16.57	7.224
60	16.57	8.696
70	16.57	7.282
0	16.58	1.834
10	16.58	2.262
20	16.58	2.528
30	16.58	3.088
40	16.58	4.397
50	16.58	6.521
60	16.58	8.238
70	16.58	7.429
0	16.59	1.673
10	16.59	2.085
20	16.59	2.252
30	16.59	2.652
40	16.59	3.615
50	16.59	5.904
60	16.59	8.044
70	16.59	7.34
0	16.6	1.546
10	16.6	1.989
20	16.6	2.004
30	16.6	2.308
40	16.6	3.055
50	16.6	5.136
60	16.6	7.735
70	16.6	7.28
0	16.61	1.416
10	16.61	1.811
20	16.61	1.931
30	16.61	2.068
40	16.61	2.626
50	16.61	4.475
60	16.61	7.375
70	16.61	7.134
0	16.62	1.39
10	16.62	1.771
20	16.62	1.814
30	16.62	1.889
40	16.62	2.337
50	16.62	3.926
60	16.62	6.711
70	16.62	7.342
0	16.63	1.301
10	16.63	1.598
20	16.63	1.711
30	16.63	1.702
40	16.63	2.021
50	16.63	3.322
60	16.63	6.543
70	16.63	7.089
0	16.64	1.304
10	16.64	1.57
20	16.64	1.629
30	16.64	1.673
40	16.64	1.879
50	16.64	3.034
60	16.64	6.143
70	16.64	6.888
0	16.65	1.186
10	16.65	1.442
20	16.65	1.51
30	16.65	1.559
40	16.65	1.803
50	16.65	2.483
60	16.65	5.648
70	16.65	6.956
0	16.66	1.182
10	16.66	1.52
20	16.66	1.566
30	16.66	1.529
40	16.66	1.603
50	16.66	2.298
60	16.66	5.214
70	16.66	6.828
0	16.67	1.111
10	16.67	1.405
20	16.67	1.38
30	16.67	1.457
40	16.67	1.524
50	16.67	2.094
60	16.67	4.661
70	16.67	6.471
0	16.68	1.085
10	16.68	1.307
20	16.68	1.348
30	16.68	1.333
40	16.68	1.519
50	16.68	1.806
60	16.68	4.238
70	16.68	6.354
0	16.69	1.101
10	16.69	1.349
20	16.69	1.367
30	16.69	1.274
40	16.69	1.364
50	16.69	1.701
60	16.69	3.784
70	16.69	6.329
0	16.7	1.013
10	16.7	1.275
20	16.7	1.274
30	16.7	1.327
40	16.7	1.33
50	16.7	1.619
60	16.7	3.31
70	16.7	5.898
0	16.71	0.969
10	16.71	1.15
20	16.71	1.255
30	16.71	1.223
40	16.71	1.325
50	16.71	1.557
60	16.71	3.013
70	16.71	5.842
0	16.72	1.018
10	16.72	1.167
20	16.72	1.274
30	16.72	1.194
40	16.72	1.138
50	16.72	1.416
60	16.72	2.777
70	16.72	5.622
0	16.73	0.99
10	16.73	1.159
20	16.73	1.221
30	16.73	1.23
40	16.73	1.238
50	16.73	1.476
60	16.73	2.362
70	16.73	5.517
0	16.74	1.011
10	16.74	1.242
20	16.74	1.212
30	16.74	1.148
40	16.74	1.203
50	16.74	1.368
60	16.74	2.215
70	16.74	5.588
0	16.75	0.953
