City	Longitude	Latitude	January	February	March	April	May	June	July	August	September	October	November	December	Annual
GRAND JUNCTION, CO	-108.5	39.1	26.1	34.1	43.4	50.9	60.5	71.1	76.8	74.7	65.4	52.7	38.1	28.2	51.8
SHERIDAN, WY	-107	44.8	21.3	26.9	35.3	43.9	52.5	61.6	68.8	68.2	57.1	45.1	31	22.4	44.6
GLASGOW, MT	-106.6	48.2	10.8	19.1	30.9	44.5	55.5	64.4	70.2	69.5	57.3	45	27.9	15.6	42.6
ALBUQUERQUE, NM	-106.6	35.2	35.7	41.4	48.1	55.6	64.7	74.8	78.5	76.1	69.1	57.3	44.4	36.1	56.8
EL PASO, TX	-106.5	31.8	45.1	50.5	57	64.6	73.7	82.1	83.3	81.1	75.4	64.9	52.7	45.4	64.7
CASPER, WY	-106.3	42.8	22.3	26.7	35	42.7	52.1	62.7	70	68.6	57.6	45.7	32	23.8	44.9
ALAMOSA, CO	-105.9	37.5	14.7	22.5	32.7	40.8	50.4	59.4	64.1	62.1	54.5	42.8	28.4	17.1	40.8
DENVER, CO	-105.1	39.8	29.2	33.2	39.6	47.6	57.2	67.6	73.4	71.7	62.4	51	37.5	30.3	50.1
CHEYENNE, WY	-104.8	41.1	25.9	28.8	34.2	41.6	51.3	61.5	67.7	65.9	56.6	45.4	33.3	27.1	45
COLORADO SPRINGS, CO	-104.8	38.8	28.1	31.7	37.8	45.3	54.6	64.4	69.6	67.6	59.8	48.9	36.2	29	47.8
ROSWELL, NM	-104.5	33.4	40	45.7	52.9	60.5	69.6	78	80.8	78.9	72	61.4	48.9	40.7	60.8
SCOTTSBLUFF, NE	-103.7	41.9	24.5	30	37.3	46.2	56.8	67.2	73	70.9	60.5	47.8	34	25.7	47.9
WILLISTON, ND	-103.6	48.2	8	16.8	28.7	42.5	54.6	63.7	69.3	68.3	56.1	43.6	25.6	13	40.9
RAPID CITY, SD	-103.2	44.1	22.4	27.3	34.9	44.7	55	64.6	71.7	71.1	60.6	48.2	33.4	24.7	46.6
CLAYTON, NM	-103.2	36.5	33.9	37.6	43.7	51.7	60.5	69.9	73.8	72.2	64.7	54.6	42.2	34.8	53.3
MIDLAND-ODESSA, TX	-102.1	32	43.2	48.6	55.9	63.7	72.8	79.6	81.7	80.4	73.9	64.4	52.3	44.8	63.4
AMARILLO, TX	-101.8	35.2	35.8	40.6	47.9	56.2	65.2	74.3	78.2	76.3	69.1	58.2	45.1	37	57
LUBBOCK, TX	-101.8	33.6	38.1	43.3	51.2	60	69.2	77.1	79.8	78	70.9	60.7	48.1	39.7	59.7
GOODLAND, KS	-101.7	39.3	27.6	32.4	39.8	48.8	58.7	69.6	75.1	73.2	64	51.8	37.4	29.6	50.7
DEL RIO, TX	-100.9	29.4	51.3	56.1	63.8	70.6	77.7	82.9	85.3	85.1	80	71.1	60.1	52.4	69.7
BISMARCK, ND	-100.8	46.8	10.2	18.1	29.7	43.3	56	64.7	70.4	69	57.7	45.2	28	15.2	42.3
NORTH PLATTE, NE	-100.8	41.1	23.2	29.4	38	48.1	58.3	68.4	74.3	72.6	62.4	49.7	34.6	25.7	48.7
VALENTINE, NE	-100.6	42.9	20.8	26.6	35.3	46.1	57.5	67.6	73.7	72.1	61.5	48.3	33	23.6	47.2
SAN ANGELO, TX	-100.5	31.5	44.9	49.7	57.2	65	73.1	79.2	82.4	81.3	74.8	65.4	54	46.4	64.5
DODGE CITY, KS	-100	37.8	30.1	36	44.3	53.9	63.8	74.3	79.8	78.2	69.3	57.1	42.4	33.1	55.2
ABILENE, TX	-99.7	32.5	43.5	48.6	56.4	64.6	72.8	79.8	83.5	82.6	75.5	66	53.7	45.4	64.4
ABERDEEN, SD	-98.5	45.5	11	18.7	30.7	45.4	57.9	66.8	72.2	70.5	59.8	46.8	29.3	16	43.8
WICHITA FALLS, TX	-98.5	33.9	40.5	45.7	54.2	62.4	71.4	79.7	84.8	83.5	75.6	64.7	51.9	42.9	63.1
SAN ANTONIO, TX	-98.5	29.5	50.3	54.7	62.1	68.6	75.8	81.5	84.3	84.2	79.4	70.7	60	52.4	68.7
GRAND ISLAND, NE	-98.3	40.9	22.4	28.2	38.3	49.9	60.6	71.1	75.8	73.6	64.4	52	36.4	25.6	49.9
HURON, SD	-98.2	44.4	14.2	21	32.6	46.1	58.2	67.9	73.4	71.5	61	47.9	31.3	18.6	45.4
CORPUS CHRISTI, TX	-98.1	28.2	56.1	59.5	66	71.5	77.5	81.9	83.8	83.9	80.8	73.8	65.1	58.1	71.5
CONCORDIA, KS	-97.7	39.6	26.6	32.4	42.5	52.8	63	73.4	79.1	77	68	56	40.8	30.2	53.5
AUSTIN/CITY, TX	-97.7	30.2	50.2	54.6	61.7	68.3	75.1	81	84.2	84.5	79.5	70.6	59.7	52.1	68.5
OKLAHOMA CITY, OK	-97.6	35.5	36.7	42.3	51	59.7	68.4	76.8	82	81.2	73.2	62	48.9	39.5	60.1
BROWNSVILLE, TX	-97.5	25.9	59.6	62.7	68.8	73.8	79.3	82.7	83.9	84	81	75	67.7	61.1	73.3
NORFOLK, NE	-97.4	42	20.4	26.4	37	49.1	60.3	70.1	74.8	72.7	63.4	51	35.1	23.7	48.7
WICHITA, KS	-97.3	37.7	30.2	36.3	45.9	55.3	65	75.5	81	79.8	70.8	58.6	44.2	33.6	56.4
GRAND FORKS, ND	-97.1	47.9	5.3	13.1	25.7	42.3	56.8	65.2	69.4	67.8	57	44.3	25.8	11.3	40.3
WACO, TX	-97.1	31.6	46.1	50.8	58.5	65.9	74.1	81.3	85.4	85.2	78.6	68.6	56.8	48.3	66.6
VICTORIA, TX	-97	28.8	53.2	56.7	63.7	69.7	76.6	81.8	84.2	84.2	80.1	72.3	62.7	55.2	70
FARGO, ND	-96.8	46.9	6.8	14.1	27.2	43.5	57.4	66	70.6	69	58	45.3	27	12.5	41.5
LINCOLN, NE	-96.8	40.8	22.4	28.3	39.4	51.2	62	72.7	77.8	75.4	66	53.5	38.1	26.5	51.1
DALLAS-FORT WORTH, TX	-96.8	32.8	44.1	49.4	57.4	65	73.1	80.9	85	84.4	77.5	67.2	55.1	46.7	65.5
SIOUX FALLS, SD	-96.7	43.6	14	20.8	32.6	45.7	57.8	67.5	73	70.8	60.9	48	31.3	18.3	45.1
SIOUX CITY, IA	-96.4	42.5	18.6	25.1	36.5	49.5	61.2	70.5	74.6	72.1	63.1	50.8	34.8	22.3	48.3
OMAHA (NORTH), NE	-96	41.2	22.4	28.5	39.8	52	62.3	71.5	75.6	74	65.7	53.9	38.4	26.2	50.9
TULSA, OK	-95.9	36.1	36.4	42	51.4	60.8	69.3	78	83.5	82.2	73.5	62.6	49.7	39.7	60.8
TOPEKA, KS	-95.7	39.1	27.2	33.4	44.2	54.5	64.4	73.9	78.4	76.7	68.1	56.6	42.6	31.4	54.3
HOUSTON, TX	-95.2	29.7	51.8	55.4	62.3	68.5	75.8	81.3	83.6	83.3	78.9	70.4	60.9	53.7	68.8
GALVESTON, TX	-94.8	29.3	55.8	58	64.1	70	76.9	82.2	84.3	84.4	81.1	74.1	65.4	58.1	71.2
KANSAS CITY, MO	-94.6	39.1	26.9	33	43.8	54.4	64.3	73.6	78.5	76.6	68.1	56.8	42.7	31.3	54.2
FORT SMITH, AR	-94.4	35.4	38	43.7	52.6	61.1	69.5	77.5	82.2	81.5	73.9	62.8	50.5	41	61.2
SAINT CLOUD, MN	-94.2	45.5	8.8	16.1	28.4	43.6	56.6	65.1	69.8	67.2	57.4	45.3	28.8	14.4	41.8
PORT ARTHUR, TX	-94	29.9	52.2	55.6	62.2	68.2	75.4	80.9	82.7	82.5	78.7	70.1	60.9	54.2	68.6
SHREVEPORT, LA	-93.7	32.5	46.4	51.2	58.5	65.2	73	79.9	83.4	82.9	77	66.7	56.1	48.4	65.7
DES MOINES, IA	-93.6	41.6	20.4	26.6	38.4	50.6	61.9	71.4	76.1	73.9	65.1	52.8	37.9	24.9	50
INTERNATIONAL FALLS, MN	-93.4	48.6	2.7	10.9	23.6	39.3	53.3	61.6	66.1	63.8	53.2	41.6	24.4	8.5	37.5
SPRINGFIELD, MO	-93.2	37	31.7	37.1	46.3	55.6	64.7	73.4	78.5	77.6	69.3	58.4	45.9	35.7	56.2
LAKE CHARLES, LA	-93.2	30.2	50.9	54.4	61	67.3	74.9	80.5	82.6	82.4	78.4	69.5	60.1	53.3	68
MINNEAPOLIS-ST.PAUL, MN	-93.1	44.9	13.1	20.1	32.1	46.6	59.3	68.4	73.2	70.6	61	48.7	32.5	18.7	45.4
ROCHESTER, MN	-92.5	44.1	11.8	18.4	30.6	44.7	56.9	66.1	70.1	67.7	58.9	47	31.2	17.3	43.4
WATERLOO, IA	-92.4	42.5	16.1	22.6	35	47.8	60.2	69.9	73.6	71.2	62.6	50.2	35.1	21.6	47.2
COLUMBIA, MO	-92.3	38.9	27.8	33.7	44	54.4	63.7	72.7	77.4	75.7	67.3	56	43.2	32	54
NORTH LITTLE ROCK, AR	-92.3	34.8	40.2	45.6	54.3	63	70.9	78.8	83.2	82.1	75	64.5	52.5	43.4	62.8
LITTLE ROCK, AR	-92.3	34.7	40.1	45.2	53.4	61.4	70.1	78.4	82.4	81.3	74.4	63.3	51.7	43.2	62.1
DULUTH, MN	-92.2	46.8	8.4	14.8	25.4	39	51.8	59.9	65.5	63.7	54.7	43.5	28	14	39.1
LA CROSSE, WI	-91.2	43.8	15.9	22.6	34.6	48.4	60.6	69.6	74	71.6	62.7	50.6	35.5	21.8	47.3
BATON ROUGE, LA	-91.2	30.4	50.1	53.5	60.3	66.6	74	79.7	81.7	81.4	77.5	68.1	59	52.4	67
DUBUQUE,IA	-90.7	42.5	17	23.1	34.8	47.5	59.1	68.3	72.3	70	61.8	50.4	35.7	22.5	46.9
MOLINE, IL	-90.5	41.5	21.1	26.9	38.7	50.5	61.7	71.2	75.3	73.2	65	53	39.1	26.4	50.2
ST. LOUIS, MO	-90.2	38.6	29.6	35.4	45.8	56.6	66.5	75.6	80.2	78.2	70.2	58.3	45.3	33.9	56.3
JACKSON, MS	-90.2	32.3	45	49.2	56.8	63.4	71.5	78.5	81.4	80.9	75.5	64.4	54.8	47.6	64.1
NEW ORLEANS, LA	-90.1	30	52.6	55.7	62.4	68.2	75.6	80.7	82.7	82.5	78.9	70	61.4	55.1	68.8
MEMPHIS, TN	-90	35.1	39.9	44.9	53.5	62.1	70.6	78.7	82.5	81.2	74.8	63.8	52.3	43.3	62.4
PEORIA, IL	-89.6	40.7	22.5	28.2	39.8	51.2	61.9	71.1	75.1	73.1	65.4	53.4	40.1	27.8	50.8
SPRINGFIELD, IL	-89.6	39.8	25.1	30.6	41.8	52.8	63.6	72.6	76.3	74.2	67	55.5	42.3	30.3	52.7
MADISON, WI	-89.5	43.1	17.3	22.6	33.7	45.9	57.7	67	71.6	69.1	60.7	49.3	35.5	23	46.1
ROCKFORD, IL	-89.1	42.3	19	24.7	36.1	47.9	59.6	68.8	72.9	70.9	62.8	51	37.2	24.4	48
PADUCAH KY	-88.7	37.1	32.9	38.1	47.6	57	65.9	74.5	78.2	76.2	69.1	58	46.8	36.9	56.8
TUPELO, MS	-88.7	34.2	40.4	44.8	53.1	60.9	69.4	76.9	80.6	79.6	73.3	61.9	51.5	43.4	61.3
GREEN BAY, WI	-88	44.5	15.6	20.5	31.3	44.2	56.4	65.4	69.9	67.5	58.8	47.4	34	21.2	44.4
MOBILE, AL	-88	30.7	50.1	53.5	60.2	66.1	73.5	79.3	81.5	81.3	77.2	67.7	58.9	52.3	66.8
MILWAUKEE, WI	-87.9	43	20.7	25.4	34.9	45.2	56.1	66.3	72	70.6	63	51.4	38.4	26.2	47.5
CHICAGO,IL	-87.6	41.9	22	27	37.3	47.8	58.7	68.2	73.3	71.7	63.8	52.1	39.3	27.4	49.1
EVANSVILLE, IN	-87.6	38	31	35.8	45.8	55.5	65.6	74.8	78.6	76.5	69.1	57.3	45.9	35.6	56
MARQUETTE, MI	-87.4	46.5	11.5	14.8	23.7	36.4	50.3	59.3	64.4	62.3	53.5	42.5	28.9	17.2	38.7
PENSACOLA, FL	-87.2	30.4	52	54.9	61	66.9	74.6	80.6	82.6	82.2	78.7	69.5	60.7	54.1	68.2
NASHVILLE, TN	-86.8	36.2	36.8	41.3	50.1	58.5	67.1	75.1	79.1	77.9	71.3	59.9	49.3	40.5	58.9
BIRMINGHAM AP,AL	-86.8	33.5	42.6	46.8	54.5	61.3	69.3	76.4	80.2	79.6	73.8	62.9	53.1	45.6	62.2
HUNTSVILLE, AL	-86.6	34.7	39.8	44.3	52.3	60.4	68.6	76	79.5	78.6	72.4	61.3	51.2	43.1	60.6
MUSKEGON, MI	-86.3	43.2	23.5	25.4	34	44.9	56.1	64.9	69.9	68.5	60.5	49.7	38.7	28.6	47.1
SOUTH BEND, IN	-86.3	41.7	23.4	27.3	37.5	48.3	59.6	69	73	71	63.4	52.1	40.1	28.7	49.5
MONTGOMERY, AL	-86.3	32.4	46.6	50.5	57.9	64.3	72.3	78.9	81.8	81.2	76.3	65.4	56.1	49	65.1
INDIANAPOLIS, IN	-86.1	39.8	26.5	31.2	41.7	52	62.6	71.7	75.4	73.5	66.3	54.6	42.9	31.6	52.5
LOUISVILLE, KY	-85.8	38.2	33	37.6	46.9	56.4	65.8	74.2	78.4	77	70.1	58.5	47.6	37.6	57
GRAND RAPIDS, MI	-85.7	43	22.4	25	34.6	46.3	58.1	67.1	71.4	69.4	61.3	49.9	38.4	27.6	47.7
CHATTANOOGA, TN	-85.3	35	39.4	43.4	51.4	59.6	67.7	75.4	79.6	78.5	72.1	60.4	50.3	42.4	60
FORT WAYNE, IN	-85.2	41.1	23.6	27.3	38.1	49	60.4	69.7	73.4	71.1	64.1	52.4	40.6	29	49.9
APALACHICOLA, FL	-85	29.7	52.7	55.3	60.7	66.8	74.1	80	81.9	81.7	79.1	70.2	62	55.2	68.3
DAYTON, OH	-84.8	40.2	26.3	30.3	40.2	50.6	61.2	70.2	74.3	72.3	65.1	53.5	42.2	31.4	51.5
HOUGHTON LAKE, MI	-84.7	44.3	17.8	19.9	29.3	41.8	53.9	62.2	66.7	64.6	56.8	46.1	34.8	23.7	43.2
COLUMBUS, GA	-84.7	32.6	46.8	50.3	57.6	64.2	72.3	79.2	82	81.3	76.2	65.8	56.7	49.1	65.1
LANSING, MI	-84.6	42.7	21.6	24	33.9	45.5	57.1	66.2	70.3	68.4	60.5	49.2	38	26.9	46.8
LEXINGTON, KY	-84.5	38	32	36.4	45.6	54.6	63.8	72.2	76.1	74.8	68	56.6	45.9	36.3	55.2
SAULT STE. MARIE, MI	-84.4	46.5	13.2	15.6	24.9	38.4	51.3	58.6	63.9	63.3	54.8	44.4	32.4	20.2	40.1
ATLANTA, GA	-84.4	33.9	42.7	46.7	54.3	61.6	69.8	76.8	80	78.9	73.3	62.8	53.4	45.4	62.2
OAK RIDGE,TN	-84.3	36	36.6	40.6	48.8	57.2	65.6	73.3	77.3	76.2	70	58.4	47.7	39.4	57.6
TALLAHASSEE, FL	-84.2	30.4	51.8	54.8	61.1	66.4	74.4	80.4	82.4	82.1	78.9	69.1	60.4	53.7	68
KNOXVILLE, TN	-83.9	36	37.6	41.8	49.7	57.8	66	73.8	77.7	76.9	70.8	58.8	49	40.9	58.4
FLINT, MI	-83.8	43	21.3	23.8	33.7	45.4	57.1	66.2	70.6	68.5	60.7	49.2	38.1	26.7	46.8
MACON, GA	-83.6	32.8	45.5	48.9	56.2	62.7	71	78	81.1	80	74.5	63.9	55.1	47.8	63.8
ALPENA, MI	-83.5	45.1	17.8	19	28	40.3	52.2	61.3	66.7	64.5	56.3	45.6	34.6	24	42.5
TOLEDO, OH	-83.5	41.6	23.9	27	37.2	48.3	59.6	68.8	73	70.8	63.5	51.8	40.5	29.2	49.5
JACKSON, KY	-83.5	37.6	33.9	37.9	47.1	56.3	64.1	71.4	75	73.8	67.9	57.5	47.7	38.3	55.9
ATHENS, GA	-83.4	34	42.2	46	53.5	60.9	69.1	76.3	79.8	78.4	72.6	61.8	52.7	44.8	61.5
DETROIT, MI	-83.1	42.3	24.5	27.2	36.9	48.1	59.8	69	73.5	71.8	63.9	51.9	40.7	29.6	49.8
COLUMBUS, OH	-83	40.1	28.3	32	42	52	62.6	71.2	75.1	73.5	66.5	54.7	43.7	33.5	52.9
MANSFIELD, OH	-82.6	40.7	24.3	27.3	36.7	47.2	58	66.8	71	69.3	62.6	51.5	40.5	29.6	48.8
ASHEVILLE, NC	-82.6	35.6	35.8	39	46.3	54.1	62	69.2	73	71.8	65.7	55.2	46.4	39	54.8
HUNTINGTON, WV	-82.4	38.4	32.7	36.8	45.9	55.2	63.6	71.3	75.3	73.9	66.9	55.6	45.9	37.1	55
GREENVILLE-SPARTANBURG AP, SC	-82.4	34.9	40.8	44.4	51.6	59	67.2	74.7	78.8	77.5	71.4	60.5	51.1	43.5	60.1
GAINESVILLE, FL	-82.3	29.6	54.3	57	62.5	67.6	74.3	79.2	80.9	80.4	77.8	70.1	62.8	56.3	68.6
TAMPA, FL	-82.3	28	61.3	62.7	67.4	71.5	77.6	81.5	82.5	82.7	81.6	75.8	69.3	63.3	73.1
BRISTOL-JHNSN CTY-KNGSPRT,TN	-82.2	36.6	34.2	38	46.5	54.6	63	70.7	74.2	72.8	66.6	55	45.5	37.3	54.9
AUGUSTA,GA	-82	33.5	44.8	48.4	55.9	62.4	70.5	77.5	80.8	79.3	73.8	63.1	54.4	46.9	63.2
FORT MYERS, FL	-81.9	26.6	64.9	66	69.9	73.6	78.8	82.2	83	83.1	82.1	77.5	71.7	66.4	74.9
JACKSONVILLE, FL	-81.8	30.3	53.1	55.8	61.6	66.6	73.4	79.1	81.6	80.8	77.8	69.4	61.7	55	68
KEY WEST, FL	-81.8	24.6	70.3	70.8	73.8	77	80.7	83.4	84.5	84.4	83.4	80.2	76.3	72	78.1
CLEVELAND, OH	-81.7	41.5	25.7	28.4	37.5	47.6	58.5	67.5	71.9	70.2	63.3	52.2	41.8	31.1	49.7
CHARLESTON, WV	-81.6	38.3	33.4	36.9	45.3	54.3	62.4	69.9	73.9	72.6	66.2	55.1	45.9	37.5	54.5
AKRON, OH	-81.5	41	25.2	28.3	37.7	48.1	58.8	67.5	71.8	70.3	63	51.6	41.1	30.7	49.5
ORLANDO, FL	-81.4	28.5	60.9	62.6	67.4	71.5	77.1	81.2	82.4	82.5	81.1	75.3	68.8	63	72.8
SAVANNAH, GA	-81.3	32.1	49.2	52.5	59.3	65.3	72.8	78.8	82.1	80.8	76.7	67.1	58.7	51.4	66.2
BECKLEY, WV	-81.2	37.8	30.4	33.9	42.1	51.5	59.9	67	70.7	69.3	63.1	52.8	43.4	34.8	51.6
COLUMBIA, SC	-81	34	44.6	47.9	55.4	63.2	71.6	78.5	82	80.3	74.7	63.7	54.7	47	63.6
DAYTONA BEACH, FL	-81	29.2	58.4	60	64.7	68.9	74.8	79.7	81.7	81.5	79.9	74	67	60.8	71
CHARLOTTE, NC	-80.8	35.2	41.7	45.2	52.8	60.9	69	76.5	80.3	78.9	72.7	61.7	52.3	44.4	61.4
YOUNGSTOWN, OH	-80.7	41.1	24.9	27.7	36.7	47.4	57.6	65.9	69.9	68.4	61.5	50.8	40.7	30.4	48.5
VERO BEACH, FL	-80.4	27.7	63	63.9	67.7	71.5	76.2	80.4	81.7	81.6	80.7	76.4	70.5	64.7	73.2
MIAMI, FL	-80.3	25.8	68.1	69.1	72.4	75.7	79.6	82.4	83.7	83.6	82.4	78.8	74.4	69.9	76.7
ERIE, PA.	-80.1	42.1	26.9	28.2	36.5	46.8	58.1	67.4	72.1	70.9	64	53.3	42.9	32.7	50
WEST PALM BEACH, FL	-80.1	26.7	66.2	67.2	70.6	73.8	78.2	81.2	82.5	82.8	81.7	78.1	73.1	68.3	75.3
PITTSBURGH, PA	-79.9	40.4	27.5	30.5	39.8	49.9	60	68.4	72.6	71	64	52.5	42.3	32.5	51
ELKINS, WV	-79.9	38.9	28.6	31.6	40	48.9	57.9	65.6	69.6	68.5	62.1	50.6	41	32.7	49.8
ROANOKE, VA	-79.9	37.3	35.8	39.1	47.2	56.1	64.1	71.9	76.2	74.7	67.7	56.6	47.3	39.1	56.3
GREENSBORO-WNSTN-SALM-HGHPT,NC	-79.9	36	37.7	41.2	49.1	57.6	65.8	73.6	77.9	76.2	69.8	58.5	49.2	41	58.2
CHARLESTON AP,SC	-79.9	32.8	47.9	50.7	57.7	64.2	72.1	78.2	81.7	80.5	76.1	66.2	58	50.5	65.3
LYNCHBURG, VA	-79.2	37.4	34.5	37.8	46	55.3	63.4	71	75.1	73.8	67.1	56.1	46.6	38.2	55.4
BUFFALO, NY	-78.9	42.9	24.5	25.9	34.3	45.3	57	65.8	70.8	69.1	61.5	50.7	40.2	29.8	48
RALEIGH, NC	-78.6	35.8	39.7	43	50.7	59.1	67	74.7	78.8	77.2	71.2	60	51	43	59.6
WILMINGTON, NC	-77.9	34.2	46.1	48.5	55	62.7	70.2	77	81.1	79.7	75	64.8	56.5	48.9	63.8
ROCHESTER, NY	-77.6	43.2	23.9	25.3	33.9	45.3	57	65.8	70.7	68.9	61.2	50.4	39.9	29.4	47.7
RICHMOND, VA	-77.5	37.6	36.4	39.5	47.7	57.1	65.4	73.5	77.9	76.3	69.8	58.3	49	40.4	57.6
