DATE	Personal Saving	DATE	Unit Labor Cost	DATE	Output Per Hour of All Persons	DATE	Durable Consumer Goods	Recession period	Recession period
10/1/1971	78.5	10/1/1971	36.994	10/1/1971	69.012	4/1/1955	18.5756		
1/1/1972	74.6	1/1/1972	37.474	1/1/1972	69.695	5/1/1955	19.0605		
4/1/1972	68	4/1/1972	37.05	4/1/1972	71.379	6/1/1955	18.6725		
7/1/1972	74.5	7/1/1972	37.372	7/1/1972	71.563	7/1/1955	18.9393		
10/1/1972	91.6	10/1/1972	37.81	10/1/1972	72.303	8/1/1955	18.915		
1/1/1973	88.5	1/1/1973	38.2	1/1/1973	73.67	9/1/1955	18.9878		
4/1/1973	99.4	4/1/1973	38.673	4/1/1973	73.889	10/1/1955	19.109		
7/1/1973	103.6	7/1/1973	40.011	7/1/1973	72.888	11/1/1955	18.915		
10/1/1973	119.4	10/1/1973	40.643	10/1/1973	73.208	12/1/1955	18.8423		
1/1/1974	116.3	1/1/1974	41.996	1/1/1974	72.199	1/1/1956	18.6483		
4/1/1974	107.2	4/1/1974	43.137	4/1/1974	72.49	2/1/1956	18.3088		
7/1/1974	109.4	7/1/1974	44.874	7/1/1974	71.869	3/1/1956	18.3573		
10/1/1974	121.5	10/1/1974	45.524	10/1/1974	72.474	4/1/1956	18.624		
1/1/1975	110.5	1/1/1975	46.254	1/1/1975	73.508	5/1/1956	18.1875		
4/1/1975	148.6	4/1/1975	46.423	4/1/1975	74.683	6/1/1956	17.751		
7/1/1975	120	7/1/1975	46.632	7/1/1975	75.409	7/1/1956	17.7753		
10/1/1975	123.2	10/1/1975	47.55	10/1/1975	75.558	8/1/1956	17.7753		
1/1/1976	121.7	1/1/1976	48.036	1/1/1976	76.618	9/1/1956	17.5085		
4/1/1976	122.9	4/1/1976	48.671	4/1/1976	77.141	10/1/1956	17.7268		
7/1/1976	124.4	7/1/1976	49.612	7/1/1976	77.162	11/1/1956	17.4843		
10/1/1976	120.2	10/1/1976	50.482	10/1/1976	77.656	12/1/1956	18.2118		
1/1/1977	109.8	1/1/1977	51.102	1/1/1977	78.047	1/1/1957	18.2603		
4/1/1977	119.5	4/1/1977	51.801	4/1/1977	78.226	2/1/1957	18.5755		
7/1/1977	130.3	7/1/1977	52.221	7/1/1977	79.233	3/1/1957	18.4785		
10/1/1977	141.4	10/1/1977	53.757	10/1/1977	78.306	4/1/1957	17.9693		
1/1/1978	144	1/1/1978	55.484	1/1/1978	77.993	5/1/1957	17.8723		
4/1/1978	134.8	4/1/1978	55.325	4/1/1978	79.551	6/1/1957	18.1633		
7/1/1978	143.8	7/1/1978	56.286	7/1/1978	79.716	7/1/1957	17.9935		
10/1/1978	147.5	10/1/1978	57.488	10/1/1978	79.966	8/1/1957	18.4785		
1/1/1979	162	1/1/1979	59.487	1/1/1979	79.476	9/1/1957	18.43		
4/1/1979	154.6	4/1/1979	60.905	4/1/1979	79.322	10/1/1957	17.751		
7/1/1979	152.6	7/1/1979	62.269	7/1/1979	79.302	11/1/1957	17.7025		
10/1/1979	167.4	10/1/1979	63.882	10/1/1979	79.129	12/1/1957	16.9265		
1/1/1980	184.9	1/1/1980	65.499	1/1/1980	79.582	1/1/1958	16.2475		
4/1/1980	194	4/1/1980	67.967	4/1/1980	78.665	2/1/1958	15.6655		
7/1/1980	201.6	7/1/1980	69.595	7/1/1980	78.759	3/1/1958	15.1563		
10/1/1980	225.4	10/1/1980	70.627	10/1/1980	79.59	4/1/1958	14.55		
1/1/1981	211.6	1/1/1981	71.116	1/1/1981	81.102	5/1/1958	15.0835		
4/1/1981	218.3	4/1/1981	73.112	4/1/1981	80.353	6/1/1958	15.52		
7/1/1981	262.2	7/1/1981	73.725	7/1/1981	81.413	7/1/1958	15.7383		
10/1/1981	285.1	10/1/1981	75.904	10/1/1981	80.244	8/1/1958	16.0293		
1/1/1982	273.1	1/1/1982	78.344	1/1/1982	79.757	9/1/1958	14.938		
4/1/1982	282.7	4/1/1982	78.904	4/1/1982	80.003	10/1/1958	15.6655		
7/1/1982	280.1	7/1/1982	79.993	7/1/1982	80.036	11/1/1958	18.3573		
10/1/1982	247.2	10/1/1982	80.251	10/1/1982	80.813	12/1/1958	18.43		
1/1/1983	247.2	1/1/1983	80.213	1/1/1983	81.566	1/1/1959	18.4785		
4/1/1983	223.3	4/1/1983	79.521	4/1/1983	83.013	2/1/1959	18.5755		
7/1/1983	220.6	7/1/1983	79.553	7/1/1983	83.342	3/1/1959	18.9393		
10/1/1983	243.3	10/1/1983	80.007	10/1/1983	84.032	4/1/1959	19.0605		
1/1/1984	288.2	1/1/1984	80.606	1/1/1984	84.414	5/1/1959	19.4485		
4/1/1984	306.5	4/1/1984	80.678	4/1/1984	85.129	6/1/1959	19.594		
7/1/1984	334.5	7/1/1984	81.391	7/1/1984	85.538	7/1/1959	19.982		
10/1/1984	330	10/1/1984	81.861	10/1/1984	85.758	8/1/1959	19.4243		
1/1/1985	283.7	1/1/1985	82.632	1/1/1985	86.052	9/1/1959	18.8423		
4/1/1985	318.9	4/1/1985	83.027	4/1/1985	86.404	10/1/1959	19.2788		
7/1/1985	245.7	7/1/1985	82.91	7/1/1985	87.852	11/1/1959	16.9023		
10/1/1985	271.8	10/1/1985	84.067	10/1/1985	88.208	12/1/1959	19.0606		
1/1/1986	287.7	1/1/1986	84.185	1/1/1986	89.109	1/1/1960	21.1461		
4/1/1986	290.5	4/1/1986	84.37	4/1/1986	89.649	2/1/1960	20.855		
7/1/1986	256.4	7/1/1986	84.728	7/1/1986	90.099	3/1/1960	20.4428		
10/1/1986	238.9	10/1/1986	86.377	10/1/1986	89.831	4/1/1960	20.4185		
1/1/1987	273	1/1/1987	86.931	1/1/1987	89.416	5/1/1960	20.6125		
4/1/1987	198.1	4/1/1987	87.176	4/1/1987	90.004	6/1/1960	20.3943		
7/1/1987	225.6	7/1/1987	87.96	7/1/1987	90.139	7/1/1960	19.6183		
10/1/1987	268.7	10/1/1987	88.292	10/1/1987	90.954	8/1/1960	19.8365		
1/1/1988	262.4	1/1/1988	89.496	1/1/1988	91.215	9/1/1960	19.594		
4/1/1988	273.7	4/1/1988	90.407	4/1/1988	91.37	10/1/1960	19.8123		
7/1/1988	280	7/1/1988	91.276	7/1/1988	91.614	11/1/1960	19.1575		
10/1/1988	275.5	10/1/1988	91.546	10/1/1988	91.815	12/1/1960	18.5028		
1/1/1989	314	1/1/1989	91.703	1/1/1989	91.969	1/1/1961	17.8238		
4/1/1989	285.3	4/1/1989	91.796	4/1/1989	92.276	2/1/1961	17.7268		
7/1/1989	269.7	7/1/1989	92.138	7/1/1989	92.609	3/1/1961	17.7268		
10/1/1989	279.5	10/1/1989	93.155	10/1/1989	92.777	4/1/1961	19.012		
1/1/1990	292.6	1/1/1990	94.077	1/1/1990	93.811	5/1/1961	19.6183		
4/1/1990	307.2	4/1/1990	95.492	4/1/1990	94.487	6/1/1961	20.2731		
7/1/1990	297.8	7/1/1990	96.425	7/1/1990	95.007	7/1/1961	20.6368		
10/1/1990	300	10/1/1990	97.955	10/1/1990	94.224	8/1/1961	20.6853		
1/1/1991	320.4	1/1/1991	98.524	1/1/1991	94.422	9/1/1961	19.5213		
4/1/1991	317.7	4/1/1991	98.908	4/1/1991	95.76	10/1/1961	20.6125		
7/1/1991	313.7	7/1/1991	99.311	7/1/1991	96.37	11/1/1961	21.534		
10/1/1991	344.7	10/1/1991	99.707	10/1/1991	97.073	12/1/1961	21.9221		
1/1/1992	359.4	1/1/1992	99.781	1/1/1992	98.89	1/1/1962	21.437		
4/1/1992	373.8	4/1/1992	99.826	4/1/1992	99.461	2/1/1962	21.5583		
7/1/1992	350.1	7/1/1992	100.357	7/1/1992	100.45	3/1/1962	21.8736		
10/1/1992	380.9	10/1/1992	100.035	10/1/1992	101.182	4/1/1962	22.3828		
1/1/1993	272.4	1/1/1993	101.167	1/1/1993	100.407	5/1/1962	22.5768		
4/1/1993	304.3	4/1/1993	102.085	4/1/1993	99.951	6/1/1962	22.1646		
7/1/1993	264.5	7/1/1993	102.337	7/1/1993	100.121	7/1/1962	22.6495		
10/1/1993	295.1	10/1/1993	101.736	10/1/1993	101.077	8/1/1962	22.3343		
1/1/1994	203.3	1/1/1994	102.169	1/1/1994	101.621	9/1/1962	22.6253		
4/1/1994	258.8	4/1/1994	102.027	4/1/1994	101.381	10/1/1962	22.7223		
7/1/1994	256.3	7/1/1994	102.612	7/1/1994	100.798	11/1/1962	22.7465		
10/1/1994	279.4	10/1/1994	102.239	10/1/1994	101.64	12/1/1962	22.9163		
1/1/1995	302.9	1/1/1995	103.608	1/1/1995	101.146	1/1/1963	23.1588		
4/1/1995	253	4/1/1995	104.088	4/1/1995	101.147	2/1/1963	23.4013		
7/1/1995	230.3	7/1/1995	104.581	7/1/1995	101.357	3/1/1963	23.4498		
10/1/1995	217.6	10/1/1995	104.586	10/1/1995	102.325	4/1/1963	23.6438		
1/1/1996	236.5	1/1/1996	104.488	1/1/1996	103.392	5/1/1963	24.0318		
4/1/1996	223	4/1/1996	104.354	4/1/1996	104.574	6/1/1963	24.4441		
7/1/1996	234.9	7/1/1996	104.983	7/1/1996	104.877	7/1/1963	24.4198		
10/1/1996	219.2	10/1/1996	105.177	10/1/1996	105.112	8/1/1963	24.4683		
1/1/1997	213.7	1/1/1997	106.054	1/1/1997	104.803	9/1/1963	24.9048		
4/1/1997	230.6	4/1/1997	105.531	4/1/1997	106.164	10/1/1963	24.9291		
7/1/1997	204.7	7/1/1997	105.694	7/1/1997	107.204	11/1/1963	25.1716		
10/1/1997	224.3	10/1/1997	107.157	10/1/1997	107.717	12/1/1963	25.2443		
1/1/1998	291.7	1/1/1998	108.333	1/1/1998	108.522	1/1/1964	25.2928		
4/1/1998	285.4	4/1/1998	109.569	4/1/1998	108.711	2/1/1964	25.4383		
7/1/1998	280.5	7/1/1998	110.024	7/1/1998	110.011	3/1/1964	25.2443		
10/1/1998	249.6	10/1/1998	110.056	10/1/1998	110.643	4/1/1964	25.9233		
1/1/1999	240.4	1/1/1999	111.162	1/1/1999	111.821	5/1/1964	26.0688		
4/1/1999	149.1	4/1/1999	111.337	4/1/1999	112.066	6/1/1964	26.3356		
7/1/1999	115	7/1/1999	111.545	7/1/1999	112.821	7/1/1964	26.7721		
10/1/1999	129.7	10/1/1999	111.825	10/1/1999	114.632	8/1/1964	26.9661		
1/1/2000	171.2	1/1/2000	116.108	1/1/2000	114.225	9/1/1964	26.3356		
4/1/2000	171.3	4/1/2000	114.415	4/1/2000	116.357	10/1/1964	23.5953		
7/1/2000	190.1	7/1/2000	116.916	7/1/2000	116.131	11/1/1964	26.8206		
10/1/2000	141.2	10/1/2000	116.475	10/1/2000	117.368	12/1/1964	28.3968		
1/1/2001	138.6	1/1/2001	118.601	1/1/2001	117.23	1/1/1965	28.8818		
4/1/2001	88.7	4/1/2001	117.85	4/1/2001	118.752	2/1/1965	29.2698		
7/1/2001	261.6	7/1/2001	118.02	7/1/2001	119.272	3/1/1965	30.0701		
10/1/2001	40.5	10/1/2001	117.013	10/1/2001	121.086	4/1/1965	30.0216		
1/1/2002	225.4	1/1/2002	117.045	1/1/2002	122.841	5/1/1965	30.2398		
4/1/2002	221.2	4/1/2002	117.853	4/1/2002	123.317	6/1/1965	30.5066		
7/1/2002	153	7/1/2002	117.061	7/1/2002	124.835	7/1/1965	30.7248		
10/1/2002	139.3	10/1/2002	117.088	10/1/2002	124.747	8/1/1965	30.4096		
1/1/2003	149.1	1/1/2003	117.683	1/1/2003	125.828	9/1/1965	30.9673		
4/1/2003	173.9	4/1/2003	117.852	4/1/2003	127.909	10/1/1965	31.2583		
7/1/2003	194	7/1/2003	116.647	7/1/2003	130.675	11/1/1965	31.4766		
10/1/2003	182.5	10/1/2003	117.863	10/1/2003	130.349	12/1/1965	32.1313		
1/1/2004	175.1	1/1/2004	117.355	1/1/2004	131.097	1/1/1966	32.2283		
4/1/2004	172.2	4/1/2004	117.695	4/1/2004	132.339	2/1/1966	32.1798		
7/1/2004	155.2	7/1/2004	118.851	7/1/2004	132.912	3/1/1966	32.4223		
10/1/2004	224.2	10/1/2004	120.127	10/1/2004	133.42	4/1/1966	33.0286		
1/1/2005	72.5	1/1/2005	119.998	1/1/2005	134.196	5/1/1966	32.4951		
4/1/2005	45.8	4/1/2005	120.393	4/1/2005	134.229	6/1/1966	32.4951		
7/1/2005	-62.9	7/1/2005	120.98	7/1/2005	135.639	7/1/1966	31.8888		
10/1/2005	74.4	10/1/2005	122.637	10/1/2005	135.219	8/1/1966	31.3796		
1/1/2006	94.4	1/1/2006	123.468	1/1/2006	135.88	9/1/1966	31.5736		
4/1/2006	54.2	4/1/2006	123.09	4/1/2006	136.547	10/1/1966	33.1983		
7/1/2006	48.1	7/1/2006	124.29	7/1/2006	135.991	11/1/1966	32.2041		
10/1/2006	86.1	10/1/2006	127.044	10/1/2006	135.881	12/1/1966	31.8646		
1/1/2007	109.3	1/1/2007	128.505	1/1/2007	135.657	1/1/1967	31.0692		
4/1/2007	31.1	4/1/2007	127.498	4/1/2007	137.535	2/1/1967	30.2059		
7/1/2007	46.8	7/1/2007	126.687	7/1/2007	139.991	3/1/1967	30.4845		
10/1/2007	42.4	10/1/2007	128.176	10/1/2007	139.611	4/1/1967	30.7198		
1/1/2008	20.6	1/1/2008	128.568	1/1/2008	140.371	5/1/1967	30.2912		
4/1/2008	267.9	4/1/2008	127.718	4/1/2008	141.981	6/1/1967	29.9634		
7/1/2008	139.8	7/1/2008	128.773	7/1/2008	142.785	7/1/1967	30.365		
10/1/2008	342.3	10/1/2008	130.49	10/1/2008	142.631	8/1/1967	30.7092		
1/1/2009	464.2					9/1/1967	30.6139		
						10/1/1967	31.179		
						11/1/1967	32.921		
						12/1/1967	34.2385		
						1/1/1968	33.2303		
						2/1/1968	33.7589		
						3/1/1968	33.6869		
						4/1/1968	33.7186		
						5/1/1968	34.146		
						6/1/1968	34.4782		
						7/1/1968	34.1821		
						8/1/1968	34.6246		
						9/1/1968	34.9813		
						10/1/1968	35.4443		
						11/1/1968	36.2678		
						12/1/1968	36.5878		
						1/1/1969	36.4966		
						2/1/1969	36.4717		
						3/1/1969	36.6771		
						4/1/1969	35.7117		
						5/1/1969	35.2341		
						6/1/1969	36.4197		
						7/1/1969	36.4256		
						8/1/1969	36.8075		
						9/1/1969	36.4462		
						10/1/1969	36.6432		
						11/1/1969	35.1375		
						12/1/1969	34.9312		
						1/1/1970	33.0975		
						2/1/1970	33.5801		
						3/1/1970	33.8991		
						4/1/1970	33.8835		
						5/1/1970	33.917		
						6/1/1970	34.575		
						7/1/1970	34.6367		
						8/1/1970	33.5818		
						9/1/1970	32.6876		
						10/1/1970	30.7309		
						11/1/1970	30.8311		
						12/1/1970	34.419		
						1/1/1971	35.788		
						2/1/1971	36.5984		
						3/1/1971	36.6409		
						4/1/1971	36.8779		
						5/1/1971	37.4508		
						6/1/1971	37.7474		
						7/1/1971	38.4542		
						8/1/1971	38.0771		
						9/1/1971	38.0134		
						10/1/1971	38.7024		
						11/1/1971	39.0882		
						12/1/1971	39.2613		
						1/1/1972	40.4196		
						2/1/1972	40.5844		
						3/1/1972	40.3289		
						4/1/1972	41.5004		
						5/1/1972	41.136		
						6/1/1972	41.1596		
						7/1/1972	42.0763		
						8/1/1972	42.4189		
						9/1/1972	42.8546		
						10/1/1972	43.8451		
						11/1/1972	44.8537		
						12/1/1972	45.7612		
						1/1/1973	45.5665		
						2/1/1973	46.3969		
						3/1/1973	46.4507		
						4/1/1973	45.7211		
						5/1/1973	45.6222		
						6/1/1973	45.5375		
						7/1/1973	45.5311		
						8/1/1973	44.1347		
						9/1/1973	45.6715		
						10/1/1973	45.3192		
						11/1/1973	45.3043		
						12/1/1973	44.3787		
						1/1/1974	42.07		
						2/1/1974	41.9501		
						3/1/1974	41.9641		
						4/1/1974	41.7163		
						5/1/1974	41.8174		
						6/1/1974	42.4058		
						7/1/1974	42.2797		
						8/1/1974	42.2257		
						9/1/1974	42.1278		
						10/1/1974	41.5891		
						11/1/1974	39.5892		
						12/1/1974	36.333		
						1/1/1975	34.8434		
						2/1/1975	33.8008		
						3/1/1975	34.2798		
						4/1/1975	35.5427		
						5/1/1975	36.4816		
						6/1/1975	36.8802		
						7/1/1975	38.7701		
						8/1/1975	39.2789		
						9/1/1975	40.0953		
						10/1/1975	39.943		
						11/1/1975	39.9777		
						12/1/1975	40.6906		
						1/1/1976	41.3894		
						2/1/1976	41.8289		
						3/1/1976	41.7817		
						4/1/1976	41.8174		
						5/1/1976	41.8814		
						6/1/1976	41.7065		
						7/1/1976	41.9384		
						8/1/1976	42.5351		
						9/1/1976	42.2123		
						10/1/1976	42.7358		
						11/1/1976	44.1311		
						12/1/1976	45.2214		
						1/1/1977	45.0944		
						2/1/1977	45.6385		
						3/1/1977	46.881		
						4/1/1977	47.2453		
						5/1/1977	47.4512		
						6/1/1977	48.3322		
						7/1/1977	48.3566		
						8/1/1977	48.3721		
						9/1/1977	48.5931		
						10/1/1977	48.5803		
						11/1/1977	48.5371		
						12/1/1977	48.792		
						1/1/1978	46.184		
						2/1/1978	47.3252		
						3/1/1978	48.8041		
						4/1/1978	49.7321		
						5/1/1978	49.0111		
						6/1/1978	49.3269		
						7/1/1978	49.4153		
						8/1/1978	49.1798		
						9/1/1978	48.8816		
						10/1/1978	49.0449		
						11/1/1978	49.2067		
						12/1/1978	49.3694		
						1/1/1979	49.6776		
						2/1/1979	49.081		
						3/1/1979	48.9832		
						4/1/1979	46.5786		
						5/1/1979	47.9471		
						6/1/1979	47.3816		
						7/1/1979	46.7875		
						8/1/1979	44.6778		
						9/1/1979	46.3089		
						10/1/1979	46.0042		
						11/1/1979	45.253		
						12/1/1979	45.1009		
						1/1/1980	44.2299		
						2/1/1980	43.8715		
						3/1/1980	43.1044		
						4/1/1980	41.2645		
						5/1/1980	38.6517		
						6/1/1980	38.0689		
						7/1/1980	38.0337		
						8/1/1980	38.3501		
						9/1/1980	40.1861		
						10/1/1980	40.8928		
						11/1/1980	41.9074		
						12/1/1980	41.3177		
						1/1/1981	41.1525		
						2/1/1981	40.9332		
						3/1/1981	41.513		
						4/1/1981	42.0462		
