Time	SVep	SVpr
1.02	74.108	0.10528
1.03	72.856	0.05264
1.04	71.667	-0.15764
1.05	70.665	-0.21028
1.06	69.727	-0.43792
1.07	68.975	-0.47292
1.08	68.412	-0.5782
1.09	67.911	-0.82348
1.1	67.598	-0.85848
1.11	67.285	-1.0164
1.12	66.91	-1.1914
1.13	66.597	-1.27904
1.14	66.347	-1.40168
1.15	66.159	-1.50696
1.16	66.034	-1.61196
1.17	65.908	-1.6996
1.18	65.846	-1.76988
1.19	65.721	-1.92752
1.2	65.658	-1.90988
1.21	65.595	-1.94488
1.22	65.595	-2.1728
1.23	65.533	-2.03252
1.24	65.533	-2.27808
1.25	65.595	-2.08516
1.26	65.595	-2.1728
1.27	65.658	-2.19044
1.28	65.721	-2.2078
1.29	65.721	-2.31308
1.3	65.846	-2.15516
1.31	66.034	-2.19044
1.32	66.159	-2.12016
1.33	66.347	-2.22544
1.34	66.597	-2.12016
1.35	66.847	-2.08516
1.36	67.16	-2.01516
1.37	67.411	-1.96252
1.38	67.911	-1.82224
1.39	68.537	-1.90988
1.4	69.601	-1.71724
1.41	70.29	-1.54196
1.42	71.166	-1.54196
1.43	72.168	-1.40168
1.44	73.232	-1.27904
1.45	74.734	-1.1214
1.46	76.048	-1.06876
1.47	77.55	-0.89348
1.48	78.865	-0.77084
1.49	80.117	-0.66584
1.5	81.494	-0.5082
1.51	82.495	-0.26264
1.52	83.184	-0.22764
1.53	83.872	-0.105
1.54	84.31	-0.035
1.55	84.811	0.21028
1.56	85.249	0.28056
1.57	85.625	0.52584
1.58	85.938	0.61348
1.59	86.188	0.64848
1.6	86.376	0.89376
1.61	86.626	0.9464
1.62	86.751	1.0164
1.63	86.939	1.19168
1.64	87.064	1.40196
1.65	87.19	1.40196
1.66	87.252	1.5246
1.67	87.44	1.64724
1.68	87.565	1.68224
1.69	87.628	1.76988
1.7	87.753	1.98016
1.71	87.878	1.9278
1.72	87.878	2.01516
1.73	87.941	2.1028
1.74	88.128	2.1028
1.75	88.191	2.19044
1.76	88.254	2.15544
1.77	88.254	2.19044
1.78	88.379	2.24308
1.79	88.441	2.08544
1.8	88.441	2.26072
1.81	88.441	2.20808
1.82	88.441	2.13808
1.83	88.441	2.12044
1.84	88.504	2.01516
1.85	88.504	2.0328
1.86	88.441	1.9628
1.87	88.379	1.9628
1.88	88.191	1.85752
1.89	88.066	1.69988
1.9	87.816	1.71752
1.91	87.377	1.4896
1.92	86.877	1.47196
1.93	86.188	1.27932
1.94	85.124	1.19168
1.95	83.935	1.15668
1.96	82.37	1.0164
1.97	80.868	0.85876
1.98	79.366	0.73612
1.99	77.801	0.5432
2	76.299	0.45584
2.01	74.859	0.35056
2.02	73.482	0.17528
2.03	72.293	0.05264
2.04	71.166	-0.08764
2.05	70.227	-0.26264
2.06	69.414	-0.35028
2.07	68.725	-0.5432
2.08	68.162	-0.6832
2.09	67.849	-0.75348
2.1	67.536	-0.87612
2.11	67.223	-0.94612
2.12	66.91	-1.20904
2.13	66.722	-1.26168
2.14	66.534	-1.50696
2.15	66.347	-1.43696
2.16	66.221	-1.52432
2.17	66.096	-1.6996
2.18	66.034	-1.7346
2.19	65.908	-1.90988
2.2	65.908	-1.89252
2.21	65.846	-2.01516
2.22	65.846	-2.01516
2.23	65.846	-2.12016
2.24	65.846	-2.1378
2.25	65.783	-2.2428
2.26	65.783	-2.2078
2.27	65.846	-2.15516
2.28	65.908	-2.38308
2.29	66.096	-2.27808
2.3	66.096	-2.26044
2.31	66.159	-2.1728
2.32	66.284	-2.2428
2.33	66.534	-2.12016
2.34	66.597	-2.1728
2.35	66.785	-2.12016
2.36	67.035	-2.03252
2.37	67.348	-1.92752
2.38	67.786	-1.82224
2.39	68.224	-1.90988
2.4	68.913	-1.75224
2.41	69.539	-1.50696
2.42	70.227	-1.52432
2.43	71.166	-1.43696
2.44	72.355	-1.43696
2.45	73.795	-1.1214
2.46	74.671	-1.0164
2.47	76.361	-0.89348
2.48	78.176	-0.78848
2.49	79.428	-0.70084
2.5	80.805	-0.47292
2.51	81.869	-0.45556
2.52	82.746	-0.21028
2.53	83.434	-0.08764
2.54	84.06	-0.08764
2.55	84.686	0.24556
2.56	85.124	0.33292
2.57	85.5	0.38556
2.58	85.875	0.61348
2.59	86.126	0.63084
2.6	86.376	0.8764
2.61	86.564	1.03404
2.62	86.751	1.0514
2.63	86.939	1.20932
2.64	87.064	1.27932
2.65	87.19	1.34932
2.66	87.377	1.57724
2.67	87.44	1.64724
2.68	87.565	1.71752
2.69	87.69	1.78752
2.7	87.753	1.94516
2.71	87.941	1.9628
2.72	88.066	1.98016
2.73	88.128	2.12044
2.74	88.254	2.0678
2.75	88.254	2.1028
2.76	88.379	2.17308
2.77	88.379	2.19044
2.78	88.379	2.17308
2.79	88.504	2.05044
2.8	88.567	2.17308
2.81	88.629	2.29572
2.82	88.629	2.05044
2.83	88.629	2.0328
2.84	88.629	2.0328
2.85	88.567	1.9978
2.86	88.567	2.01516
2.87	88.441	1.85752
2.88	88.379	1.78752
2.89	88.128	1.69988
2.9	87.878	1.68224
2.91	87.377	1.5946
2.92	86.814	1.43696
2.93	86.188	1.36696
2.94	84.999	1.19168
2.95	83.684	1.0514
2.96	82.182	1.0514
2.97	80.617	0.85876
2.98	79.178	0.77112
2.99	77.676	0.4732
3	76.236	0.49084
3.01	74.922	0.38556
3.02	73.545	0.19292
3.03	72.355	0
3.04	71.229	-0.14
3.05	70.352	-0.24528
3.06	69.539	-0.38556
3.07	68.85	-0.5082
3.08	68.35	-0.6482
3.09	67.911	-0.78848
3.1	67.536	-0.91112
3.11	67.223	-1.10376
3.12	66.91	-1.1564
3.13	66.66	-1.22668
3.14	66.534	-1.48932
3.15	66.347	-1.48932
3.16	66.221	-1.57696
3.17	66.096	-1.6996
3.18	66.034	-1.78724
3.19	65.971	-1.94488
3.2	65.908	-1.94488
3.21	65.846	-2.01516
3.22	65.846	-2.0678
3.23	65.846	-2.1378
3.24	65.908	-2.27808
3.25	65.908	-2.2428
3.26	66.034	-2.1728
3.27	66.034	-2.19044
3.28	66.096	-2.34808
3.29	66.221	-2.2428
3.3	66.284	-2.2078
3.31	66.347	-2.2428
3.32	66.534	-2.12016
3.33	66.66	-2.08516
3.34	66.785	-2.2428
3.35	67.035	-1.94488
3.36	67.223	-1.98016
3.37	67.598	-1.96252
3.38	67.911	-1.82224
3.39	68.224	-1.87488
3.4	68.913	-1.68224
3.41	69.414	-1.5946
3.42	70.29	-1.61196
3.43	71.166	-1.38432
3.44	71.98	-1.31404
3.45	73.419	-1.22668
3.46	74.484	-1.0514
3.47	75.861	-0.92876
3.48	77.676	-0.87612
3.49	79.303	-0.75348
3.5	80.617	-0.52556
3.51	81.682	-0.43792
3.52	82.62	-0.28028
3.53	83.559	-0.07
3.54	84.185	-0.07
3.55	84.749	0.19292
3.56	85.249	0.28056
3.57	85.687	0.38556
3.58	86	0.59584
3.59	86.251	0.64848
3.6	86.564	0.78876
3.61	86.751	1.10404
3.62	86.939	1.0514
3.63	87.127	1.15668
3.64	87.252	1.26168
3.65	87.377	1.33196
3.66	87.503	1.5596
3.67	87.628	1.68224
3.68	87.69	1.69988
3.69	87.816	1.69988
3.7	87.941	1.94516
3.71	88.066	1.89252
3.72	88.128	2.01516
3.73	88.254	1.9978
3.74	88.254	2.05044
3.75	88.379	2.20808
3.76	88.441	2.13808
3.77	88.567	2.19044
3.78	88.567	2.22544
3.79	88.629	2.13808
3.8	88.629	2.19044
3.81	88.692	2.19044
3.82	88.692	2.17308
3.83	88.629	2.12044
3.84	88.692	2.1028
3.85	88.692	1.9628
3.86	88.629	1.9978
3.87	88.567	1.9628
3.88	88.379	1.78752
3.89	88.254	1.69988
3.9	87.941	1.69988
3.91	87.44	1.5246
3.92	86.877	1.4546
3.93	86	1.4196
3.94	84.749	1.13904
3.95	83.622	1.13904
3.96	82.12	1.03404
3.97	80.617	0.8764
3.98	79.178	0.80612
3.99	77.613	0.52584
4	76.236	0.5082
4.01	74.734	0.38556
4.02	73.357	0.19292
4.03	72.23	0.01764
4.04	71.166	-0.07
4.05	70.227	-0.26264
4.06	69.414	-0.33292
4.07	68.788	-0.49056
4.08	68.287	-0.63084
4.09	67.911	-0.75348
4.1	67.598	-0.89348
4.11	67.348	-0.96376
4.12	67.098	-1.0164
4.13	66.91	-1.1564
4.14	66.66	-1.36668
4.15	66.534	-1.33168
4.16	66.409	-1.36668
4.17	66.221	-1.52432
4.18	66.159	-1.5596
4.19	66.221	-1.5946
4.2	66.221	-1.64724
4.21	66.221	-1.6296
4.22	66.159	-1.6996
4.23	66.159	-1.7346
4.24	66.221	-1.7346
4.25	66.221	-1.71724
4.26	66.284	-1.71724
4.27	66.409	-1.6996
4.28	66.534	-1.71724
4.29	66.66	-1.82224
4.3	66.91	-1.5946
4.31	66.973	-1.52432
4.32	67.16	-1.64724
4.33	67.411	-1.52432
4.34	67.661	-1.52432
4.35	68.037	-1.41932
4.36	68.35	-1.36668
4.37	68.725	-1.41932
4.38	69.226	-1.22668
4.39	69.664	-1.10376
4.4	70.29	-1.20904
4.41	70.978	-1.0164
4.42	71.604	-0.96376
4.43	72.481	-0.85848
4.44	72.981	-0.84112
4.45	73.858	-0.70084
4.46	74.734	-0.6132
4.47	75.923	-0.52556
4.48	76.925	-0.59584
4.49	77.676	-0.40292
4.5	78.489	-0.22764
4.51	79.115	-0.29792
4.52	79.741	-0.22764
4.53	80.242	-0.01736
4.54	80.555	-0.12264
4.55	81.181	0.07028
4.56	81.431	0.07028
4.57	81.744	0.19292
4.58	81.932	0.28056
4.59	81.932	0.26292
4.6	82.307	0.29792
4.61	82.62	0.42056
4.62	82.746	0.35056
4.63	82.746	0.4032
4.64	82.433	0.4732
4.65	82.37	0.49084
4.66	82.182	0.52584
4.67	81.994	0.57848
4.68	81.744	0.57848
4.69	81.243	0.49084
4.7	80.993	0.63084
4.71	80.555	0.59584
4.72	80.242	0.59584
4.73	79.929	0.56084
4.74	79.428	0.52584
4.75	79.24	0.59584
4.76	78.927	0.56084
4.77	78.677	0.52584
4.78	78.364	0.5082
4.79	77.801	0.4032
4.8	77.55	0.49084
4.81	77.05	0.45584
4.82	76.737	0.4382
4.83	76.299	0.3682
4.84	75.798	0.3682
4.85	75.548	0.33292
4.86	75.047	0.42056
4.87	74.609	0.24556
4.88	74.546	0.31556
4.89	73.983	0.19292
4.9	73.732	0.22792
4.91	73.232	0.15792
4.92	72.731	0.22792
4.93	72.543	0.10528
4.94	72.168	0
4.95	71.917	0.10528
4.96	71.667	0.03528
4.97	71.417	-0.01736
4.98	71.229	0.15792
4.99	71.041	-0.105
5	71.229	0.01764
5.01	71.104	0.03528
5.02	71.041	-0.05236
5.03	71.041	-0.01736
5.04	70.916	-0.035
5.05	71.104	-0.035
5.06	71.166	-0.035
5.07	71.291	0.01764
5.08	71.417	-0.035
5.09	71.417	-0.08764
5.1	71.479	0.01764
5.11	71.354	-0.035
