5.94	57.26	58.32	56.8	55.61	54.25	52.22	51.57	50.1	48.37	46.87	47.68	46.73	44.16	42.65	41.92	41.76	40.4	40.49	39.75	39.26	38.16	37.42	37.13	36.41	34.9	35.52	33.82	33.95	33.26	32.75	31.93	31.59
6.23	56.15	55.3	54.34	52.53	51.74	51.71	49.82	49.31	47.15	45.67	45.34	43.52	42.43	42.73	40.72	40.07	39.62	39.93	38.29	38.1	36.56	35.93	36.4	35.04	35.54	34.06	33.91	32.98	32.69	32.16	32.23	31.31
6.52	54.69	54.03	52.56	50.88	51.67	48.6	47.71	47.33	45.9	44.09	44.84	42.5	42.3	40.54	39.46	39.68	39.35	38.69	37.52	35.66	36.25	35.87	34.35	34.02	34.11	33.77	31.95	33.21	31.96	31.1	31.38	29.89
6.81	51.09	51.68	50.29	48.95	48.89	47.52	45.53	45.57	43.49	43.98	41.97	41.68	39.63	39.81	38.66	38.66	37.46	37.33	35.51	35.81	34.21	33.79	33.17	34.06	32.17	31.64	31.6	31.09	30.99	31.06	29.22	29.35
7.1	49.57	48.47	49	47.64	46.64	45.15	43.68	42.05	41.57	41.17	40.44	40.05	37.31	38.04	37.71	35.73	36.16	34.52	34.3	34.06	32.86	32.14	31.53	31.5	30.65	31.59	29.91	28.98	29.06	29.14	29.55	27.84
7.39	47.12	46.72	45.96	43.51	43.77	42.6	41.53	39.69	40.18	38.66	37.19	36.84	35.85	35.97	35.54	34.23	33.91	32.5	32.05	32.9	31.96	31.05	30.14	30.62	29.04	28.78	29.29	27.65	27.88	27.62	26.33	27
7.68	43.34	42.75	42.66	42.39	41.29	40.62	39.32	38.91	37.12	35.86	35.83	35.06	34.55	34.38	32.46	33.25	30.78	30.68	30.64	30.66	30.2	28.44	29.31	29.07	27.99	27.45	27.29	26.71	25.58	26.15	24.67	26.8
7.97	40.13	40.47	39.73	39.68	38.46	37.51	36.63	35.71	34.66	34.83	34.03	32.12	32.03	31.54	31.22	30.99	30.17	29.25	28.75	28.1	27.67	27.82	27.78	26.92	26.88	26.27	26.1	25.35	25.16	24.82	24.37	24.01
8.26	37.35	36.92	37.16	36.54	35.46	34.79	33.63	32.82	32.91	31.13	30.25	29.71	29.63	29.28	30.48	29.33	28.11	27.13	27.07	26.61	26.12	26.14	26.59	25.48	24.96	23.89	23.51	23.56	23.31	23.1	23.22	22.07
8.55	34.98	34.58	34.36	32.45	33.02	32.26	31.58	30.94	30.3	30.2	28.83	27.99	28.09	28.05	27.51	26.84	25.6	25.39	24.78	24.63	24.06	23.16	23.78	23.75	23.13	22.76	22.99	22.54	22.88	22.03	21.1	21.37
8.84	32.78	32.76	30.74	30.52	29.85	28.59	29.42	28.37	29.03	27.12	27.27	25.8	25.22	26.33	26.04	25.59	24.41	24.17	23.53	22.63	23.69	22.68	22.44	22.78	22.53	21.06	20.98	20.74	21.1	20.34	20.72	20.09
9.13	29.9	29.31	29.04	27.89	27.56	27.37	27.44	26.27	26.23	26.04	24.93	24.37	23.89	23.35	23.77	21.79	23.1	22.09	22.28	21.56	22.02	21.13	19.73	20.49	20.53	20.39	20.75	20.52	19.48	20.02	18.5	19.03
9.42	26.31	27.41	26.68	25.89	25.2	24.69	24.17	24.03	24.01	23.44	23.34	22.71	22.3	21.79	21.11	21.33	21.12	20.88	19.72	19.83	20.26	20.58	20.77	19.81	18.48	18.77	18.38	17.5	18.26	18.82	19.12	17.51
9.71	25.4	24.64	24.91	23.45	23.44	23.33	22.22	22.75	21.93	21.88	21.4	20.75	20.72	20.78	20.91	19.23	20.02	19.2	18.66	19.04	18.94	18.71	18.35	17.48	17.84	16.81	16.63	17.21	17.58	17.08	16.6	17.11
10	22.11	23.07	21.62	21.37	21.4	20.57	21.31	20.43	19.92	20.5	19.72	17.98	19.33	17.99	18.03	18.79	18.37	18.17	17.64	17.51	17.59	17.38	17.31	16.54	16.68	17.45	17.21	16.25	16.08	16.22	16.29	15.94
